 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94
40.26776,3.144538,8.156334,11.29761,2.043014,6.884578,35.78542,5.624049,4.563141,10.82926,4.270481,12.85654,1.897966,2.740758,-1.973751,2.977299,6.566182,17.27632,-3.658944,-1.239126,-0.5554789,-1.867013,0.04902028,12.31691,32.10471,6.079245,12.40881,15.94312,0.6029618,8.865569,9.420754,12.99442,3.656922,-1.906496,0.8258672,1.139417,32.99192,30.42092,31.61502,15.45236,11.67911,1.057905,6.288869,0.1355763,-2.416342,16.17251,8.010827,-3.165769,24.50599,9.259315,0.3267224,4.94971,1.648481,-0.9984663,-0.3356438,4.136648,1.786539,10.41602,11.20189,-1.709094,4.145523,18.55548,-0.5490706,-0.100609,-0.9369373,-1.036333,63.81063,5.183053,9.628252,-2.16403,6.075967,14.5813,-1.446023,1.72514,-0.03362098,-4.170156,-5.642086,-2.240241,-4.873381,17.80177,30.49782,2.065718,45.60357,2.059129,3.60857,12.78308,13.14226,-2.007683,0.840879,0.9687381,2.772197,0.60334,1.23361,-0.7867672,1.714616,3.461472
40.36768,2.167883,8.521901,12.18356,2.778048,4.144014,35.38937,4.175901,3.647691,10.17324,3.330501,9.845722,2.050764,1.887725,1.751047,2.643778,5.371416,18.15529,-5.358002,-0.687943,0.7135828,-4.173214,-0.05001502,13.68328,33.27915,5.582228,12.14698,18.16754,0.07947052,14.78457,7.066014,12.03517,5.013428,-0.5729235,-0.1521734,1.350619,34.79859,30.23062,32.59926,15.55824,11.1176,1.956901,7.81973,0.9235343,-1.892812,15.42774,9.272429,-3.89137,24.70599,10.36076,0.9673044,8.589525,1.622675,-1.401127,-3.682932,3.666526,0.08185464,10.50861,12.51219,1.132381,2.961555,19.51032,-1.382326,0.9464411,-0.3370175,0.6489465,65.44341,4.826617,8.243292,-2.179614,5.668489,15.06121,-0.4041243,2.008802,-1.173225,-4.51337,-5.01402,-3.708046,-3.251161,18.08286,30.91263,3.314998,44.0678,2.920111,4.386565,11.88677,12.80291,-3.843797,-1.863729,0.7317799,3.219037,0.8222798,1.279092,-0.01091108,3.304444,3.604563
40.4676,3.726283,7.340188,13.6397,1.132391,6.984282,32.36876,3.543659,3.11534,9.510152,5.486709,8.735022,2.766889,2.889028,14.51024,3.200964,4.966434,16.10906,-4.338745,-2.205405,-0.9008477,-5.998493,0.4340442,14.46776,32.7262,6.853296,12.0852,17.97557,1.340572,15.61372,6.743856,11.59606,5.689551,-2.043171,1.493283,3.785012,36.03321,29.94615,30.74094,17.36134,12.1776,1.160059,6.501863,0.9733134,-0.7936783,14.27473,6.485101,-1.565215,22.9226,10.26233,0.680941,12.1021,3.682966,-0.1220374,-2.353344,2.844458,0.9952308,9.628196,10.34705,0.4594489,1.971403,17.6885,0.9436719,0.3892928,-0.07920583,-0.2427188,65.00578,5.893462,10.71003,-2.895386,4.104153,14.1423,0.2697615,3.375145,-0.04464725,-3.546088,-6.628172,-3.02486,-3.221116,16.92929,32.20486,6.214806,44.03778,3.054826,5.950211,11.77676,11.64317,-4.442256,-1.067942,0.1483162,3.998683,0.2041591,2.125266,-0.8260387,2.315066,3.288893
40.56752,1.170104,6.011909,11.06561,-0.1607737,6.65593,30.86519,4.939019,3.557117,8.745303,4.953259,9.355031,-1.006931,1.766913,17.46875,3.629683,8.265739,16.02814,-1.755868,-0.2480471,1.120633,-4.929726,1.408989,11.28035,31.87331,5.623241,11.23493,15.86114,0.6550518,20.92756,6.391943,10.29885,4.934826,-1.927282,2.68721,3.907064,36.13666,30.30538,29.27341,17.93748,10.72744,3.517058,6.299088,2.672594,-3.469262,14.06469,6.595701,-0.5524326,22.57266,7.761098,0.04017284,14.89797,3.92193,1.383598,-2.290389,3.626263,0.8323631,11.10947,9.843734,-0.706136,3.065807,13.85782,2.128137,1.514716,0.2056651,-1.716789,63.6571,4.373242,9.471019,-5.035583,3.893808,13.91874,-1.494787,2.390125,-1.072951,-0.5300358,-5.673234,-3.312954,-3.544361,14.92338,32.87226,6.601933,42.15747,3.595065,3.285308,12.59668,12.24365,-3.497832,0.5448055,1.280051,2.989415,3.505634,1.211681,0.04838645,1.525137,5.550365
40.66744,2.266582,7.670491,11.21115,2.013448,6.553355,29.26768,5.05666,2.804559,8.083585,5.426044,9.852492,0.8338272,2.374203,17.5012,3.737127,8.935485,19.03382,-2.479614,-0.4027944,-0.6323978,-4.203654,1.083815,10.95386,29.87632,6.224082,13.39859,19.26344,0.4033667,20.60144,5.926933,12.06588,4.891179,-1.020321,0.5627623,0.8792441,33.60447,28.34304,25.5599,18.09586,11.51863,1.027064,6.784349,2.145259,1.270733,16.25682,6.221276,-1.667363,18.4985,6.935735,0.2870843,16.96732,2.095583,2.66244,-1.097904,2.123973,0.2961373,9.424475,8.45413,0.4896811,5.591308,14.7486,1.737348,0.5632893,0.9216093,0.07273508,62.44152,4.55371,10.16774,-3.551988,4.044843,16.4784,0.006258633,2.614134,-0.6606392,-1.775403,-4.515978,-2.680738,-4.185242,14.75445,31.58916,6.013997,40.65859,6.188417,3.855689,12.4196,10.33403,-1.624531,-1.224516,-0.7371739,3.287434,2.93508,0.3433868,0.1507536,3.432876,2.409141
40.76736,0.6369652,9.339037,11.06386,0.7758899,5.075594,26.47534,4.559418,3.681678,8.52437,7.002295,8.148898,0.3809137,0.4551107,15.77524,5.420194,8.922622,17.44092,-2.567586,-1.662194,0.4743973,-5.041849,-0.7818683,9.672593,31.30819,4.320201,12.20179,19.93319,-0.06297357,23.99681,5.354152,10.56979,7.266346,-3.026468,3.540435,3.003324,32.89703,30.32648,28.45021,14.67625,9.923557,1.093476,6.719885,2.406812,-3.512726,15.48195,5.371411,0.9097729,19.07082,7.809366,0.7177603,19.20862,2.982879,3.258836,-0.6045624,3.31364,2.382775,11.6855,8.075334,-0.3973735,7.464027,14.06266,1.167722,1.364652,1.347206,-0.4847613,60.56559,3.770001,10.11144,-3.861219,3.248514,14.04301,0.4367114,3.107831,-1.362097,-0.4561691,-5.866725,-0.4781409,-5.263292,14.25294,30.78689,4.091644,38.0006,4.2616,5.302532,12.01327,11.92167,-0.4432105,-0.003190273,-1.331761,3.987672,1.875324,0.09364454,-1.135537,3.819168,3.159461
40.86728,1.272954,8.504019,12.0064,0.1598136,3.728897,27.74268,6.069271,2.90957,7.910959,5.681016,9.002131,0.5742406,2.700811,17.49664,7.129897,4.705293,14.81339,-0.9952805,0.5227906,-1.424728,-6.771126,2.16055,9.953059,30.49253,3.163517,12.05767,19.47161,-2.144561,22.24113,5.721993,9.184732,5.394655,-0.7084454,0.211868,1.291138,33.84035,27.73637,25.33162,15.83705,10.75552,1.603062,7.241772,2.739184,-1.175004,13.77781,4.962141,-1.992274,18.47421,8.209449,1.456131,19.05928,1.532041,1.962769,-1.353377,3.892061,0.4716786,12.95691,8.561596,-1.891864,6.46952,13.68299,2.352399,2.681901,0.615178,-1.001253,63.04498,3.363373,10.76565,-4.571261,2.578218,13.45844,1.091916,1.961615,-2.125648,-0.5097792,-5.39831,-3.711023,-5.358789,11.98003,33.05219,4.583182,35.55053,4.790719,5.900171,11.85213,12.43127,-1.655268,-0.2162676,0.6869721,4.001005,3.097756,1.281659,-0.7164068,3.142922,1.959338
40.9672,0.9065756,9.064558,10.65058,0.8868752,4.302758,25.36454,5.422874,3.222524,12.65051,4.703599,7.556844,0.220748,1.29152,15.22946,7.046358,6.43572,19.91955,-1.528305,-0.9273033,-1.123671,-7.025729,1.118973,7.668847,31.8211,3.948819,9.925971,19.22997,0.00117361,20.77442,5.095466,8.281018,5.418715,-4.132699,2.221196,1.162291,33.51501,28.72612,27.3642,18.04079,10.15121,1.503281,8.482772,3.08749,-2.242785,13.30752,4.883953,0.2027755,15.10582,6.472198,1.505339,17.88124,1.403732,2.521216,-0.7456099,4.744624,1.231567,11.77815,10.7983,-1.305049,5.566515,14.32829,5.328513,3.507676,0.7881179,-0.3634412,62.59464,2.902506,11.40949,-3.428825,2.364695,14.21781,1.258992,1.185263,-2.330297,-1.165582,-5.604735,-2.435195,-5.408548,14.9258,31.49465,5.952637,36.39073,4.967452,4.364909,11.09622,12.49822,-1.317728,-0.9554824,-0.07845382,4.134746,4.572676,0.4125325,-0.2529378,3.910292,2.736634
41.06712,1.470917,8.533092,9.259819,1.480267,2.807912,22.80126,5.110901,2.039829,12.02181,5.272183,7.651063,1.577678,1.825474,14.24331,8.540719,6.181811,24.19595,1.563369,-1.998879,-2.872749,-5.399237,-1.347485,5.45581,31.55589,3.489651,9.869003,22.57524,-0.3974113,20.99865,4.924292,8.617102,5.142366,-2.10842,1.268041,1.928935,33.1709,28.65661,24.02955,20.56567,10.94311,0.6217503,9.862719,3.093158,-0.8426437,10.73059,6.742291,1.995929,16.6317,8.478973,0.9021582,18.50353,3.23186,0.7256019,-1.748772,3.945507,-0.4436135,13.20432,12.02638,-0.259437,7.006628,13.70541,4.134795,3.229893,1.162221,0.4431895,62.46003,4.310292,8.903349,-3.00072,1.821794,15.35226,0.8727188,2.30496,-0.7825332,-1.213656,-5.874351,-4.380271,-4.917994,13.39152,29.76493,3.050229,36.33584,6.370155,3.876411,12.63138,11.33541,-0.4686117,-1.308515,-0.2366155,4.033132,5.392364,-0.03459306,-0.9951738,3.924078,2.808263
41.16704,0.1164819,8.074368,9.249656,1.962232,3.712937,23.0392,6.801841,2.643343,15.01606,4.208011,6.687351,0.6714052,2.476366,14.57972,7.397714,5.165137,24.51206,1.15227,-3.305627,-0.9388481,-8.241365,-0.5813097,5.545573,32.34473,3.253747,11.13792,20.96626,-1.297406,19.06203,3.626136,7.769437,4.038384,-1.008831,2.932412,0.9573382,31.2555,27.46731,23.14501,17.69981,9.451812,1.133574,9.930861,2.737031,0.2552316,11.79563,7.517968,0.9010491,17.90391,9.396894,1.095635,16.38104,1.887275,1.532455,-2.453647,3.197649,-1.797061,12.83882,11.97932,-1.02235,9.300459,14.44901,6.086576,3.91449,0.5472199,0.6381662,61.14378,3.452097,8.982606,-4.043613,3.884066,14.52855,3.048222,-0.8973797,-1.092247,-3.51401,-5.278221,-3.331717,-5.325186,14.95624,29.7806,3.466287,33.05115,6.378726,4.418952,11.66615,10.20392,-0.9948829,-0.4713383,-0.3422991,5.811045,4.774492,0.545594,-0.2538317,4.073965,1.065154
41.26696,0.9261403,8.280192,9.811919,1.259424,3.933636,20.69681,5.804864,2.438389,18.78131,6.313496,6.112107,1.593636,0.7478991,13.18818,8.020061,5.333343,22.95264,1.93872,-2.609221,-1.056929,-8.231228,-1.254698,6.43574,30.73924,3.333721,11.11899,21.33999,-1.208694,19.25404,4.168304,7.452626,4.482678,-2.114795,1.446298,1.911414,29.97298,26.81646,24.2965,19.93122,11.74538,2.394013,7.26482,0.3210317,0.08303066,13.42217,7.191685,1.001485,19.20255,8.732183,3.756701,16.82521,2.559802,2.768651,-2.540961,2.864276,-1.05366,13.33775,11.96463,-1.597741,6.350725,11.90559,4.724616,3.564148,0.8763789,0.3440298,64.39522,2.556171,9.368683,-1.820737,1.375883,14.11761,0.7750406,-1.053164,-1.205113,-0.9523354,-5.325519,-3.008483,-5.414565,12.53537,31.117,2.4757,38.25697,9.094538,3.43,10.13331,12.5024,1.420861,-1.666277,-1.105016,6.289386,5.786362,0.7632273,-2.922207,5.59991,1.131324
41.36688,0.5150471,7.495097,9.59916,0.1983275,2.95464,20.67282,6.434824,1.509371,18.14054,4.204662,7.474672,-0.3562968,2.44179,17.12249,10.57728,4.141751,19.87101,1.329921,-2.74096,-1.214134,-5.431564,-0.8655059,4.007407,30.80941,1.070088,9.581584,20.50242,1.298332,18.19338,2.754769,7.685913,3.904421,-3.146308,2.431413,1.652915,32.2202,27.33089,22.36714,15.99761,12.37964,1.129386,8.250121,-0.8622406,0.04325778,12.98612,9.989164,3.231989,17.671,7.888318,4.441407,14.95942,0.7237049,3.306872,0.6545367,0.4439873,-1.13615,14.43854,13.94847,-1.93902,5.325776,14.49152,5.582733,4.463685,0.639088,-0.7503662,62.78121,4.652,8.125624,-3.253534,2.130704,14.76354,1.971818,0.4670259,-1.320839,-1.29342,-4.157098,0.2862093,-4.537843,15.38963,29.21582,4.164572,39.37029,7.87818,5.125951,8.411752,10.50262,-1.298719,-2.384839,-0.8989288,4.971647,5.39157,-0.7089282,-0.4116812,5.902479,3.097199
41.4668,-1.480874,3.430784,11.92315,1.410068,4.516345,18.83503,7.994795,2.852122,19.47401,6.365716,5.111916,0.7066281,0.2620952,14.7769,9.313549,4.249143,19.64379,3.056476,-2.065198,-2.167311,-7.585527,-0.5944301,5.268871,30.79093,3.479375,9.231873,17.19026,0.9726731,16.30307,3.144876,7.747222,3.415347,-1.850808,0.7769412,3.093101,31.49941,29.19746,23.66038,15.74259,12.39306,1.384391,8.393557,-0.5782009,-1.984207,12.80462,10.27424,1.573086,16.90917,9.363428,3.83815,14.0723,2.073097,3.387683,-0.3330871,2.135449,-0.4862225,15.11547,13.85414,-2.298423,6.17398,16.7026,1.635422,4.010665,0.5091011,-0.1868972,60.36609,3.579937,7.604541,-2.738861,-0.3195232,14.98301,1.793139,-0.5061251,-1.162977,-2.88143,-4.809791,-1.824242,-3.928707,16.51323,32.1628,6.133289,39.71157,4.087391,3.766583,10.10066,11.52763,-0.3758254,-2.262728,-1.599475,6.002392,4.732008,2.192916,-3.584221,5.394059,3.268471
41.56672,-1.96639,3.186966,12.15705,1.480777,3.975779,16.67281,8.297551,0.4934485,18.05282,3.888616,4.711957,2.832406,-0.330137,17.17722,9.726715,6.192233,17.1253,1.391309,-1.952951,-1.758844,-5.980142,-2.032842,4.336582,31.39731,3.448685,7.923248,15.49083,0.8530201,17.18567,3.971854,8.341634,3.559834,-0.9210632,-1.569783,3.485234,29.53915,30.04194,23.88322,15.29012,11.69307,0.875696,6.778563,-0.7710186,-1.525592,12.96607,9.271976,2.646136,18.05064,15.2181,3.826911,11.17154,1.673794,4.101051,-3.635089,1.555683,-1.018259,13.57056,15.15376,-2.881444,9.88615,16.67355,3.028196,3.817935,0.02246716,-0.4214917,63.00643,3.417759,6.633204,-3.806018,-0.1592476,14.10493,2.341615,-0.2493578,-1.680487,-2.36977,-5.72489,-1.857067,-3.902494,19.25199,36.34421,6.110793,39.38831,0.8849862,1.873615,11.16101,10.57962,1.026658,0.07707006,-1.581272,6.877176,5.039401,0.1526877,-3.644675,6.095613,2.55502
41.66664,-2.185437,1.087186,11.36983,0.2388056,4.378006,15.3511,9.703313,0.771608,17.84584,6.499163,4.363472,1.904634,0.4208568,19.26774,10.93515,6.167645,15.87879,2.930209,-2.853091,-3.405449,-8.573691,-1.936639,1.190471,31.58713,2.434916,7.815562,15.74706,1.897688,16.97914,3.202299,8.720669,2.444474,-2.830148,-3.297053,3.364975,27.65099,30.14391,23.68614,15.97726,11.62735,2.690785,7.609998,0.2171732,-3.672505,11.5625,11.18532,1.561326,17.82643,15.75765,6.676476,12.0436,2.33277,3.275917,-3.348114,2.420935,-0.005279912,14.37953,15.40536,-2.498134,10.58024,19.40546,1.583302,4.172678,0.239027,-1.915463,59.31944,2.734416,6.784573,-4.805545,-0.08623578,13.9261,2.494904,1.630321,-1.119019,-0.8854052,-3.382218,-1.948171,-3.338398,19.24298,38.04499,11.02106,39.84683,2.668549,6.08979,9.744728,11.5598,-1.103881,0.1369025,0.3611647,7.622643,4.99477,1.667762,-1.534091,5.53162,2.295872
41.76656,0.5053779,5.867851,9.494217,0.332615,5.076661,16.42198,4.781118,1.919077,17.02969,5.725514,5.966103,0.1737645,0.7562407,13.0856,11.05622,3.118306,18.18497,1.703106,-4.378328,-3.548107,-8.684831,-1.163747,5.26451,28.28267,3.416625,10.24525,20.42066,-0.02506345,14.02786,3.530661,7.656346,2.786852,-1.134684,1.759197,2.445743,28.66807,31.63563,20.02573,15.77004,12.98775,2.464659,8.695249,-0.0727862,-1.329206,11.69035,8.132604,2.78352,16.8747,12.97602,8.251818,13.10361,0.869926,2.809569,-0.8370942,1.434239,-0.05981139,14.10209,11.13782,0.6501614,11.77307,13.95495,5.064408,2.760737,0.1069475,-0.2578724,62.10057,3.695338,6.862219,-2.220679,1.365723,13.8023,3.472974,0.5215871,-2.318309,-1.376539,-2.391999,-2.158337,-7.028328,17.91542,40.11825,7.961612,41.88143,6.405509,2.58564,9.549158,9.283157,0.4348618,0.4011039,-2.063899,4.269487,3.012521,-1.03967,-1.131588,3.794123,1.220764
41.86648,-2.057803,4.795269,8.999865,-0.9971988,5.18058,18.12401,5.950125,2.353677,17.5813,7.919906,3.790187,0.2514786,-3.398159,17.20441,11.00723,3.07365,18.94871,3.986948,-1.461766,-2.872698,-6.114341,-1.272098,6.959876,29.94986,3.674581,9.230764,16.40961,0.805289,14.71958,2.621576,7.244005,4.039489,-1.542632,0.8924982,2.466036,27.17794,30.68107,22.0208,16.49061,13.25525,2.441757,8.797926,0.7497255,-1.398383,9.820367,9.025945,3.638755,16.62974,11.2962,8.501304,12.69024,3.194773,1.752288,-0.7273942,1.235797,-0.5525724,14.24412,14.21965,-0.1368614,10.8824,15.22466,7.426759,4.844286,0.3914263,0.07972515,61.96278,2.83374,8.097226,-3.367038,0.1707207,14.97511,1.733549,-0.3331916,-0.4648652,0.196079,-3.096568,-1.663303,-5.919227,17.31727,39.57607,6.492048,42.23102,7.549997,3.672688,8.849883,10.45907,0.1985647,-0.8423765,-1.592607,4.332061,2.888046,1.034703,-2.862537,4.788241,1.724876
41.9664,-1.022062,4.571921,9.948618,-0.5917243,4.660283,16.59989,7.370572,0.2926596,16.55297,5.992862,4.515227,-1.082729,-0.9166746,19.11191,13.30468,5.576014,17.57129,2.094501,-1.109786,-1.748194,-5.692235,-1.377864,5.693278,29.98218,4.641913,10.03748,16.07067,-2.952068,12.77941,0.6170544,6.172546,3.255616,-2.854158,3.000101,3.878653,26.98526,28.99992,20.9666,15.2023,13.39278,4.341071,9.483087,-1.085722,-0.09553301,10.3493,11.35222,2.322292,16.35976,11.48275,7.43165,10.69509,2.972409,1.165885,-0.7680966,1.688133,-1.083823,14.02575,15.00344,-1.094273,10.66134,13.29938,6.255328,2.783945,0.7969549,0.1288382,61.25824,2.849726,8.244483,-1.546283,1.800598,15.0811,1.163442,0.9059274,-0.7570721,-0.7730587,-2.698721,-2.136827,-4.750869,19.19826,36.08495,6.827679,39.45702,6.332361,5.15112,7.58624,9.051746,4.858702,0.8940642,-0.2476769,4.56693,5.942797,1.68003,0.1244157,3.931746,2.359199
42.06632,-0.07449858,4.879323,10.52837,-0.6237125,5.726247,16.49616,5.155936,1.541819,16.42048,6.718032,4.750248,-0.06290568,-0.1358607,23.81377,10.32741,4.822501,17.1712,1.449402,-3.877522,-2.406491,-7.144014,-0.5591381,7.469913,30.53475,4.925172,12.62076,17.84978,-0.5487631,12.00535,0.866565,7.929644,2.801307,-1.232461,1.799099,1.187157,29.45528,30.11756,21.83359,14.06071,13.35586,2.602936,9.272396,1.532882,0.7146159,9.601146,12.29127,1.715892,13.1583,10.48131,6.977922,11.43972,1.951645,-1.507549,1.600846,3.563892,0.116845,11.00661,15.62269,-1.492553,12.148,14.41428,7.432906,2.020517,0.8642408,0.2880575,60.51119,2.095764,7.557288,-3.431381,0.5342475,14.13249,2.887413,-1.487821,-2.790698,0.6467581,-2.20399,-2.58756,-4.777924,17.00307,34.72091,5.441245,37.44703,3.898062,3.448246,9.714847,10.1753,3.784242,1.335714,-1.682829,4.733605,4.352393,-0.2387736,-1.014616,4.484094,1.449181
42.16624,-0.3640449,4.592739,9.662292,-0.9506624,5.046863,18.03028,3.802475,1.696342,17.22469,5.553881,4.580517,0.5463306,-1.022945,21.92033,11.65634,2.751694,18.64712,0.3779086,-0.4281649,0.7192976,-6.656012,-0.2541939,7.044164,28.26152,4.984438,14.19603,16.61745,-1.668993,12.2196,1.128583,8.138834,0.9609662,-2.566985,2.185745,1.512563,26.89812,30.22098,23.68177,12.88231,12.86552,2.612676,7.415726,0.07796545,1.966157,8.194839,16.67635,1.922685,13.31618,8.479578,7.547603,11.35114,1.638419,1.017907,1.347341,2.025369,-0.4044148,12.14645,13.2725,-1.233607,11.89401,13.01511,7.370065,1.187446,0.4944189,0.1755845,59.27873,2.253607,5.66051,0.0165763,-0.2198271,14.13233,0.6844684,-0.7335967,-4.242874,-0.1565271,-4.257843,-2.956454,-5.045148,15.29252,33.76794,6.014969,35.9624,6.185083,4.234388,7.760069,10.53546,4.425438,0.7913979,-1.128442,5.945492,4.508043,2.502336,-0.635708,2.988513,0.9853345
42.26616,-0.2981983,4.071367,6.605853,-1.099876,3.164834,18.73487,3.495372,0.8606974,14.15313,7.17277,2.366104,-0.4183922,2.052284,22.22087,10.928,5.546059,18.13585,0.6412339,-2.639914,-2.690572,-4.502531,-1.361959,3.086579,31.71531,3.071605,14.71114,15.96323,-1.31369,11.72201,0.4726944,4.280749,1.05355,-2.826556,1.131716,1.843903,28.76399,29.59578,24.79977,14.54829,9.851175,2.746433,5.7112,-0.5416294,1.214606,7.278786,19.85332,-2.216018,13.77409,8.22343,7.115284,11.66444,1.379481,-0.02491913,2.470574,2.386695,-1.129197,14.11989,15.58891,-1.560515,10.423,15.12282,6.469796,2.4674,1.202192,-0.981977,58.18563,1.781692,7.197831,-2.416227,0.793412,14.23117,3.603881,-0.9976619,-2.624995,-1.96335,-4.013901,-1.477896,-6.227124,16.9244,33.33632,7.823783,30.50032,6.458537,4.193823,5.939563,9.818573,4.530495,2.497055,-0.8511426,4.752363,4.338967,2.558156,-0.9731684,3.517456,2.036099
42.36608,-0.7536405,4.520484,7.187654,0.4859922,3.431753,22.10756,4.384066,-0.2173684,12.23703,6.560822,3.963086,0.3964146,1.759557,22.19495,9.440707,4.837196,14.4073,1.085278,-1.785943,0.9184591,-2.809911,-1.185602,4.60596,31.96106,2.03509,18.32945,14.64924,-1.565943,11.42191,3.469691,5.364982,2.402079,-0.4743569,0.2908595,2.685453,30.19044,29.14993,27.04919,13.88463,14.25909,0.577035,5.762589,1.596804,2.15135,6.186,20.93243,-1.159829,13.41405,7.835678,4.232487,14.11167,1.177072,0.5889987,-0.07240082,2.936574,-0.8251632,11.47586,15.33295,0.9593042,10.85343,14.06854,5.870892,2.305202,0.7957681,0.89689,56.29264,1.709187,7.225554,-0.2824706,1.169509,16.24489,2.742037,0.4936236,-0.935112,-1.081791,-4.717803,-1.675762,-4.438878,17.05835,30.91641,7.073974,32.42698,5.486374,1.940581,7.743907,11.0551,3.791643,1.164313,-1.100755,6.179398,2.024509,4.06438,-0.3405271,3.201562,1.120529
42.466,1.860868,6.895089,7.552034,0.08567148,1.89876,26.03049,2.764771,0.392728,11.57044,7.43854,3.435244,1.759732,1.497322,21.85928,8.758024,4.254755,16.03572,0.3851919,-0.6307359,0.5584522,-1.987743,-1.298434,5.268867,29.94016,1.591491,21.17879,19.91562,-1.764247,10.27945,3.602351,4.697474,0.4640891,-0.1069966,0.4655663,0.9399326,33.34744,29.68125,26.1075,13.42572,12.08891,0.4929378,5.797951,1.928176,3.282518,8.526704,23.74777,-0.9557018,13.40277,5.615524,4.767732,13.35039,-0.5108911,0.947965,1.851013,3.229749,-1.947593,12.22486,14.40784,1.05009,12.59466,12.29743,8.181939,5.021791,1.259794,0.8534287,58.03331,1.72886,6.323781,-2.088026,2.959441,14.51429,2.672483,0.4408458,-0.6190406,-2.496599,-4.22423,-1.794662,-4.228512,14.93012,30.18446,6.676721,29.77355,6.674407,4.610179,5.609612,12.12376,3.195561,1.620346,-1.148957,6.115976,3.620235,2.252032,1.091824,3.105712,1.285897
42.56592,-0.03430369,5.551853,6.798513,-0.3381082,1.007463,28.44716,3.330021,-1.397028,11.5202,6.482635,2.877978,0.8066719,1.520151,20.56816,8.774189,5.982255,17.0221,2.842233,-2.201384,-1.570148,-3.088309,0.6032206,3.950172,30.45678,1.243572,22.59372,15.5835,-0.4090491,10.44899,3.248512,4.384646,3.135149,-1.502974,-0.6616024,2.884775,36.05721,31.27189,22.64796,13.53779,12.38282,2.883772,7.254763,0.7995183,0.214905,7.238622,26.1373,-1.748787,12.80991,6.753853,3.860256,14.406,1.612892,0.2099571,1.722673,1.573441,-2.091296,14.0381,14.03611,1.089634,12.46712,12.53396,5.699709,4.898597,1.838527,0.5096107,53.53501,1.196767,5.014549,-0.1432867,2.152207,15.35599,3.041635,1.404407,-0.9984585,-2.383899,-4.754749,-2.213885,-3.18868,15.45219,28.3937,7.204774,25.9311,5.416859,1.592695,8.880732,13.07971,4.857534,2.691523,-1.429423,4.174631,2.728515,2.601929,-1.323532,5.140681,1.98058
42.66584,-0.2220584,3.59178,6.339934,0.7267026,0.6487617,31.7615,3.620772,-1.239295,10.75406,6.079144,3.326222,1.214681,4.754286,17.47424,6.735328,5.526979,21.74662,0.7792467,-1.5047,0.446019,-3.571954,1.196172,3.366933,31.86547,0.9973419,22.38581,16.43794,-1.074012,9.437186,2.98448,4.355695,0.2214975,-1.79303,1.601205,0.9241217,35.73322,29.39067,21.50675,12.79772,10.68654,0.971014,6.349596,1.006085,3.948579,5.748238,22.64752,-3.27392,14.20403,7.221566,2.790364,13.80094,-0.7667144,2.270461,0.3236369,2.407082,0.7207873,13.36279,12.51618,3.028041,10.88263,13.17708,5.070855,3.62569,0.7400012,0.9086049,53.28359,1.805076,6.743187,-0.3444219,1.131158,15.30133,4.375723,2.459054,0.32737,-0.9726731,-5.2884,-0.5064533,-1.180442,13.82099,27.76238,9.282765,24.63016,6.768518,2.584794,8.701865,16.67863,2.115176,2.675071,-1.198917,4.068507,2.03892,0.865714,0.05723912,3.693705,0.2060738
42.76576,3.005011,3.800838,7.871866,1.594094,1.274016,36.22153,3.235574,-2.019601,10.18258,5.745654,5.233195,1.226071,2.987545,17.10633,7.426172,2.78389,21.80991,-1.631242,-0.7015522,1.565425,-4.668962,0.5142117,4.160697,30.65613,2.149033,23.03038,15.00297,-2.86995,9.793926,2.846734,4.464386,2.144423,0.5067791,0.1406424,1.820364,38.48632,30.94583,20.47697,11.66597,9.039018,3.398295,6.795366,1.652732,5.360207,6.532661,24.06171,-2.782534,13.58263,6.740077,3.879629,12.15546,2.296096,2.112886,3.482051,2.393972,-0.7441335,14.16687,15.8206,3.174389,12.95719,11.50979,5.364977,3.776103,0.3074742,0.8733579,52.08478,3.97222,6.257724,-0.9329998,0.9528188,14.26611,2.085932,0.8098066,0.08830278,-2.426583,-4.415858,-3.229856,-2.012774,13.29571,26.64973,7.920031,23.62503,5.515126,4.45522,7.300489,17.513,2.154825,2.55576,-1.608699,3.7415,2.009227,2.249152,-1.850529,3.991631,0.4029151
