 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85, C86, C87, C88, C89, C90, C91, C92, C93, C94
1.29896,21.6538,8.610872,30.48525,-1.136722,22.57237,6.086857,9.040558,6.305649,-2.907665,0.1340901,19.73526,0.1506654,9.097729,-1.622826,-3.712312,-3.182298,-0.04754723,0.05577874,-2.519381,10.15902,8.712757,2.513817,7.093139,11.15185,6.019599,-1.98736,67.71533,12.86416,3.465496,-0.1703358,0.1638131,1.793795,-1.783454,1.702174,2.60234,8.580624,29.9349,-0.1140574,8.246826,20.88345,1.68809,19.01661,0.6358775,-2.601036,-2.279649,2.02655,11.60757,4.894198,14.4508,6.875492,5.215292,1.420153,-1.569523,4.37079,1.390582,-0.1908758,0.7999471,1.521655,0.7645406,1.822275,-0.188065,12.96977,11.07654,5.602697,1.460839,9.951708,29.60083,1.945117,-1.960036,3.609876,2.76827,9.926351,6.609168,-1.0185,-1.293804,-1.785976,1.068935,3.161457,22.49298,0.5181273,4.676892,0.06056184,8.76756,16.47598,13.63699,1.204273,3.741709,1.699644,3.126433,-1.395827,0.8546448,11.13654,20.55095,0.2541078,-0.2745029
1.39888,20.4097,9.865121,30.52416,-2.267812,23.90477,6.794381,6.764764,6.183684,-2.010192,-1.816978,21.24271,0.1934698,7.745838,-2.138039,-4.081628,-0.7669573,-1.663281,-0.5617092,-2.650847,12.38282,8.912069,2.528909,8.727785,10.258,5.384551,-0.1892174,74.77831,13.70524,3.534488,0.1728529,-0.8273834,1.971346,-1.399089,2.925157,1.877495,8.241838,31.60871,-0.07874127,9.255633,22.13319,0.96712,19.67777,-0.6105289,-1.733183,-3.344159,-0.1744376,12.21248,5.454769,13.36602,7.964019,3.76641,3.067541,-2.787535,6.307184,-0.1589557,1.108073,2.522034,1.729296,-1.829151,-0.008331832,-0.9485297,13.00921,8.144755,6.329042,0.1219546,9.370067,28.94408,2.85238,-1.880408,2.968858,2.644007,10.19392,5.251687,-0.5289957,-0.888527,-0.5461531,1.576847,2.297302,23.14791,-0.5356146,5.678019,-0.6796132,9.598999,16.86396,14.07459,1.209532,4.125247,2.590176,1.995823,-2.022782,-0.7969406,10.2979,20.60433,-0.4719763,-1.59183
1.4988,20.68592,10.41189,30.20652,-0.06859375,23.48951,6.050498,8.65138,4.466774,-3.177414,-3.261954,19.54447,-1.127646,10.28241,-0.7084372,-3.806334,-1.30971,-0.7682909,-1.895589,-2.973273,11.27607,10.0624,1.971928,4.92077,13.18609,4.921504,-1.064352,69.35381,11.77871,3.653829,0.267639,-0.8456386,0.2032203,-3.601916,1.370225,3.942887,7.498298,29.84084,-0.5296555,9.102379,21.0299,-0.05796269,19.27193,1.08434,-2.688969,-4.761164,1.705505,11.97401,5.927903,12.42846,6.625889,3.681897,5.148328,-1.878289,6.563988,-0.4597034,-0.7478032,1.581723,0.7148948,-1.874852,0.3144992,-0.3164739,13.76976,9.8817,7.3918,0.6070513,8.618649,27.79636,3.190394,-1.5099,4.983296,2.95256,11.01078,6.239331,-0.4081369,-2.999354,1.518711,0.0323052,1.825142,21.01701,0.02631485,3.585344,0.2331505,7.140449,16.68645,14.51002,0.2950405,2.930085,2.405548,1.543294,-2.927536,-0.3531787,9.939944,20.55434,-1.959173,-1.03573
1.59872,20.05971,10.81149,33.03057,0.5931913,26.9578,5.966516,5.997093,6.190012,-3.156222,-3.104448,18.93948,0.2218388,8.244713,-1.334202,-3.356022,-5.407748,-1.811842,-2.067981,-1.943586,13.04655,12.65588,1.903952,5.958616,11.19749,5.357165,-0.1571093,70.4058,9.319862,2.506811,-0.7620348,-0.3740701,1.347066,-2.538604,1.978756,2.647274,8.556956,31.53381,1.103749,9.487739,21.90415,1.786997,18.08154,0.2054611,-1.613928,-2.128659,2.340259,10.9054,6.310664,11.62518,6.850741,2.119904,2.888673,-1.067672,4.947604,0.4794575,2.52016,-0.318574,-0.5341408,1.489533,0.08648514,-0.9404269,11.42811,10.09001,5.849524,-0.0980343,11.09908,27.9653,4.931846,-2.822564,6.247275,2.73305,10.09636,3.894535,-2.983699,0.3635696,2.635193,-0.06313228,-0.2288357,20.43809,-1.109321,5.405257,-0.5086443,9.89307,13.11305,11.51355,0.9640916,3.595728,0.65813,0.07079443,-3.586594,-3.198049,8.953075,21.53783,-0.3716494,-1.267174
1.69864,20.32497,9.596746,37.06786,-1.285825,30.09146,4.397614,5.579462,5.078524,-3.487674,-2.51471,16.36506,-2.513673,8.815562,-2.024081,-4.887187,-4.974261,-1.306432,-3.105799,-1.826685,10.92122,11.41617,-0.9625033,6.666099,11.60252,6.074902,-0.983707,67.46443,9.214603,3.491472,-2.213947,-0.3099017,1.506338,-3.409289,1.425991,1.073048,8.150926,30.32759,2.156794,10.99506,20.2585,1.565937,17.33022,1.229548,-1.936209,-2.762909,-0.992395,11.05015,7.297012,11.43405,6.551985,3.250499,4.713828,-2.334501,4.06344,0.8986087,-0.2473133,1.169708,2.355361,1.56794,2.027124,-2.15073,10.00657,10.05597,4.259985,0.1346681,10.99113,30.28422,3.854732,-2.42657,6.061408,2.178278,8.886908,2.934438,-2.934204,-1.518058,0.373592,1.434725,0.5726249,23.95893,0.7408071,4.185753,-0.2796922,8.316929,15.42537,10.03021,1.293483,4.037958,0.03892396,0.7532318,-2.922718,-0.7778812,9.5674,18.91642,-0.5335226,-0.9441621
1.79856,21.14923,9.216619,38.77628,-1.623329,33.5621,3.54967,5.750514,3.245522,-3.528354,-3.601406,16.06521,-0.6286252,9.633737,-1.918,-3.473424,-3.364384,-1.687927,-1.953546,-2.972986,8.502398,12.55014,-0.2029005,3.260725,11.83544,3.579626,-1.352277,63.71331,10.42384,2.673958,-0.2648783,-0.3249699,0.709029,-3.339807,2.580384,1.711863,7.129721,32.37148,5.22143,11.24235,19.46524,1.489855,17.05176,-0.03726953,-2.62446,-1.94685,0.8880184,9.512865,5.841068,12.82771,6.008767,4.705482,3.405403,-1.26289,6.780999,0.8125067,-0.4806687,3.819938,3.090505,-1.239359,1.655994,-0.0365953,8.63943,10.10014,6.012411,0.783871,10.38872,33.60156,3.320076,-1.507607,6.102301,3.723556,10.58912,5.866046,-2.001642,-0.06289229,1.471261,1.064692,0.04415854,23.96491,-0.8574046,4.209726,-0.2314255,8.575305,14.80447,11.38282,0.8834308,2.424674,1.853074,2.695903,-2.753133,-0.1247781,7.86123,18.38814,2.658157,-1.108002
1.89848,20.82155,8.50312,37.89425,-2.151101,37.51036,5.241688,9.295382,3.525281,-3.657501,-1.768983,14.92185,-1.398273,7.360504,-2.460238,-5.839271,-5.120026,0.3550481,-2.243503,-2.293847,9.962887,14.4844,-1.007591,3.473495,13.06754,1.767978,-0.0913819,61.20557,13.48455,2.966491,0.468287,0.06192378,1.262936,-3.019638,0.5060331,1.609715,8.262022,33.96315,3.644825,12.74679,19.1732,0.4528719,15.9604,-1.236487,-1.437172,-1.922442,0.3698142,9.297214,5.115242,14.14932,5.888597,4.916761,1.670251,-1.758207,4.029621,0.5906299,-1.925623,2.132117,2.514899,-0.4076367,0.4224245,0.9638099,9.983992,9.45879,5.123863,-0.7210324,9.909892,34.37512,2.9853,-3.560856,4.181415,3.532177,9.651163,5.55014,-0.9030301,-1.172364,0.3576327,2.533031,0.5030792,25.79696,0.8808763,6.601622,0.0961282,6.857184,15.80805,9.071506,2.168808,1.174768,-0.01031819,2.571681,-4.198524,-1.520353,8.464858,17.86025,3.848581,-1.009748
1.9984,21.10748,7.845053,35.50723,-1.361515,35.89716,2.957418,9.807519,4.302474,-3.658406,-2.79203,12.75147,1.662397,5.412585,-2.394353,-5.146091,-4.921252,-0.2300868,1.271047,-2.786891,8.256013,16.77474,-1.257656,-0.391069,14.20632,0.397685,0.009021753,57.84603,15.82351,1.210226,1.664854,0.2177214,1.182237,-2.840044,-0.1007842,1.527697,9.081742,35.79011,5.204503,11.71022,17.65657,-0.9284216,17.31569,1.42402,-0.9177598,-3.355587,-0.8375529,9.366289,4.263643,15.87557,5.37184,4.641484,2.485678,-3.545177,3.175917,0.6227341,0.4947658,2.276861,3.065788,0.04107569,2.991695,3.15423,9.091428,10.79288,5.085139,-1.742685,9.626269,35.43522,1.454701,-4.256173,1.297483,4.27937,9.937593,5.862363,-1.763122,-0.6735991,1.04128,3.023204,2.934039,26.77347,0.517246,6.884628,0.2493434,8.236866,15.08894,10.98786,2.80018,2.384044,-1.013797,1.698928,-3.484865,-0.5775555,7.76051,18.13256,2.957636,-0.8494434
2.09832,18.48101,8.860875,36.28128,-2.068638,44.43544,4.903332,7.525353,6.224431,-3.740489,-2.249832,17.64519,-1.73812,5.495754,-1.377483,-6.015084,-5.290373,-3.686459,-1.298549,-2.222533,6.493077,16.17894,3.455145,2.126868,12.93113,2.621258,-0.306967,63.6682,13.55182,1.587603,1.615835,-1.13069,0.8549657,-2.533806,2.916871,1.148196,8.326689,34.6764,1.919783,12.68487,18.51154,-1.283927,17.74348,-0.2299716,-1.223396,-2.371042,-1.341103,7.560256,4.469562,12.89842,4.975413,3.748758,0.958734,-2.395133,4.120412,1.378279,-0.6282731,2.130934,3.336118,-0.01539534,2.269202,0.3868731,8.329783,8.808635,4.359101,-0.3176487,7.669706,35.20555,1.356148,-2.851593,2.633688,4.54164,9.682372,5.489095,-1.349496,-0.4514997,0.7082841,1.214899,-0.0391863,23.55345,0.6416481,5.626059,-0.4993946,5.803,15.02031,11.63935,1.463669,2.125566,-0.3593648,2.466053,-5.025255,-2.518625,7.654126,17.20519,3.118248,-1.826535
2.19824,16.62148,8.818048,37.62224,-0.9530367,45.0134,5.839244,6.008686,7.844896,-4.092022,-1.673039,19.52578,-0.5338175,5.376072,-1.128518,-5.984058,-7.252434,-3.285341,-1.60311,-2.159786,8.912002,14.96065,3.154746,4.382685,11.57586,1.304158,-0.9937093,64.30058,10.33566,2.449965,-0.1933145,-1.417979,1.438175,-2.442717,0.9260674,2.74502,8.591023,36.22653,2.544133,11.79202,18.36635,0.9607669,15.6766,0.8481524,-3.285847,-3.173052,0.7450737,7.967372,6.115766,10.97916,5.110748,4.085522,2.65012,-2.086683,2.076009,1.553679,0.1328306,1.501041,2.193125,-0.8372427,0.6557605,-0.1861505,12.77794,10.71828,4.1575,0.469213,8.563002,34.28503,2.149477,-1.563451,4.925262,3.931473,10.84503,2.958867,-2.044101,-1.753721,-2.707275,1.049824,-1.460489,20.9919,2.01694,6.350178,2.060087,8.795514,15.45723,13.31526,1.642874,0.955026,-0.1427605,0.6595457,-2.844591,-0.5283999,9.594502,16.98958,1.230961,-1.835885
