 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C130, C131, C132, C133, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146
23.88088,6.317747,10.06826,15.07346,4.004908,46.08192,1.932372,7.946234,29.28946,0.6518811,6.037151,17.02372,4.256042,3.543745,-1.131394,7.63202,15.35682,9.34754,1.82607,2.008851,40.72613,4.353477,2.463875,2.583911,-1.453961,10.08835,2.316714,7.996828,-0.2917911,18.12849,-3.057112,0.9386924,1.108335,-0.2159763,0.05764547,3.005236,1.575249,9.476192,0.9113173,2.078924,-0.6673779,0.6621096,2.670921,1.03167,9.910772,12.95823,28.71947,-0.5999081,2.337374,0.3819821,8.50997,1.652678,1.761813,43.52518,-2.725517,0.8131576,5.30933,4.939361,13.81797,4.152884,0.3872905,3.124549,9.921991,5.898151,10.2612,0.7927042,2.139539,-1.175242,6.788651,0.9195802,4.469396,2.482821,6.714377,1.857303,4.194729,-0.4013688,17.89803,4.266859,0.3746341,17.78004,7.750945,21.00625,3.439477,7.675796,2.575324,9.621524,0.0458114,6.238606,7.29901,6.033869,2.07497,6.243358,41.11502,20.50378,3.712754,21.29956,-0.4924995,0.9709769,2.126096,0.8499465,-2.02284,1.835386,6.771424,35.79568,-0.6709638,13.63426,8.075358,2.067611,-0.7930315,13.67288,0.4282969,6.338814,5.926168,1.061169,6.33726,5.943201,0.1176119,0.1803913,9.667499,1.853491,6.678305,9.534075,5.713787,2.790722,3.24349,11.45372,0.6452318,26.90052,32.39668,-0.7314979,1.404518,34.55252,0.6314251,6.711339,-0.1592161,5.841962,-6.333653,12.27155,1.415461,1.420613,4.447927,22.73357,0.4252557,4.744167,-1.568603,57.26268,0.4098847,18.4703
23.9808,6.442613,9.421142,14.81116,3.200566,46.23426,0.8358913,7.282988,29.1157,-2.221844,7.685444,18.42322,4.502396,2.415472,-4.47736,7.973398,16.96334,7.526534,1.19363,2.041494,38.49915,5.806594,2.402344,3.862845,-1.265563,8.700144,3.837212,8.85197,-1.164915,19.01291,-0.6912352,2.431994,-0.06485912,-0.6887363,0.3808133,0.9577177,4.419118,9.896148,-1.085674,1.885418,-1.722292,0.3104737,0.5726,0.9949529,10.61102,13.3331,29.53121,0.5197923,3.663292,0.8023918,6.467155,1.449439,1.552306,41.12373,-0.1666465,-0.6320129,3.496923,4.589709,14.06522,4.264532,0.1302784,1.334744,11.23992,5.03647,10.97851,-0.08291231,1.241067,-1.252756,6.655023,1.732859,2.392205,0.8586525,7.598671,2.274178,3.655414,-1.313487,17.71008,3.591456,0.984336,13.45572,8.465561,21.64973,2.635484,5.792673,1.8354,7.211237,0.7214605,6.860046,4.912748,6.076315,-0.091988,8.49474,40.15072,20.76445,5.183542,21.68405,2.069876,0.08160468,0.1777802,-1.549349,0.2521237,1.756811,5.339334,36.38935,-0.1330013,12.83835,5.302985,0.6521182,-0.4424776,14.41224,1.035783,7.294886,8.114628,1.993271,7.388123,6.44381,-0.3460763,0.734682,7.479436,0.6314508,5.236085,7.667715,6.988623,1.151655,6.662551,12.80974,0.2809511,25.13918,31.4817,0.9259411,0.9841979,32.86237,0.656943,7.434165,0.805371,4.681462,-3.313205,14.34655,-2.065901,-0.04682049,5.213963,22.79296,0.5650789,3.083713,-1.672506,57.34895,0.3573516,19.29687
24.08072,3.37293,9.801882,14.41524,3.171333,44.75675,2.384723,10.91143,27.61195,-0.6134928,8.521316,19.39391,4.241393,0.4145357,-4.485559,5.277946,18.09029,7.844803,3.953807,1.08982,36.35726,7.828266,2.2882,3.255554,-0.3006041,8.961759,1.869398,8.362058,-1.685003,19.90298,-4.039191,2.037363,1.25757,-0.4692453,-0.5408078,2.053282,1.989084,10.3331,0.0269074,2.021141,-1.812495,-1.884161,1.532178,0.6082059,9.819427,12.27566,29.2925,0.327048,3.759696,1.118604,7.891795,1.337039,1.368595,41.07604,-0.9625849,1.152975,5.651016,4.089346,16.4697,1.839331,-0.3502073,1.581188,11.18632,7.437503,9.287003,1.050138,1.088351,-0.1190275,7.365602,3.139442,5.68088,3.552073,7.007297,2.793153,3.835787,-0.05898992,16.47127,4.1216,0.9440964,13.73286,7.70301,23.10105,4.262725,4.765118,2.684138,7.701576,-0.4214725,5.380922,3.464053,4.867291,1.671533,10.55198,39.55635,19.85738,2.234169,20.22902,1.16188,2.142874,1.470492,0.7494601,0.7853321,0.8100913,6.976038,39.02271,0.2631001,12.5496,8.017409,0.4072404,-0.1992644,13.91367,0.7658989,7.381698,8.320658,2.032807,7.927492,6.746124,1.215962,1.891139,7.675642,-0.7019716,7.007821,9.150161,5.625317,1.671806,5.120684,13.8947,1.521184,24.99635,30.85318,1.160442,2.211625,30.31905,0.6118373,7.138973,-1.38948,5.862301,-4.517768,12.26044,0.8372136,-0.8450537,2.440432,21.05054,-0.6473381,5.464571,-1.489972,55.9854,0.3075126,18.51037
24.18064,5.320565,11.21106,12.81721,2.537409,42.67119,1.684238,11.15955,27.23949,-1.048244,7.462242,17.37306,4.476525,2.159996,-3.199247,4.711312,17.27859,7.727146,1.317169,-0.2448507,35.90635,5.159444,1.498371,1.857085,0.2324062,9.557226,4.169795,7.066612,-3.829779,22.70003,-4.006742,4.451538,0.3037181,1.277589,0.3365715,1.750783,3.307696,8.950643,-0.9754712,3.753833,-0.9757983,-2.123173,1.360273,-0.8000892,10.41419,11.70435,31.79682,1.205869,3.382865,2.173902,7.512123,0.3822238,2.571303,42.18003,-1.61707,0.9094088,4.455328,4.913749,14.74816,0.9363351,-0.2901842,2.690407,9.225595,8.569309,8.167766,2.646321,1.49198,0.2745274,7.406656,2.483962,5.638098,3.282372,5.592049,2.972938,4.722764,-0.4084938,14.75267,1.761438,-0.891239,13.31028,6.612039,23.39858,2.603996,5.729258,2.617618,7.376243,0.6886786,7.125001,4.354089,4.882583,1.183888,11.51906,38.55771,18.41748,1.858739,20.40624,1.513022,2.303387,0.7205921,-0.7708902,-1.417922,-0.7580791,7.715234,40.13578,-0.3409018,11.99466,9.835244,2.37159,-0.6575809,12.95349,0.5866401,8.934424,6.344571,0.0966088,6.379245,5.639787,0.6943358,2.283932,4.170613,1.556723,5.668034,9.853622,5.347435,2.499502,6.022095,11.62144,1.411041,25.68575,31.74867,0.6711515,1.819521,29.05003,0.3864655,8.466087,-1.094744,5.215036,-4.243957,13.1179,0.3626983,-1.294537,0.4961579,20.54606,1.950921,5.924623,-1.598427,56.59872,0.2602296,17.76183
24.28056,3.384791,14.40453,14.14648,4.174135,43.41767,2.308837,10.51259,24.54605,-1.695702,7.631495,17.52369,5.826918,1.323127,-2.501313,4.86658,18.70782,7.354095,2.808163,0.7424976,35.50914,4.981726,0.8405112,1.809028,0.3937811,6.375011,2.084252,7.776077,-2.654792,24.4031,-2.769251,2.345231,1.023105,-0.7648332,-0.007583138,1.702994,0.9112551,10.05134,-0.4052095,1.826581,-2.441645,-0.5998177,3.335244,0.2859035,10.31224,10.0659,29.21211,-1.428389,1.824686,2.972322,9.220986,1.535885,1.325962,40.23539,-2.830761,1.16203,3.806357,4.794306,15.21528,-1.185835,0.2413234,3.413253,7.969553,9.725072,9.11778,2.415169,1.502124,-1.072093,8.524709,2.779254,3.320537,2.623126,5.162608,3.632782,5.138735,-0.5443242,15.23049,0.1772794,0.05048984,12.20633,5.976813,20.21922,2.541627,6.428402,2.098937,6.884726,0.5036072,6.543612,3.987162,4.74603,1.199714,11.21229,38.09293,19.70282,2.193807,23.0591,-0.4291964,3.955631,0.9820296,1.484596,-2.185994,0.8467833,6.41619,39.33035,-0.2097143,11.18764,9.620742,1.184723,1.306605,13.017,0.8434314,6.247665,7.070421,0.7216867,7.003721,7.527192,1.386567,4.367289,4.962013,1.052433,5.649666,8.454634,4.789978,1.759468,4.690575,11.13278,-1.370762,24.07039,29.84447,-1.408538,2.36085,27.66566,-1.192335,9.143968,0.3900773,5.874509,-2.742714,11.73014,2.110847,1.06114,2.872207,20.03893,0.5118279,5.026227,-1.563954,54.95284,0.2153717,17.04939
24.38048,2.590641,25.22407,13.4967,3.813625,41.75782,-1.374852,10.83559,23.90196,-0.7610024,4.912652,15.16735,5.089932,-0.3398298,-3.098297,4.10826,22.57631,6.740897,1.541439,-0.2070964,33.24984,5.764105,1.113309,0.563825,0.2278201,6.804971,0.5754246,5.801847,-3.113038,26.77032,-1.004552,4.631376,-0.8846119,1.221871,-1.165006,0.7660923,2.393259,8.508815,0.7315755,0.9757743,-1.482135,-0.8668538,0.4842331,0.1020243,8.267097,13.063,30.48385,-0.4734174,3.47442,3.930981,7.938626,2.54496,0.7903129,38.30384,-1.773033,0.9026186,4.700207,3.87778,15.57423,-0.5235033,-0.1779854,4.276659,6.821308,8.360394,9.542697,1.276405,1.693287,-0.9273918,9.624414,0.717072,3.437064,4.804228,4.187053,3.195806,5.960629,-0.1134486,11.99853,1.5739,-2.253144,11.95815,5.803808,19.65728,1.052817,6.510008,3.915712,10.44902,1.11217,5.256739,4.718165,2.986848,0.5433234,12.33613,37.17225,18.75999,2.140613,21.3404,1.109724,1.613674,0.3598155,0.3467306,-0.57032,0.2211011,10.26437,42.81474,0.6121336,12.62914,8.329083,-0.5754142,0.00890281,12.0641,1.776958,7.878309,7.609381,1.915518,5.25956,8.091974,0.04238096,2.354854,4.664118,-0.6577672,7.654804,9.842541,5.742985,0.4876609,4.481331,10.90962,-0.07890601,23.26462,28.79036,1.418332,2.632328,26.22921,0.1950662,10.45966,-2.094253,7.511203,-4.164797,11.76808,2.259545,0.2777909,3.436895,19.64571,1.313462,4.514938,-1.46197,57.57793,0.1728142,16.37131
24.4804,5.715489,36.15499,12.13401,5.642098,39.97335,-2.108356,10.34239,22.5331,0.8625982,5.537611,15.46922,4.457018,0.4583382,-2.419864,1.889587,25.82755,7.77589,1.985296,0.2765171,33.57754,7.091323,2.127749,0.7382358,-0.01097247,5.894077,1.465086,7.982593,-2.386847,26.00639,-2.109832,5.044662,-1.668146,-0.6984599,-1.008428,4.983265,2.237478,8.871795,0.8884166,2.159309,-2.706202,-1.099505,2.998466,0.6516659,9.912842,12.59931,30.80837,0.005144686,3.859245,2.628918,7.492046,0.4649966,1.933326,38.31465,-1.728946,0.4273479,5.22453,4.782203,15.29105,0.2931469,0.4852998,4.302177,8.517676,8.366742,9.687575,1.72471,3.026372,-0.9215597,7.385958,0.9211702,3.012119,1.766037,5.191238,3.544536,4.628935,-0.3676895,13.70297,1.168433,0.5602763,12.04471,4.119292,18.03066,3.151991,7.249539,2.511063,9.20246,1.758101,6.477889,3.920331,6.128243,0.4834884,14.63459,35.92814,19.33038,3.701812,26.89598,1.328453,1.589953,-0.6265708,1.177597,-1.502677,1.443302,8.812223,39.7433,-0.7033533,10.42803,7.539566,2.588095,1.230013,12.12485,0.902437,7.083909,8.214356,1.122287,5.206371,6.789255,0.5810157,2.478835,2.907462,0.6422518,5.73958,9.912683,6.907207,1.959093,5.18912,10.72252,-2.484746,24.1113,28.77325,0.9963814,4.662367,27.28209,0.4872396,9.397193,-0.6527002,8.008994,-3.537683,10.78715,2.034831,2.013347,2.845025,19.05129,0.3327554,5.450381,-1.571915,55.32412,0.1324394,15.72593
24.58032,8.635003,50.86547,11.9362,3.878022,40.82761,-2.123545,9.952489,24.3895,0.76976,2.43665,11.42921,3.290626,-0.4281822,-2.301648,1.706088,24.84753,8.176812,3.094159,0.7349415,30.09229,6.470796,0.6550834,1.647519,1.780398,5.401795,1.003062,9.152832,-3.783639,25.64207,-4.911371,4.601163,-2.258743,-1.090642,-1.234773,3.804499,2.391386,9.587255,-0.5601615,3.507631,-0.8942752,-0.3695346,1.840377,2.531537,11.17222,10.04527,30.02097,-1.109424,4.292409,3.553959,7.079632,1.353997,1.776121,40.8628,-2.3576,-3.272452,4.614103,4.85776,13.83779,0.02948114,0.1708499,2.636563,7.919156,8.840952,9.737337,2.437724,2.349855,-0.01979922,7.151417,1.800614,1.457649,3.196379,6.531461,2.369151,6.565244,-0.5477602,11.25182,0.5300616,1.115783,10.83543,4.09482,18.28884,0.7810127,8.923964,1.652123,7.408817,1.145859,5.251783,2.287225,6.284384,0.407974,19.45495,36.22245,16.9294,4.40605,32.65305,1.811632,1.357358,1.478562,0.4701339,-0.4918801,1.458649,9.915567,40.50241,-0.3618692,11.95873,7.174364,0.7506896,-1.507327,14.42475,0.4981613,8.134736,8.493052,0.8665776,4.973057,7.595588,1.081281,4.168405,5.791236,-0.1258809,5.578571,8.584101,6.749804,0.8124696,4.943717,9.46312,-1.292377,21.66659,27.39167,1.022685,1.486323,26.5195,2.474256,9.512539,-0.6179881,5.580318,-6.334667,13.33139,0.9239949,-0.08103811,1.380846,21.22039,-0.3329476,4.096152,-1.07749,53.16981,0.09413517,15.11166
24.68024,10.6122,62.31598,10.43981,4.476223,40.56843,-0.9616535,10.95251,25.90187,1.60926,1.506739,10.28547,2.82859,-0.5434353,-2.446508,1.686614,22.57441,6.891344,3.95019,0.3659382,30.7993,5.368416,-0.4871735,0.6310146,0.8228365,7.561408,-0.3380716,11.31012,-3.128247,23.93609,-3.77633,3.765362,1.086028,1.119789,-2.424942,2.905556,1.156546,9.380386,-0.1007807,1.6939,-3.925924,0.7848983,1.482931,2.036147,9.589496,10.42769,28.98661,0.1771258,2.762244,0.8080671,6.934055,1.746717,0.9168851,39.0719,-2.231792,-2.472745,4.809494,3.860792,13.16626,0.9400865,1.166447,1.749993,7.407939,9.373528,8.13593,-0.2663446,1.686638,0.1021036,8.444306,4.013635,3.285014,2.822589,9.495288,0.7768331,6.241337,-0.2671193,10.61067,1.830822,0.8868014,9.596251,6.427344,16.82969,3.739514,8.847943,2.108681,8.373823,-0.04288513,4.712362,2.397518,5.744951,1.386907,20.51345,35.7869,16.89385,2.530733,37.4996,-0.08199847,1.415542,4.902765,1.210399,-2.696174,0.5506308,8.11334,38.2484,-0.7262272,11.42657,7.127792,1.47911,1.250123,14.29847,0.5863558,7.622763,8.04301,1.966373,5.122072,5.371487,1.827381,2.046045,3.213404,-0.4896396,6.762782,7.505036,6.797008,0.32452,2.639359,9.998695,-0.6854936,21.21323,25.29087,-1.20793,2.675468,26.49271,0.8438863,9.907342,-0.02355811,7.444829,-5.200197,9.939381,3.915028,2.352385,2.426009,19.80613,2.254448,5.407419,-1.211025,54.72355,0.05779537,14.52699
24.78016,10.43506,74.50813,10.97817,3.80469,40.42962,-0.5052959,11.00784,26.19846,2.485863,0.9358627,12.47845,3.347535,-1.768936,-2.234596,-0.3450878,24.23939,8.251227,4.354184,-1.14636,31.81928,5.150656,-0.105268,0.8006565,2.26198,7.773652,0.1655767,14.69916,-4.082658,22.94977,-1.521342,4.35752,0.8076277,-0.6343168,-1.023193,3.0718,0.2413061,8.957625,0.2692263,0.7357951,-1.594941,-0.341506,2.572394,0.009371568,8.772641,14.02256,27.97595,-0.2785762,3.081162,3.269448,6.267359,0.8529167,1.765882,38.25866,-1.616262,-3.930394,5.134436,2.746685,15.61047,0.4514588,1.445113,3.082999,8.492708,8.873356,6.765536,-0.3954572,-0.04739387,-0.5070274,6.14966,3.227176,3.200933,2.009123,10.05833,1.213092,6.272516,-0.6491836,8.732538,1.933473,0.3802676,9.161419,8.291035,16.2838,1.463079,9.536005,3.099274,9.550101,0.2526665,4.192127,2.642829,4.347043,0.7764359,21.69316,35.51699,17.64945,3.433026,34.71465,2.373102,2.681557,5.071219,1.008199,-1.317471,-0.8124161,10.44449,39.40487,-0.08175385,11.63047,8.765741,2.274958,-0.3579339,13.04193,1.692566,7.920407,9.443103,3.446805,4.31476,5.977674,1.100637,1.466198,2.761522,0.5569841,7.629183,6.373693,8.273727,-0.05371867,3.740479,10.81459,0.02024234,19.52223,28.8828,1.68507,3.192605,24.92326,3.174403,9.782154,-1.075729,5.153254,-4.808476,10.55408,2.955462,2.194601,2.437472,19.08837,0.7411687,1.68121,-1.336115,55.70894,0.02331918,13.97048
24.88008,8.407942,81.44926,8.684532,3.716701,39.05654,-1.540063,9.878012,23.93266,3.45158,1.359555,9.268901,2.979671,-2.150095,-3.519679,0.5073466,23.52882,5.585191,3.461504,0.05580207,31.86874,5.443135,-1.520058,1.345859,1.804609,9.226751,1.999181,18.03028,-2.127754,20.45851,-2.691541,4.926167,1.388447,0.5571678,-0.4967688,1.758194,0.7690985,8.234926,-0.9678782,2.43492,-2.245424,1.040908,1.781582,2.850188,8.717511,16.58229,29.37463,-1.257444,1.908124,2.462514,6.60904,3.286189,1.548353,36.68373,-1.873292,-3.923052,4.287342,3.321211,13.86931,0.7787833,-0.1506564,3.342722,7.151755,5.186611,8.261871,-0.295203,0.3097553,0.7303751,8.756141,-0.2040099,3.924408,1.536656,7.700843,1.451795,5.479717,-0.1382904,9.080911,1.817777,0.3859534,11.78733,6.552602,18.38125,2.294796,9.957979,2.392385,9.776767,0.6914768,3.305926,3.058886,5.693309,1.146408,18.91448,34.34331,17.92445,3.054363,34.60283,0.5025793,0.9103765,2.40517,1.481519,-1.747507,-0.139212,8.638028,36.98953,2.490433,11.51288,7.904768,1.403897,1.133357,13.60522,1.064482,7.248093,9.113488,2.082988,4.417618,8.29758,5.033475,1.75967,0.1464557,-0.07572778,7.018881,4.786299,7.461126,-0.3347212,4.904325,9.961798,-0.2122356,19.00777,28.93631,0.513339,4.504513,24.5049,1.153485,8.78873,1.260665,5.857618,-4.455075,9.896706,4.177661,2.671645,0.7066769,18.26232,0.2694996,4.612758,-1.453295,54.99435,-0.00938886,13.44078
24.98,9.142545,80.37476,8.756218,3.080942,42.3944,0.7875642,10.50787,23.84483,0.8002768,1.396936,8.531179,3.324695,-1.408394,-1.58096,0.1072953,24.33531,7.043149,3.592656,1.545539,34.26759,3.528733,-2.239496,1.294415,1.124154,8.898228,2.340402,21.00326,-3.394481,21.42774,-4.285635,4.735371,2.752141,0.931161,1.011914,3.505566,1.615079,7.414069,0.310612,2.42894,-1.17111,0.854898,3.563981,2.808334,8.751616,19.80791,30.12115,-0.3480331,-0.07366021,3.648782,7.256095,1.170389,2.902031,36.34958,-1.637572,-2.986758,6.056751,4.368159,15.6531,0.8472649,2.218837,3.093377,9.019246,7.890024,9.143764,-0.6706643,1.213058,0.1734568,7.985584,1.651846,4.83073,1.950925,6.134109,1.804863,7.9262,-0.1659286,9.661345,-0.2083605,-0.1350337,10.53332,7.073998,17.56829,1.926192,9.062767,4.098864,9.72627,-1.899901,4.074059,2.917029,5.453194,1.819362,18.9034,34.27,17.85702,5.461844,32.24303,1.79994,2.493256,3.645696,1.096203,-1.134748,-0.3386933,7.118656,38.0341,2.917292,10.8203,7.212525,0.5298602,1.376561,13.89851,2.540429,7.496746,11.07259,0.9722651,5.704998,8.904925,4.812562,0.4938872,2.522162,-0.8989781,6.010529,4.585686,8.676276,-0.7439796,4.229063,12.18599,2.070629,17.99322,27.39347,0.8853267,5.153583,24.99296,1.947803,7.395012,-0.41023,6.98438,-5.225015,8.871752,2.996839,1.989689,1.555261,17.25306,0.8695905,5.453735,-1.563065,54.08184,-0.04041955,12.93659
25.07992,7.090608,79.44627,10.63655,1.30206,39.04387,1.981598,9.619471,24.56548,1.821468,1.132825,10.69246,2.090802,-0.7979962,-2.237905,2.174497,26.47511,5.662532,0.8141606,0.995071,34.07875,5.440539,-1.430532,2.241675,1.01084,8.396406,2.060141,25.05031,-1.40948,19.03922,-3.318516,2.491632,2.212385,0.5068163,1.903466,1.481407,0.3064574,8.356524,-0.3931653,2.519624,-1.934701,-0.1320798,2.300161,1.160808,8.473338,16.41191,29.85757,-1.797107,2.170253,2.66967,7.762337,1.524152,0.4198183,40.66127,-2.709276,-2.907172,3.418481,2.876276,19.85449,0.4692197,-1.05987,3.061019,7.091297,6.461523,8.228896,-1.011117,-0.9045278,-0.3145605,6.794992,2.109122,2.41635,2.305613,6.779322,0.5060802,7.299988,-0.1146844,9.294589,-0.2508677,0.5189274,11.54006,9.734592,15.18522,2.319268,10.12612,4.098907,7.996103,0.4147204,3.756416,2.882543,5.189653,-0.8526384,17.95804,33.85158,16.35572,7.049458,30.33272,-0.1984883,1.846153,4.481032,3.023104,-2.352785,1.521112,10.43397,37.0008,1.759942,8.500549,4.93292,0.1636315,0.6104188,14.30017,1.470783,7.48894,9.975554,0.5696468,4.423053,8.214077,4.257227,3.361137,2.40692,-1.182894,5.986716,3.398501,7.714001,-0.4999296,4.076336,11.20368,1.222218,16.52271,28.14262,-0.6391902,4.870622,23.88324,1.304275,6.187268,-0.08359422,6.642248,-4.891396,10.29339,3.68968,2.375673,1.335584,17.52448,0.2816727,3.993008,-1.665893,51.98376,-0.06985891,12.45667
25.17984,7.200429,72.81876,12.00188,3.808182,39.78596,1.052286,8.793302,23.97096,0.5842288,3.096635,11.47793,2.166327,-1.99535,-3.192002,1.244756,24.80772,4.289803,1.294071,2.631061,44.3953,4.731844,-0.6476786,3.345064,1.727542,9.069594,1.41625,25.02407,-1.339709,17.65243,-3.312027,4.388089,2.378106,0.4509681,1.243359,0.146681,2.323761,6.066871,0.6643595,3.127887,-2.074961,0.05763721,3.066522,1.217611,9.485365,18.98719,28.7981,-0.279022,1.316589,3.325467,5.736742,3.682269,-1.155416,44.1498,-1.907971,-3.415044,5.54627,1.983753,20.04088,-2.12157,-0.3876404,2.841775,6.701858,7.570121,7.280242,0.7352868,0.1815232,-0.2680033,5.677405,0.7087881,1.764588,0.06033409,3.82539,2.223451,6.011372,-0.09476304,8.638099,1.087941,0.4044815,11.12478,9.270833,15.17445,1.129953,10.22586,4.03341,8.738661,3.933341,5.18478,3.220242,5.776304,-0.4543864,17.26921,32.63593,17.81425,7.90801,30.66512,3.634543,1.717607,4.041508,1.523165,-0.666855,-0.1485844,10.42448,34.92848,2.472297,8.935367,4.852008,-0.5489425,1.206072,12.2409,2.428914,6.146969,7.622222,0.5399743,3.463272,10.88162,4.431939,2.27914,2.549147,-1.374751,4.579145,4.300722,8.021354,-0.8363849,4.754739,12.10461,1.202969,16.07534,29.25665,-0.1817618,4.278139,19.98362,2.741898,8.44585,0.1050984,6.296977,-5.840668,10.48385,0.8990627,2.477806,1.518691,15.65628,-0.554065,3.675938,-1.762219,54.22018,-0.09778859,11.99984
25.27976,6.297574,69.43176,13.50467,2.916217,39.59336,3.668538,10.04734,23.79913,2.899493,2.577947,9.778684,2.381985,-0.5008296,-1.056897,3.48224,23.48162,4.93759,0.6024882,1.066956,56.90468,3.879382,-2.036972,4.377414,0.1817176,8.837918,-0.2392974,26.33686,-3.267188,17.20969,-2.379412,4.341354,4.342694,2.805767,0.1403912,2.477332,-0.1545362,6.692061,-1.461034,4.488417,-1.072968,-2.771241,1.144373,0.9025348,7.546546,17.56919,28.57521,2.820055,0.2724193,3.848839,7.12178,1.155403,0.8458728,49.12656,-1.464286,-3.889073,5.065838,3.099888,22.48386,-0.9379946,0.8255612,3.776093,6.41147,7.988286,7.488403,2.787732,1.973195,-2.326566,5.248114,-1.461989,2.928773,4.117144,3.059315,1.787552,7.049038,-0.7127829,7.906895,-0.266786,-0.7587276,10.93376,8.149466,14.93583,1.416601,8.317083,4.044339,8.509686,0.6165478,4.931571,2.594323,4.758411,0.8229445,13.80661,31.69297,18.42991,14.3268,31.14109,5.019642,3.585246,4.576299,-0.6151791,-2.2186,-1.795747,10.15599,38.06641,3.444343,9.860072,4.202764,-1.267075,2.078473,13.61344,4.066823,6.61611,9.577625,1.526023,5.330924,11.67571,1.119604,0.6827763,2.313326,-1.90633,4.847588,4.594995,7.941576,-1.4486,5.323129,12.58416,0.8426424,18.68275,28.44662,1.060713,3.672064,21.19859,1.009987,9.128808,-0.1957097,6.795276,-4.859502,10.00463,3.532846,3.44465,1.85865,15.54573,1.145231,4.591601,-1.852453,55.08521,-0.1242858,12.6011
25.37968,6.592731,66.96112,14.42417,2.403891,37.52311,1.280227,8.688899,25.36166,0.8624186,4.831234,9.998314,2.913999,0.9721526,-1.345504,9.34316,21.13162,5.330857,-0.3266028,2.334588,68.47353,4.061839,-1.073713,4.501783,-1.116296,9.19039,1.843769,27.15121,-0.697202,17.42876,-3.166848,3.086646,1.560592,0.9604122,-0.3030623,1.660892,1.012187,6.830619,-0.1004693,2.464971,-1.63203,0.2423121,0.9536746,1.600198,6.237465,17.29632,28.8685,1.898507,2.346062,3.142997,7.273622,1.311387,0.792704,50.88511,-2.708488,-1.724288,4.299154,4.330572,29.03172,-0.1376974,-0.1872057,1.782787,6.572212,6.711933,8.252155,-0.6164477,1.654552,-1.627623,5.757719,-1.214567,2.431312,3.996961,1.803219,1.212672,6.13382,-0.4202882,8.178777,-1.240769,-0.4124821,12.02707,6.046948,15.92566,1.787427,7.58508,3.399117,6.942429,0.8740365,7.487835,1.425249,4.351947,0.08303839,14.15717,31.71779,18.1886,17.8745,28.82976,4.501862,3.620077,4.395956,1.341818,-2.854893,-0.8901257,9.264917,34.8401,-0.4508054,10.78726,4.887748,-0.5560855,-1.222596,13.89981,1.21755,7.064055,10.67608,2.82333,3.489896,11.03494,2.566862,0.60382,3.784613,-0.7885714,4.462482,4.972071,7.064488,-1.488042,2.096771,13.90762,0.2951738,17.96505,27.56618,0.9171725,2.661585,21.65385,1.04934,8.2686,0.5740371,5.400986,-4.398245,8.61874,2.998852,1.578667,0.4610514,14.61979,0.2654866,4.246361,-1.936982,56.41217,0.3014095,12.89172
25.4796,3.58694,64.40081,14.08732,2.571665,40.8563,1.646144,7.316723,23.70757,1.64136,3.175628,8.247148,5.140443,2.359594,-2.561133,10.51382,21.70582,5.939005,-0.05750044,2.633932,69.91649,5.910712,-2.712593,5.347775,-1.375727,8.319326,1.577971,25.73652,-2.207312,16.68233,-3.571913,3.461485,-0.4154937,1.419356,0.03370675,1.943621,-0.9154971,7.040099,0.2099478,3.361495,-1.195624,3.083754,1.816006,1.695322,6.720008,17.05265,29.68233,1.205462,1.193894,3.007147,7.809314,2.969608,-0.03637557,54.29404,-2.189229,-3.192106,5.692348,1.02812,27.56573,0.2220369,-0.5617278,3.761161,6.007247,7.40304,9.075008,3.507567,2.116508,-2.546818,7.530143,-1.148246,2.515204,3.655709,2.611599,1.820219,6.309506,-0.4972909,7.41433,2.524911,-0.6657892,11.21893,8.472619,13.31314,1.052398,7.320831,5.925201,9.423417,2.457299,6.900238,0.920064,3.900644,-1.680356,13.03936,30.79329,19.5568,18.99302,27.13405,2.34115,2.842932,3.87078,0.3858255,-1.142109,-0.1721655,9.751852,34.21301,0.9965872,8.459505,4.494528,-1.056526,0.3792756,14.14335,1.098267,6.760082,10.95263,4.42154,3.94881,8.788091,2.020244,0.7828022,5.222613,-0.6772563,3.508453,5.111881,10.16979,-1.486938,2.975268,11.23661,1.413959,18.1623,28.91226,-0.03028443,4.386827,28.28674,2.222489,8.509101,-0.6766976,4.981193,-6.848203,10.02937,2.728967,1.864011,2.588547,15.66372,1.76972,3.46662,-2.016166,57.82933,0.6249561,13.36675
