 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122, C123, C124
Time(s)/Cell Status,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1
0,-0.5145926,7.191321,-3.442665,-1.678977,-1.883864,3.873615,15.52117,1.759492,34.6742,15.45339,0.03085939,12.04341,-1.542964,-0.3632743,2.269368,0.7431579,-2.530691,7.520823,3.780571,6.533894,-0.6139575,-0.4485644,0.8316054,2.072452,1.543225,1.266858,5.380871,19.2041,1.5346,1.851136,21.20173,0.1759724,9.626375,2.471225,4.238529,1.346519,7.566067,1.173365,2.976187,5.746393,3.388021,2.69505,3.417396,-0.08036434,2.672841,2.442545,3.90168,0.0093524,1.453264,6.512061,4.394169,2.47856,6.474544,4.534521,-2.110644,8.22249,0.6294037,5.498187,6.29062,-1.060496,24.45053,7.087295,5.599347,8.29894,11.12461,7.059097,3.108134,-0.7167683,-0.9065607,4.644328,4.615479,2.077745,6.75656,5.645838,1.877477,21.9458,1.97791,5.413093,3.592513,1.328309,-0.3970445,9.355925,-4.630786,0.762531,-1.976879,0.468115,16.17822,13.45722,4.90572,5.616085,-0.999198,4.435607,-0.3447898,2.481474,7.576503,6.063524,13.89103,1.497986,0.861415,0.4651116,1.126582,9.149849,14.18347,12.46402,3.144404,3.494676,3.870922,3.592082,0.6267345,2.236269,1.675012,5.659175,4.46711,1.866636,3.207024,11.06302,2.134057,4.799439,6.320488,20.52148,11.96336,11.68151,13.71774,3.866681,36.96058
0.09992,-0.54873,5.599144,-5.694933,1.814319,-2.268427,2.352704,13.65728,-0.631246,33.53578,14.52669,-0.2821763,9.784184,-1.312404,1.026674,1.901231,0.05016406,-1.044313,7.026346,1.702194,9.093113,0.04468514,1.250247,2.533751,0.8268929,1.746542,1.65833,5.47897,20.16003,1.15302,2.836876,22.10187,1.913202,7.717163,-1.953393,6.273314,3.083643,6.801029,0.3757281,3.374111,5.8737,2.160226,1.101264,4.141209,2.155432,3.497391,3.00544,3.08331,-0.7912128,0.7885282,5.789866,2.437316,0.7762057,5.927295,6.21777,-1.43125,8.232465,0.3118004,5.228944,4.331279,1.312815,27.36354,8.349201,5.245533,7.071104,17.03104,5.768487,1.833065,0.1199348,-1.562784,3.765224,2.402918,2.394837,6.406286,5.645838,2.501284,20.93809,0.7285973,5.595946,2.453649,0.7541382,0.5247331,11.94764,-2.854276,1.373155,-0.9962147,-0.9151664,17.66351,10.39248,6.507224,5.877529,-0.539068,3.89812,1.988669,2.239991,9.463784,7.661994,11.69589,1.411516,-0.7994354,1.612685,-0.0227629,8.684608,14.07866,8.132685,5.793102,4.770646,5.134143,3.472563,3.918441,1.702417,2.91053,5.498411,4.848858,3.002467,3.698812,13.48776,1.730547,5.984561,6.320488,26.59829,13.41578,10.93241,16.18163,3.866681,37.10798
0.19984,0.123526,6.578014,-6.479525,2.263651,-2.086921,2.363581,14.50492,-0.8024359,34.53353,14.05775,0.05477018,11.40219,1.078566,1.11543,1.693153,1.373136,-2.477757,6.781814,1.88686,7.667394,-3.957223,0.7725356,0.6924109,0.8055285,-0.291103,3.278871,3.302434,20.00814,2.886518,3.896621,23.65565,0.5845643,8.644773,-1.013255,6.253405,1.534354,8.611282,-1.182458,3.402278,2.658253,3.289588,-0.5837749,3.09078,0.622807,1.937675,3.782828,3.911676,2.426552,1.726533,5.435994,0.5556939,2.180358,5.373941,4.922328,-0.4253966,6.17816,-0.5975615,3.892769,5.944545,0.7840794,27.57114,14.8174,4.051779,7.844115,24.26599,6.566954,2.183803,-0.5155869,-1.587201,4.635177,2.86791,0.5105889,7.230118,5.645838,3.175385,19.75863,-1.894167,6.746096,1.238413,1.464412,0.5849354,14.67567,0.1423173,-0.5428099,0.7511182,1.114778,20.77716,15.03486,5.117077,3.861401,-0.02765761,2.428515,2.939852,4.140802,7.915388,5.164443,11.56533,1.869551,0.8088755,0.7599704,-2.188493,7.046005,13.53463,9.82668,5.080534,5.857367,3.209217,2.34242,4.129094,-1.584968,1.813416,4.804072,7.68275,1.953414,3.356149,13.52857,0.8300638,6.751091,6.320488,26.88704,11.93407,10.21936,15.86512,4.422408,37.50394
0.29976,0.2530459,7.583793,-6.046363,-0.2313922,-2.138788,4.60689,12.01962,0.7779793,34.73329,14.37112,-0.3300068,11.07958,-0.128875,0.5635415,1.373129,-1.148945,-2.094312,7.373669,3.009379,7.732284,-0.5238974,-0.9839034,-0.6069889,2.726379,2.128106,2.775753,4.503998,19.33218,2.558545,3.209183,20.59359,2.388075,7.904176,-0.4138502,5.204583,1.872506,9.241333,0.7289417,3.14256,3.737085,2.400386,0.5161962,4.141008,-0.002059501,5.771437,3.64651,3.229044,-0.4768466,0.4720425,5.707569,1.029753,3.70561,5.290798,3.958991,-2.408693,6.682713,2.31179,5.787807,5.769818,-0.0141721,28.33244,26.71377,6.152418,6.472881,27.79416,6.750774,-0.2781295,0.7045513,0.4086771,4.625821,1.404312,1.608786,5.164669,5.645838,3.429475,18.87625,-0.9203054,3.526228,2.588103,0.8786563,-0.3258026,15.01401,-1.320611,-1.467538,-0.471716,0.2325398,23.05113,16.564,5.40832,5.071093,1.615342,3.307568,2.440238,1.825944,7.618865,6.980605,11.69489,1.517703,1.310579,0.4848182,1.211663,8.864696,15.16977,8.515395,4.374417,3.964192,3.664329,0.9016475,3.694171,0.8104805,4.622981,5.641009,6.597834,3.231236,3.700171,13.80799,1.503303,6.984905,6.320488,30.91345,13.78914,11.60352,15.3781,7.770615,37.65961
0.39968,0.7584736,9.100943,-6.269612,-0.4194357,-1.935711,3.699344,13.71182,0.7101177,35.38062,14.64845,-0.6022547,10.08772,1.984013,1.905218,2.106419,-0.6146517,-1.85691,5.475912,0.396029,10.38575,-0.1846336,1.037855,-2.249817,3.583555,1.005196,1.246802,5.166511,22.11853,3.011745,1.805917,22.92127,0.2092633,6.649977,0.1521503,7.710656,2.938842,8.345506,0.2411725,0.2711168,4.013737,1.420931,1.125943,1.216893,-0.09339923,5.515849,2.179801,2.702013,2.02147,-0.5152029,5.182322,3.075866,4.904524,5.885494,2.539743,-2.383908,5.302141,1.025571,3.136047,5.529658,-0.4770342,28.48562,40.36694,6.34535,5.405914,30.23879,3.826913,0.1205167,-2.17962,0.02883266,6.708435,2.259883,0.9478266,3.25576,5.645838,1.927743,19.50811,-1.009397,3.159413,2.087192,1.29939,-1.541875,13.80865,-1.292439,0.06586899,-1.311687,0.8904309,25.60036,15.34663,6.45451,3.119482,1.246941,2.294487,2.064292,1.264319,10.53737,5.489899,13.76557,1.700715,1.62646,0.4273057,1.762215,6.212681,14.90695,8.755357,2.09574,8.327607,3.538746,1.964168,0.8458518,-1.672776,3.155729,4.377717,6.109676,1.003902,4.074909,15.05756,2.595544,5.689687,11.21452,32.30162,13.39598,10.89084,14.91268,10.66446,39.75665
0.4996,0.538269,8.830031,-4.425567,0.6757907,-1.565956,3.001703,14.71572,-1.722294,38.63183,13.48889,-0.6230891,8.648355,1.560984,-0.3243452,3.295422,-0.4383458,-2.09221,5.547147,1.117745,8.432353,-0.416593,-0.5978936,-2.548529,2.77287,-1.485228,4.141148,3.149027,19.36552,0.8467554,2.246653,23.05883,0.9029437,8.512001,0.2977968,5.712857,3.632938,8.96054,0.05912435,3.672641,2.17598,1.951802,0.3282413,3.381722,0.9807799,4.888823,3.451617,1.569521,-0.2451575,1.822059,5.298838,0.3813088,3.542258,6.988913,5.597356,-0.5537916,6.28303,0.1953035,4.18105,3.83553,-2.156814,31.04031,47.93008,6.602075,7.150301,33.65516,5.862556,-0.9101,-1.399004,0.8383756,5.333255,-1.039599,1.532899,6.05472,5.645838,1.765023,20.53369,2.142561,5.897807,2.621428,-0.3145066,-0.7768658,17.25656,-2.039241,-1.029816,-2.075191,0.172788,27.16272,14.32433,6.750122,3.316168,3.591347,4.046381,-0.5274415,-0.01062895,9.924151,5.296983,11.05267,1.908996,2.510695,3.130115,0.2558098,4.479397,13.71305,8.074872,2.42976,16.71833,4.087368,2.086689,3.241951,0.9500153,0.8025141,7.066804,6.033744,3.938102,3.400838,14.13824,0.2431956,3.61594,10.99846,37.19894,10.40913,10.1803,15.04792,19.99527,43.43286
0.59952,-0.6481405,7.146801,-5.793983,-0.4580518,-0.3422646,0.5379487,12.8271,-0.6848298,38.51254,12.99389,0.1802657,6.91311,1.740555,0.1589062,2.9985,-1.139091,-0.9941754,4.382499,-0.1369931,8.605814,0.1659513,-2.529262,0.0925102,3.111503,0.6412683,1.52453,3.472561,20.16003,2.317919,2.125326,23.70942,0.2249404,5.91314,0.9036579,5.861181,2.941465,7.637653,0.08753451,2.350707,5.18198,0.616393,1.781448,2.69342,1.012954,5.069474,1.5728,1.832087,0.7596877,-0.1930526,5.881593,1.472752,3.785695,5.404269,2.336061,-1.989612,4.420597,-0.1039852,2.791531,4.176045,2.650496,29.46357,55.24418,7.162529,5.334347,34.36702,4.938014,-1.903423,-0.4297157,-0.5093982,4.369132,-0.9150662,0.9785506,3.359392,5.645838,0.220285,19.75454,1.048317,4.838588,1.029669,-0.3951697,-2.025635,16.21711,-2.682189,-0.9558908,-1.541072,0.5565364,31.8228,16.46619,7.542645,0.939916,1.691667,-0.8026798,2.567363,0.7604838,9.496191,3.908157,10.77431,1.492414,5.411289,2.995775,0.4383368,4.722236,12.1504,7.955537,3.251599,22.8424,2.977991,1.244875,1.236255,0.7385705,0.8671318,5.746367,5.85005,3.086297,1.168625,15.03492,0.4344549,3.818558,14.53914,38.94577,11.67021,9.503903,14.59683,25.49507,44.08642
0.69944,-0.6150184,8.395755,-4.057621,-2.076743,-0.2019133,3.892109,10.42176,-1.50134,38.19117,12.68543,-1.065414,9.258341,1.210943,1.890389,3.576585,-0.3811541,-0.6157996,5.522871,-0.9040989,10.28537,-1.322349,0.1963716,-3.032643,3.296797,-0.4542304,2.088454,4.040888,21.22816,2.64661,2.428237,22.60718,1.613493,7.067923,0.3532728,5.841474,3.797903,7.170552,0.03695668,4.089078,3.228385,2.6987,-0.08933664,2.353342,1.648798,3.357489,3.496217,1.634504,0.909514,2.284851,2.042388,0.3853834,2.849446,7.432715,1.732808,-0.7828596,5.570277,-0.6921777,2.214635,3.870948,-1.414907,27.11287,68.16811,7.066958,5.44034,28.74741,5.688897,-2.9269,-1.109148,0.3292043,5.990846,-3.004054,1.78552,5.171155,5.645838,0.3409721,18.17536,1.34365,3.983191,3.580442,0.4593049,-2.550253,16.81085,-1.990265,0.3263867,-1.526036,-1.325803,31.86457,14.95715,8.611322,0.7639765,-0.3620102,1.790159,1.436898,0.4567928,9.088311,4.683008,9.940413,0.818349,2.654324,2.900892,-1.088052,2.966882,12.22496,9.820991,3.555471,29.58027,3.443906,-0.1945066,4.127785,1.033848,1.94109,4.983221,6.594266,1.757765,0.905665,14.50536,0.1209218,2.889381,15.31815,38.28499,10.65157,8.860003,14.16576,27.22879,44.02964
0.79936,0.1094638,7.66929,-4.587481,-2.527623,0.5540416,0.9773407,10.9974,-2.396229,38.60711,12.74296,-1.0749,7.864657,1.720974,2.555127,3.816707,1.243376,-1.278535,6.507125,-0.09273504,7.642185,0.1449471,-0.1130149,-2.754016,2.381514,1.548303,0.1305603,1.841977,19.14406,-0.1005531,1.727512,24.56476,1.309621,7.139856,1.526996,6.720472,1.56697,6.744433,1.984376,1.615166,3.81121,2.156013,0.3095809,3.035546,1.41902,4.075854,0.1861437,0.4587904,2.433705,0.2557816,4.140587,1.692389,2.916744,5.867721,1.317125,-0.6255695,5.05613,-0.9611034,2.291478,4.41145,0.109285,28.31477,70.21809,4.84683,3.503139,27.83674,5.93658,-1.750319,0.5268544,-0.05130897,4.353446,0.02672924,-0.07952206,4.53339,5.645838,-0.3820239,17.9436,2.711472,-0.02490244,1.341758,0.9018726,-0.8849642,17.02979,0.563328,-1.479891,-0.796948,-0.09127332,31.76744,15.54152,7.986351,2.790873,0.9370045,3.750664,0.4650898,-0.9879382,11.61759,5.313437,10.09903,2.908681,3.32304,2.168181,0.6520552,3.359926,12.87365,7.800458,3.274076,24.89917,3.042324,-0.4911242,3.90284,1.657242,0.3202921,4.706628,4.825695,2.387165,0.6398745,14.41737,-0.8198087,4.51083,18.91725,40.1845,8.044948,10.60429,14.35678,30.20048,42.41029
0.89928,-1.731616,7.836957,-5.346072,0.9476848,0.2752917,2.503817,10.16384,-0.5470521,38.89028,12.48907,0.9213765,6.918064,-0.5892017,1.955362,3.00125,0.6218534,-0.4159589,5.940681,-1.995081,6.960132,0.1309541,-0.3408613,-0.1823436,4.067196,-0.6298294,1.918919,2.255194,21.67956,2.305262,2.880291,23.15945,1.595923,6.272219,0.6097035,7.753895,2.373003,9.193398,1.600088,3.559196,2.908461,2.093701,1.342482,2.086796,1.293858,4.575917,2.123051,1.674749,2.887835,1.461778,3.893909,0.07716076,3.637619,4.194136,2.325117,0.7768462,7.075825,0.8625279,3.584651,4.155735,-0.8798507,30.55304,69.25837,6.631208,5.009492,26.58484,3.813665,-0.3486146,-1.328717,-0.8828824,4.589616,0.7144175,-0.02782232,6.974783,5.645838,-0.2593435,18.35199,2.860884,3.23542,2.824911,0.7637528,-2.216934,18.89647,-1.857839,0.5838196,-1.062699,-2.239123,29.31175,16.07616,8.146959,4.255642,3.126527,2.0411,-0.5319812,-1.190504,14.00592,5.309762,9.66995,2.362574,5.814485,3.081278,-0.1864408,3.819468,11.41681,7.950909,3.749287,23.47163,3.802017,-0.8077456,2.65311,-0.721115,0.766409,5.1472,7.184249,2.020328,2.091288,16.45054,-2.489088,2.133117,18.36114,39.53801,9.063407,9.914182,13.93605,30.50323,45.92863
0.9992,-0.5837137,6.137445,-7.914031,-1.16504,-0.4097722,2.436352,10.62862,-1.767641,39.48627,15.77095,0.573679,6.554734,1.846247,1.898858,3.534902,1.659476,-1.319388,7.423813,-1.011093,6.051874,2.271173,-1.050806,-0.2831841,3.713259,0.1755263,0.3687504,1.593907,20.8453,0.7795047,2.900781,21.47296,2.158636,6.919399,0.8490905,6.067361,1.221032,8.425256,2.447066,3.173592,3.488788,0.5779102,1.739685,0.369588,-1.69553,3.054084,2.966893,2.85523,2.794859,-0.02797294,3.055704,2.799691,2.562668,4.427159,1.50906,-0.1631802,6.281853,0.1059335,3.463963,4.044488,-1.071388,31.75562,66.60834,4.346156,4.448308,24.26124,5.211866,-2.748871,1.052899,1.625092,3.487023,0.5809453,-1.1828,5.982858,5.645838,2.638164,20.01728,0.1257807,4.448077,2.205554,2.609361,-0.7875308,18.8674,1.152444,-1.578349,-1.983944,-0.1210226,28.20653,16.42084,4.880325,2.552178,1.536783,0.7762299,-1.038399,-0.2825587,16.63412,3.863663,8.076434,2.310173,6.228427,1.386682,0.5227768,2.257686,10.73405,9.084029,4.115909,21.33602,3.421193,-0.1443306,3.622338,-1.09365,0.5884593,3.494092,6.274204,2.521304,-1.504104,16.42276,-1.703739,4.509114,18.36423,39.44907,9.542573,9.816431,13.53401,39.94868,46.25094
1.09912,0.2129765,7.654266,-6.418924,-1.031171,0.1060682,4.577863,11.18094,-1.624554,40.00346,16.03256,-0.9141737,6.928687,-0.7533223,0.496236,4.902422,1.58332,-1.532973,6.95034,0.7166745,6.859129,1.928572,-2.567174,-1.086076,3.829602,0.4703064,0.5018674,1.720531,22.40184,1.250481,1.032997,21.05897,1.792303,7.682257,0.5649264,8.81966,2.011539,7.873359,3.997637,0.7441304,4.714377,0.9287902,1.349067,1.406294,0.1960815,4.43891,3.200256,2.258578,2.316546,-1.635277,3.437068,-1.135843,3.421336,3.19731,1.13574,0.3885081,7.069004,1.672701,3.087345,3.880584,-0.5970289,30.85013,65.66235,3.977384,3.268799,25.11925,3.829393,0.5144145,-0.7593461,1.323967,3.445938,-1.074997,0.222836,6.039392,5.645838,0.8692194,19.10198,1.037094,4.043066,4.109578,-0.7878762,2.304817,20.96469,0.1844638,-1.992741,-1.610863,-0.05327853,28.7191,19.53575,6.752,1.751752,1.42716,0.7039372,1.267012,-1.118956,19.47362,5.711385,7.400364,1.721955,6.966561,2.094914,2.281329,3.860547,11.07364,6.948396,4.45098,20.94555,3.17572,-1.558236,4.241555,-0.7144674,-1.107275,1.313578,7.170077,3.088727,1.017127,16.88941,-3.171676,2.952443,22.74261,37.54801,6.024377,9.165455,13.14982,42.22401,44.69832
1.19904,-0.9236322,5.416642,-7.039474,-0.964283,-2.128398,3.5045,9.027906,-2.46259,39.73817,15.14997,1.922746,7.423038,1.243381,2.404267,5.852514,2.560783,-1.738368,8.005225,-1.103068,6.055396,3.360618,-3.291654,0.05651616,4.311133,-0.8370543,-1.254187,3.703767,23.71471,2.4201,1.063705,23.9289,3.43085,8.308472,-0.4594463,5.811093,1.187145,9.108683,1.285609,3.403652,3.628508,-0.04687807,1.41274,1.265045,-0.9031704,6.172583,3.376134,1.706843,2.713585,1.745838,2.58338,-1.166825,0.9575361,0.8423942,0.3007405,3.490622,5.708995,-0.3629871,1.284728,5.188473,-0.7295852,34.81487,63.23038,4.040309,1.803582,23.8741,4.993311,0.1367751,1.203269,0.5548283,2.695983,0.3265089,1.619262,6.253565,5.645838,1.700883,20.04357,-0.2758987,3.252539,1.98966,0.4669509,5.541666,22.49706,0.8596321,-2.185435,0.3312858,0.417334,26.0038,20.8401,7.806202,1.162486,0.3002213,-0.6253673,-0.1653362,-1.23492,17.7999,3.675175,9.459108,4.989556,8.192992,5.328667,-2.270859,1.912401,9.325693,6.904597,4.151306,21.69824,2.392672,-1.605377,5.021047,0.2218095,-0.8468003,2.084303,8.242408,1.839808,0.5910237,14.12268,-2.320577,5.593119,22.01762,39.15659,8.829735,8.545371,12.7827,42.56557,47.14134
1.29896,-1.06563,6.508669,-5.85333,0.1593406,-0.05807995,4.563525,9.660841,0.3608445,35.94267,14.0585,2.27,7.040154,0.7827387,1.200135,3.565149,2.037356,-0.6985429,6.549325,-0.5085157,8.101793,1.67729,-1.137195,1.471697,3.53334,-1.143389,-0.8973194,3.351045,27.62937,1.689938,0.6808999,24.16452,2.683487,6.722713,-0.6324756,6.395768,1.339275,4.874445,1.276678,3.38577,2.269217,1.852379,-0.6660928,2.656654,0.8808579,5.554173,2.474084,1.451611,4.15116,-1.343436,3.603302,-0.1159097,1.697986,3.704467,-0.1766611,0.8127303,5.647943,2.654389,3.061923,5.568964,0.2115779,33.69914,60.36617,6.301061,2.547861,22.07689,4.774255,-1.426998,0.392885,0.1034046,3.612475,-0.9592714,0.1448356,5.895202,5.645838,-0.1165415,20.81096,-0.357332,5.691764,2.009742,0.5288727,3.445374,20.9352,2.440114,-2.524305,-0.05456457,1.641707,25.74335,19.34369,7.838792,1.205073,-0.1334093,0.3724396,-0.9022301,0.121527,20.89811,6.894639,9.656248,4.144866,7.367187,4.456545,-1.31352,1.793936,8.437525,8.830829,6.051259,19.62981,4.327715,-2.523411,3.921088,-0.09327676,0.7449058,3.066438,9.479625,2.366494,0.8669895,12.84592,-4.494535,3.001989,24.70883,36.44733,6.973941,7.954707,12.43189,40.52529,51.64425
1.39888,-0.04501681,6.796668,-5.774965,1.557886,-1.136823,1.664835,11.85528,-1.563321,37.17777,15.59355,-0.7350177,8.298061,0.1214485,1.154567,2.745142,2.44354,0.1096769,6.262186,-0.1089454,6.173775,3.774832,-2.197422,0.4976217,5.744478,0.4656363,0.5750053,0.9858161,26.43657,0.9112118,2.346934,24.4266,2.318934,7.33881,2.642014,6.017379,1.251585,7.047287,1.157554,3.148991,3.031365,1.267123,-0.2390055,2.778914,1.061067,6.096326,1.507491,4.438796,3.536648,0.1678523,2.943504,-0.07428639,2.716012,1.732088,0.395053,0.1179524,5.205915,1.828593,3.290751,5.983014,-0.8631964,36.48892,61.30672,3.722005,0.4564791,21.4034,5.310586,-3.020245,2.316671,0.5108539,2.673188,0.7198355,-1.859172,4.808413,5.645838,0.3373263,21.23703,0.1783706,5.062883,2.900362,2.961319,4.332747,21.03929,1.795018,-1.094871,-0.429024,1.204222,23.87152,23.74651,5.957307,3.240186,2.400801,0.4283658,0.1493401,2.094785,25.32102,6.296045,9.267404,4.226068,5.530248,2.76778,-1.178708,2.189774,7.800066,8.459857,4.012817,16.58185,2.192498,-1.558512,5.256175,0.0377094,-0.41607,4.361438,8.719704,2.461953,-0.3735035,14.1111,-2.820887,4.972809,24.48478,37.93902,7.935507,8.63884,12.09665,38.59303,56.01062
1.4988,-2.131517,8.004766,-5.466403,-3.33893,0.751506,4.303288,8.562369,0.7916479,37.05842,14.21102,1.447517,8.710179,-0.5004053,-0.2273418,3.240936,3.017887,-0.2666674,5.941125,0.3749037,5.255861,2.015445,-3.707827,2.342049,5.061952,1.172693,1.520301,3.473907,30.11123,0.0225448,1.21467,24.03183,3.198994,6.798235,1.641837,6.230081,1.331023,9.121495,-0.4686754,0.6108999,3.84261,0.4993956,1.471261,1.047763,0.03226105,7.730244,3.035056,4.369792,3.673345,-0.1542142,2.49576,2.085029,1.912125,3.518708,1.153925,0.9624037,5.190187,0.2412346,0.616069,5.256652,-1.019786,34.24757,59.3033,6.396627,3.006439,21.99592,2.871389,-0.4671648,2.704684,-0.08728769,2.84849,-0.7781522,-1.085209,6.526052,5.645838,2.292308,20.28441,-1.069162,4.815366,2.056364,2.954149,4.07371,19.67826,2.640524,-2.699692,0.09179612,3.841384,23.68102,25.31326,5.889621,0.4369725,2.787258,0.7793027,2.21493,2.566985,23.28566,5.953834,9.176503,3.870299,6.494441,2.852214,-0.6766101,1.930201,7.314981,8.363046,1.382311,19.35589,1.42885,0.837542,3.317281,-1.222154,-1.119383,3.06692,11.04064,3.56951,1.740108,15.78014,-5.570386,3.012172,25.43631,39.06692,9.729508,10.75433,15.7795,36.76306,59.00189
1.59872,0.8971924,7.697251,-5.564453,0.269739,0.1161738,3.490094,11.03411,-1.121349,36.40157,16.75574,1.576452,7.470143,-0.6384291,1.556962,2.218505,3.507584,-0.01493024,6.439492,1.487156,4.548434,2.948341,-3.671954,2.840299,5.133694,1.026096,-1.599045,0.3178433,29.64881,0.1676887,1.48595,23.81713,2.48728,4.333518,1.389017,4.568811,0.2608058,6.444629,0.4386653,2.256097,3.663448,3.649447,0.4265101,1.065714,-0.6630892,6.539353,1.939567,4.763734,1.527378,0.05682411,2.516041,1.136789,4.401938,2.329758,2.872396,0.7810947,8.078914,3.726145,2.457266,6.196735,0.8902234,34.58263,55.22673,6.678212,0.5684752,18.90533,4.911671,-1.254299,3.268215,0.1025389,3.022092,1.702866,-0.2262038,3.966364,5.645838,2.922579,20.70434,-0.12793,4.195792,4.520848,4.318437,2.598003,23.00908,2.168612,0.05639908,-0.9412892,2.362449,23.8799,27.11814,7.229811,2.257496,2.411539,1.326569,0.001938637,4.273018,23.5528,6.9704,11.99124,1.486265,5.388143,0.3887907,1.575654,3.31569,6.929764,9.209617,2.586012,17.90804,2.890072,0.2009836,3.368194,-0.1360453,0.3209143,3.021593,7.999099,3.087402,2.499068,16.4058,-4.179978,3.078083,24.59239,35.24788,6.95675,14.65414,16.50722,35.02993,58.5411
1.69864,0.1448632,6.324299,-3.743352,-0.543202,2.153066,4.784507,8.244403,-0.7540974,35.32956,16.3114,1.692205,3.320886,-2.340373,2.345243,3.755252,5.886847,-0.03286066,6.986675,1.7375,6.401078,4.839516,-4.609341,0.3116683,2.625482,0.6415967,-3.007262,1.518628,30.53559,1.097756,2.379509,23.359,3.885626,2.29998,0.3098131,4.024854,0.6222091,9.779743,1.300213,2.549921,3.867388,0.6817501,1.933487,2.350389,-0.6177896,6.827579,3.171584,4.368586,0.0292548,3.131442,2.492546,5.167908,1.822902,2.391695,2.124913,0.1439678,8.639533,2.193907,2.179793,5.503897,2.423357,34.24419,56.04633,6.717819,1.068389,18.84783,3.514843,-1.051444,3.334556,-1.545052,3.430366,-0.561811,-1.415115,3.939021,5.645838,0.8164997,20.23305,-0.1176655,5.320196,6.060836,5.216257,1.556106,20.10067,4.962781,0.9287174,-0.1515725,0.4055004,21.34947,27.70399,6.585695,0.6165292,2.378794,0.5160009,0.5290211,7.370055,25.96881,5.397094,13.96935,4.201392,4.518439,1.172645,1.572533,1.457015,9.370165,8.147603,2.422282,17.44072,3.539429,2.004673,4.034714,-2.565313,0.4576698,2.886426,8.201547,3.931003,3.509245,17.88938,-4.153465,2.836687,25.72338,35.09442,5.330283,17.00496,18.4427,33.38851,56.31701
1.79856,0.9057344,6.943264,-2.286163,0.09370451,1.058834,6.579279,7.499597,-1.36224,33.0043,17.35471,1.866078,6.448041,0.04984019,0.6699201,2.805887,4.782126,-1.005823,8.43452,2.221439,2.508013,5.129385,-4.07688,2.614875,1.702023,2.915545,-1.885366,1.554047,31.39284,0.2648126,2.986797,23.54534,3.566643,3.581784,2.525334,5.33717,1.591375,6.394029,3.348733,0.6602941,2.91111,0.68566,-0.5033338,4.210865,1.302457,5.46863,2.936914,4.361095,-0.4765695,0.2825477,3.273021,4.637269,2.198413,1.041302,3.2057,0.5371305,13.28697,5.338645,1.995632,4.752211,2.173583,34.2541,51.43215,5.072427,0.09810326,18.93777,4.548159,-0.8517383,3.042113,-3.038886,3.585268,2.760867,-1.810067,3.785809,5.645838,2.859052,20.17289,1.936698,5.459027,3.956066,4.655162,1.595296,18.22043,5.023332,-2.349304,-0.602917,1.217742,24.10091,26.34193,6.184145,1.328752,3.023097,0.2879062,1.14036,8.391794,28.04994,5.752701,12.6686,2.165939,4.654346,1.841544,2.497965,2.028943,8.734456,6.877745,0.991018,16.10356,1.572508,0.9804563,1.469832,0.1941906,-0.7241341,4.796814,9.397566,2.888211,4.17585,17.66246,-2.461753,0.3231727,24.8668,35.99092,7.29495,21.86079,19.17093,31.83391,59.97526
