 , C000, C001, C002, C003, C004, C005, C006, C007, C008, C009, C010, C011, C012, C013, C014, C015, C016, C017, C018, C019, C020, C021, C022, C023, C024, C025, C026, C027, C028, C029, C030, C031, C032, C033, C034, C035, C036, C037, C038, C039, C040, C041, C042, C043, C044, C045, C046, C047, C048, C049, C050, C051, C052, C053, C054, C055, C056, C057, C058, C059, C060, C061, C062, C063, C064, C065, C066, C067, C068, C069, C070, C071, C072, C073, C074, C075, C076, C077, C078, C079, C080, C081, C082, C083, C084, C085, C086, C087, C088, C089, C090, C091, C092, C093, C094, C095, C096, C097, C098, C099, C100, C101, C102, C103, C104, C105, C106, C107, C108, C109, C110, C111, C112, C113, C114, C115, C116, C117, C118, C119, C120, C121, C122
Time(s)/Cell Status,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1, undecided,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1
0,8.349138,2.470933,0.2403784,-1.853325,3.00479,-0.09785551,7.336565,4.237246,35.37751,4.743571,2.053787,6.97752,7.484166,1.329443,0.3781617,-0.8020304,-0.3357719,3.407996,-2.081426,6.33596,6.01381,1.934137,1.332604,2.647118,9.468925,11.24744,5.753849,12.55562,2.878252,2.823667,9.788741,4.486746,2.28091,20.29839,0.631135,6.947695,-0.2722664,-0.7571243,1.354176,-0.2856156,2.105424,0.964971,10.12704,-0.9246838,4.281193,-0.7214252,3.058632,7.740208,3.802987,1.557914,4.972379,-2.927796,0.2734619,1.014903,0.707239,0.4374459,-0.3906835,-1.341913,12.22056,1.450735,3.037152,10.06167,8.939013,12.2661,5.583923,14.29219,2.935957,6.119329,-1.278208,6.459648,2.407637,15.31729,9.172133,0.5768083,0.3616181,3.11516,12.34941,2.630347,8.851841,11.85371,3.112233,20.90301,0.5264537,-1.349206,6.533762,11.79373,1.908536,13.56047,13.13675,1.320664,21.59097,3.211102,-1.673481,0.4567983,23.78908,1.015832,1.523724,3.345133,12.33101,2.875444,0.9314355,7.876556,-1.223133,1.739633,1.290996,13.52736,10.54729,34.03342,4.152295,2.262655,2.239988,4.242336,12.3845,31.5388,2.733587,9.230678,4.965384,7.141935,16.21548,1.053974,2.633806,-1.265235,4.892652
0.09992,7.274889,2.720522,0.572841,-1.570838,2.394231,0.06972489,6.992058,4.353317,33.36022,8.516418,4.251099,19.71224,9.603794,0.6264038,2.359903,-0.577444,2.524133,3.354408,-0.2935527,2.155344,6.122398,1.746431,-0.1089795,0.5182576,6.409195,11.90672,9.026544,11.52545,0.8723267,2.74111,8.284176,1.791908,4.12369,19.05163,-0.4505278,4.892024,0.3807439,-0.6438562,-1.062678,1.86257,3.121125,1.778061,10.08997,-0.3265013,6.053912,-0.3701696,4.068592,4.713226,4.745478,0.6647075,5.218635,0.6312612,0.8328131,-0.9310064,-1.86031,1.089305,-2.220238,-2.402782,13.66329,0.551406,2.62754,8.967128,7.680468,11.3433,5.118136,14.56646,2.859005,3.576505,-1.565703,8.296959,-0.6090103,18.51505,9.809892,0.5998676,-1.481166,3.61974,11.17682,2.404306,10.8597,8.724157,3.083481,29.59669,1.702455,-1.425418,5.776478,7.083527,-0.3934118,14.22786,12.0703,-0.6272097,21.94984,3.696662,0.9980062,0.9854844,25.81011,0.8492373,3.591864,3.195946,13.57477,3.248829,1.971444,7.308133,1.358758,4.940806,2.347407,12.48763,9.924581,28.79374,5.753672,1.931593,1.970759,5.339055,11.28503,33.23901,0.2187708,8.638276,3.321025,5.421481,17.19813,0.2182262,2.396791,-1.358995,7.556119
0.19984,7.471711,1.935281,-2.274311,0.0075766,2.29173,1.349387,2.720605,5.742653,35.2064,8.697816,4.650592,26.50725,10.32104,-0.1518384,2.675644,1.952633,1.225041,5.024477,-1.026741,2.310224,3.936113,-0.6582423,0.9237972,2.304716,7.625149,10.60993,7.086554,11.77611,0.004270476,1.120148,9.089846,0.9487754,1.089824,16.6161,0.000750588,7.789474,2.332786,1.001841,0.9367903,0.9510441,0.7581317,2.44103,10.29145,3.7139,9.296422,-0.4927047,1.955501,6.023764,4.200226,0.04502965,5.592999,2.864971,0.6775645,0.5350962,-0.5267861,0.7459589,-0.1031442,-1.341134,11.29709,1.428404,2.716788,10.95231,7.684884,9.40087,5.280526,12.64007,0.6223121,3.650967,5.670644,7.068521,-2.226118,21.14642,8.430829,2.563695,-1.201319,6.944998,8.796655,4.201066,9.169881,7.047654,1.210877,37.5745,1.719803,-1.470575,6.68099,8.95258,0.1635883,11.51817,10.13936,-1.253724,21.8703,4.403501,1.390423,0.1114127,23.54336,-0.2241371,2.887576,1.187355,9.37875,4.648708,2.566149,5.451021,1.876321,5.082366,3.008837,10.80812,10.02742,27.59307,7.593882,1.648126,2.869546,4.485478,14.7835,38.60231,0.1570878,8.302327,3.036828,7.182406,20.37578,-0.1233248,12.41636,-1.448008,11.13192
0.29976,7.898077,2.799293,0.9618853,-1.118673,3.505939,1.047915,4.714128,6.526145,33.74155,6.806892,3.374272,23.33782,11.53173,0.4989049,-2.614595,-0.6622105,2.122637,5.487012,-1.738899,0.9135608,2.94709,-2.146675,2.121192,4.850206,9.525492,10.25341,2.846667,11.1185,2.566837,1.432481,7.590647,1.79608,1.549847,19.05741,-0.47111,7.052936,2.135457,0.6639851,2.210404,1.183715,1.807676,-0.1226991,9.707828,0.4117328,13.51728,0.008541876,2.604131,7.847222,6.436216,0.9608403,3.839338,4.132055,3.065479,1.35005,0.894516,0.3436999,-1.193483,-1.014748,11.02199,0.06374548,1.973329,7.359213,7.068448,11.02666,6.391207,13.65916,1.840333,5.296605,16.82133,7.436512,0.4316424,24.15784,11.44137,1.164599,0.7375228,4.476187,11.58512,2.252722,8.491553,7.582059,2.703912,36.4485,2.574347,-0.7045866,8.350047,8.263698,-2.376667,11.02991,9.701754,1.523847,22.40157,4.349636,1.931885,0.5943003,22.60112,4.104075,2.782743,1.704963,9.427147,8.030449,2.99918,7.460627,6.395163,4.694418,4.570514,12.84429,9.660419,25.63323,7.827263,2.335693,2.538698,4.723882,13.83216,44.64932,-0.7904723,6.491374,3.387839,11.67985,21.75082,-1.127773,20.05086,-1.532516,10.91241
0.39968,5.449815,1.309061,0.1146513,0.6697724,4.36966,0.0360802,3.521039,4.506806,32.89135,5.722258,2.652835,19.32855,14.94852,0.7911974,0.04227326,-1.760644,0.08685395,6.981198,2.613566,1.832371,4.883358,0.7415596,2.008814,3.237749,8.013007,12.51278,3.946255,12.78609,-0.02403507,2.093058,6.49551,1.179684,1.863876,20.09613,0.220394,5.630038,-0.25336,2.158593,3.592594,2.661126,2.253609,-0.5416083,8.290522,4.161105,13.73932,3.346319,1.034826,6.692803,6.655488,1.318322,3.019001,2.578889,6.274891,2.736445,1.010755,2.100802,0.09658919,0.19409,12.99823,0.5436819,0.3239569,8.944159,5.334629,10.4436,6.256902,14.24645,2.279095,4.654081,24.606,7.363303,1.5879,23.00391,12.25458,0.3407044,-0.08907367,3.624879,12.21839,3.208979,7.502406,7.11267,1.46366,35.46359,1.818967,0.3344907,7.445554,8.130789,0.7454572,11.33571,8.37646,1.12612,20.0739,3.55755,2.22827,0.3146971,23.93978,3.825085,2.87423,1.157531,11.33107,7.977529,2.932474,7.233372,5.481576,6.165264,2.423855,15.08785,9.042141,24.12398,17.68909,3.159868,2.782589,7.469603,15.27439,47.92053,0.7729718,7.891991,1.492921,8.78915,19.74875,-0.3545745,19.01016,-1.612746,13.41726
0.4996,6.473555,2.685519,-0.4352451,0.663855,4.012976,2.02391,4.385319,5.269168,31.60166,10.35223,3.721781,18.1664,19.86963,0.9984387,-1.458169,-1.07491,1.643805,10.16889,2.370564,-0.8101927,5.145391,0.8203961,2.078545,4.489011,10.12069,11.08114,4.553812,13.50053,1.601551,3.269936,7.089694,0.9940367,-0.1956493,19.44369,-0.5328963,5.68037,1.599659,2.158472,1.581949,0.8505318,0.981842,-1.546738,8.697522,1.361152,13.83003,2.593202,2.535278,7.529466,6.358325,0.4359759,4.131462,0.6979354,5.037103,2.683842,0.2885557,0.7421151,-1.788576,-1.764611,11.23199,0.2758199,2.528449,7.925295,7.475923,9.743221,4.877361,12.32867,1.174641,5.872551,27.68004,7.653752,2.166109,23.59527,15.22366,0.02570445,-1.684016,4.783938,12.22532,4.880919,10.17329,7.856804,0.45166,34.4723,0.8645675,-3.183604,7.935867,9.730728,0.1872996,11.00591,8.340615,0.2985909,20.72865,3.504142,2.48005,-0.07960372,19.70213,1.286889,4.044855,-0.2706607,6.332809,10.68222,-0.127442,6.584552,6.16496,7.231863,3.433975,11.83977,8.371037,21.77947,27.89511,5.126668,2.31075,5.516088,13.41312,52.42359,-0.6945671,8.421662,1.487364,9.50773,19.67187,-0.4115879,18.0175,-1.688914,13.00034
0.59952,6.295055,1.561309,-0.8386167,0.1672925,4.92561,0.03550074,4.815054,4.081038,30.62824,5.731038,1.87856,17.61248,19.34996,0.06521601,0.06800302,-0.1752618,-1.089634,9.835588,1.013734,1.302741,3.206735,0.09692463,2.20172,2.579287,7.959796,16.3512,4.068391,14.51064,1.122705,2.717113,6.759922,-0.6031172,1.615969,19.9663,-2.110996,7.934149,1.434708,2.423158,1.997867,1.150938,0.04195468,1.267265,9.929203,1.354549,16.86795,1.5849,1.741811,6.758325,5.894739,0.9871402,4.579049,0.438287,3.040854,1.683839,-0.7758525,4.316369,-0.4033556,-1.045797,11.02101,0.6479239,2.717645,5.990132,3.677062,9.327602,5.989264,11.01327,1.047052,5.574271,30.86785,7.879889,-1.384552,20.73587,13.48445,0.3131713,1.166111,4.987077,12.39121,5.703566,6.522527,6.882413,1.243324,32.70181,2.014011,-0.03375753,7.794928,7.953465,-1.187357,10.88707,9.477125,-0.6657913,20.22042,4.678848,1.821779,0.07659838,24.34691,-2.344541,2.878537,-0.2750369,6.725809,8.591347,1.090258,4.414817,8.718232,6.915323,1.169453,13.03299,6.546645,20.54536,31.72744,5.893751,4.653909,4.837522,13.24232,53.14121,-0.6433167,9.137982,2.586815,7.529465,17.8751,0.8540684,17.07065,-1.761226,12.60273
0.69944,5.403407,2.331169,-1.474974,1.841654,4.53284,-1.06836,5.886987,6.583551,29.6707,5.678275,1.49708,16.06096,21.39738,2.492401,-0.7447811,-0.7669495,0.6238005,9.301137,2.455818,0.6326482,3.457247,-0.04305192,3.390838,3.224947,8.828471,13.53361,1.603665,15.56977,3.964108,0.04717179,7.279207,1.860124,1.109019,20.0976,0.08807907,4.564981,1.728094,1.599251,1.258426,1.42259,0.519195,0.2899928,8.378314,0.02781552,15.20799,6.067875,2.900193,6.837876,6.391845,2.127651,5.998092,2.446538,5.259166,2.583998,1.115701,4.3854,0.174193,1.046935,12.66222,2.694216,1.560589,8.820624,6.282646,9.984339,7.862683,12.73747,1.500782,6.167916,33.24022,9.494725,1.987492,20.75164,15.29049,1.359736,-0.5344692,2.951416,13.83329,2.586227,8.067093,5.652887,3.106962,31.10374,2.070308,-0.8113019,8.60136,7.643983,-1.264296,11.35171,10.04676,0.3655018,21.56334,4.773673,2.426264,0.01903933,26.32635,-0.1989645,1.87276,-0.1193318,7.197581,10.07971,1.726417,4.143627,4.554451,7.769631,3.463446,11.84994,5.050308,20.63744,37.45969,5.974469,0.2571779,4.077417,12.74959,54.64743,1.400308,9.326507,-0.382658,6.023966,16.11674,0.2839658,16.1675,-1.829878,12.63616
0.79936,5.707281,2.659507,-2.001355,1.753675,5.434947,1.541321,5.154685,5.816572,26.59451,7.022115,0.4987409,15.37243,25.20499,1.022678,1.323038,-0.1835152,0.08569418,10.30333,0.5503333,0.4974154,2.215194,3.080191,1.710682,1.921127,8.546331,13.70251,3.571893,15.28432,2.625322,1.692869,7.968374,1.773888,0.4332659,18.68778,0.04659126,6.420412,2.260749,-0.1822606,2.253543,-0.7925972,1.547469,1.89424,7.627952,0.6538432,14.60873,3.074422,1.633918,7.164256,5.306398,1.474497,3.887963,-1.217187,6.077961,1.739795,0.2255272,2.496571,1.96264,-1.082383,10.13276,2.104672,2.776353,6.713327,5.196095,7.364738,7.06393,11.23456,1.449698,4.245152,32.95611,9.080215,-1.69132,18.04556,12.05088,1.14224,-0.116267,4.250228,13.61135,4.916858,8.178138,6.103001,2.726951,29.79937,2.343512,0.3976122,7.859705,6.721437,-0.0841636,10.30999,8.724385,-0.9767611,20.4127,3.017095,4.243262,-0.6243385,26.26922,0.3294645,1.674057,0.08940369,5.436322,9.427459,0.24679,3.780043,8.742088,7.991997,2.413618,11.18659,6.118975,19.3262,40.8345,6.009142,3.362307,5.236537,12.95084,51.98425,0.2840864,10.84021,1.029712,8.01069,17.28851,-1.204831,15.30604,-1.895054,12.44542
0.89928,5.767504,0.2561645,-0.9835551,1.812221,6.046652,-0.7754368,5.752331,5.492765,29.51692,5.718498,0.008958123,11.92053,25.74232,0.5139054,-0.620896,0.3705803,1.009733,8.583971,3.000019,-0.2185267,4.648689,0.1451418,0.6578028,4.083435,7.969428,11.27146,1.641978,13.45773,1.365192,1.568741,8.399139,0.6198915,0.2343586,20.63427,-0.5286155,4.681098,2.87881,2.765298,1.90554,1.085824,0.3867627,0.7007153,10.02465,1.922309,13.10547,4.363128,1.817239,6.526289,4.348669,1.902894,4.672973,1.384619,6.343175,0.9699969,2.634268,3.313596,0.08278278,-1.309049,9.194468,0.7513993,1.833382,6.979345,5.347253,7.924816,5.874055,12.133,2.835369,5.043933,35.04019,7.81203,-0.3860724,20.95182,14.34466,1.737009,0.589949,4.157768,14.94245,3.85636,9.40988,9.216347,2.980273,26.96561,4.322338,-1.697165,9.028536,6.766597,-0.5498467,10.40915,7.088214,1.471804,21.12134,1.955189,2.51203,0.1592487,24.89421,-1.181648,1.427525,0.980404,5.919853,12.09202,1.470256,5.723125,8.327263,6.815874,2.007352,11.60923,6.169892,22.55269,46.94857,6.449934,1.640265,6.76699,11.94398,48.33873,-0.05895955,10.45969,1.199058,7.879218,15.31937,1.667332,14.71807,-1.956931,12.24706
0.9992,6.425261,2.909846,-2.225156,3.367197,3.975649,-0.5498375,4.720183,4.271875,27.04751,6.989774,0.7132957,10.2707,25.39411,0.4067245,2.06599,-0.7753823,-1.054669,12.86241,-0.7328112,1.313867,4.584897,1.087382,3.341102,3.366017,7.519209,12.93067,3.395047,15.47956,2.103997,3.710034,7.981106,0.9472013,1.623303,23.17444,0.5574487,4.235897,3.016397,1.131847,1.720076,3.074902,1.589988,0.1507412,10.6979,0.7340457,14.01251,4.434911,5.397431,6.241882,4.001936,1.125027,6.186492,0.8466613,4.810246,0.4241937,1.966862,4.025418,0.8268088,-0.783646,11.07298,1.87945,2.134432,6.39403,4.266943,7.821779,6.629485,10.46785,2.766065,4.287239,30.94766,9.942924,-1.027837,18.31771,9.720675,2.33006,0.7807624,3.012082,12.86863,4.445651,8.921213,7.916015,2.429505,26.86275,2.0848,-0.3705945,9.173022,5.711488,-0.2400505,9.539957,9.060409,-0.3689627,19.89697,3.210668,4.600012,0.1396633,27.17468,0.2250018,2.215569,-0.4220563,5.922553,11.17344,1.205044,5.414413,9.382332,9.424164,1.347118,9.419227,5.859163,21.18171,50.39193,2.870991,1.078135,4.463181,12.8203,49.58387,-1.92545,10.85024,0.6211042,7.966383,15.62502,0.07570225,13.92353,-2.015676,12.64207
1.09912,7.04355,0.0026201,-0.4894688,5.1804,4.600237,-0.3347627,5.360107,2.85354,26.32849,5.497224,0.4754498,20.15384,28.52026,0.1513334,-0.4863242,-0.4394062,0.01561582,11.70472,0.6965176,0.6712136,1.457304,0.8794932,3.035861,6.039762,6.13128,10.9801,3.048017,14.09584,0.4290428,-0.09579444,6.921451,0.6145425,-0.8771133,18.52068,-0.1197811,6.909494,2.460397,2.373657,1.379056,2.383657,1.445004,2.797666,6.303516,-0.1306959,12.85866,5.931104,5.582001,6.335349,4.626468,1.821453,5.147653,0.1508707,6.584806,1.343788,3.826655,3.243237,0.3132543,-0.3708878,10.20354,3.194082,4.842409,3.750768,2.577929,6.485505,3.192467,10.42348,2.212921,4.310548,29.19651,7.745721,0.7674804,17.96112,11.82459,1.901548,0.8071614,2.865189,15.50024,2.182287,6.65033,6.434566,2.231951,25.92381,4.317486,-1.328132,9.543891,5.448626,0.08205146,10.32101,6.902029,2.486118,20.08106,0.8944036,5.236998,0.8177891,29.68569,1.817933,1.758269,-0.8035108,8.97494,10.06982,-0.3689974,4.67274,11.68106,7.663472,3.683857,13.40613,7.101546,21.36033,50.70243,4.586726,2.680031,5.117277,13.41496,46.01917,-0.8574922,11.84587,0.8404721,7.915367,12.12001,-0.148224,13.16566,-2.071447,12.26404
1.19904,6.455024,-0.2032769,-2.905727,4.576413,4.750155,-0.8289743,3.458809,4.586617,27.1028,4.29146,1.637162,35.05449,28.8849,1.293055,-1.189838,-0.6677506,-0.9480224,10.74771,0.6641314,0.8155739,1.887866,0.5191354,2.77668,3.45704,4.311079,11.79716,4.446449,11.41893,0.005604326,-0.4179429,7.040454,-0.436454,0.7252113,20.99044,-1.041905,2.941983,2.413797,2.614098,1.015758,8.660699,1.580922,1.204698,10.33152,0.9613662,13.75677,3.756164,2.867219,4.65173,3.437501,3.125772,6.391666,-0.6726905,7.463864,1.890113,2.637099,3.071602,-0.5598893,-1.472407,11.96678,1.548484,4.703166,5.571107,3.855927,6.242022,4.938518,9.498903,3.29654,6.373579,29.19545,10.15094,1.311406,19.48914,10.64546,0.168,0.8122198,3.101451,15.43789,4.119095,8.513738,7.898221,1.120849,24.93672,2.955837,0.3028423,7.627515,6.073923,-0.110741,8.787865,5.338232,0.9447051,21.71462,1.885144,3.369088,-1.778548,27.47188,-0.6869653,1.38063,-0.39851,8.000998,10.28652,-0.4107037,3.558465,10.34228,7.855532,3.715968,12.25811,5.110729,22.67418,46.34588,4.019886,3.070148,4.456163,12.50639,43.46275,-0.3404469,10.55409,2.093407,7.37929,12.3816,1.197469,12.44277,-2.124394,12.14464
1.29896,8.280863,2.378274,-1.105753,4.862609,4.340945,-0.4689813,4.11877,5.983737,25.4535,3.525427,0.6795267,44.47109,29.97799,1.163119,1.130946,0.2863621,-1.533721,17.32254,-0.8507748,-0.103319,0.3398679,1.803474,4.503832,2.038719,6.097745,11.76267,6.289346,13.44672,0.1951122,-1.602765,6.014698,0.8446417,1.188363,18.59584,-0.06864544,6.456654,-0.04472721,0.9725338,1.971108,21.26733,3.524889,0.5077421,14.94124,0.3435598,13.0209,4.224388,6.458156,3.157772,1.541575,-0.3680945,3.742136,-0.4879559,8.258399,1.764685,4.106409,2.605052,-0.4890524,3.837708,11.34963,2.152635,3.966981,6.060492,2.998883,4.88492,2.546407,9.086931,2.362903,3.315385,27.40449,9.638919,2.441773,17.6894,7.553203,1.362626,2.989628,4.260872,14.89865,4.157914,6.886709,8.607173,2.598222,24.56842,1.740642,-0.3969381,7.477536,5.571318,-0.9310583,8.72085,5.301433,1.080895,23.19111,1.796532,3.572385,2.552899,27.8401,1.085552,1.831787,2.237948,7.147588,9.955958,-0.3747426,5.957732,13.49658,10.25128,3.53878,9.06319,4.210968,24.03159,43.2536,5.850231,2.326169,8.08917,11.60893,40.27377,-0.1591351,10.62398,1.421127,9.891174,13.10988,-1.310585,11.75324,-2.174662,11.90018
1.39888,6.993084,2.285949,-1.328403,5.485302,4.924186,1.785299,6.546323,6.988436,24.79793,4.294209,0.1034299,41.5974,28.88808,1.879704,2.283313,-0.6937018,-0.8789005,16.97774,4.60662,-0.1257517,2.376117,2.563585,0.8320494,1.75938,6.024876,12.81377,6.233133,13.48857,-0.4591149,-0.6590295,5.248849,0.9401252,0.577592,21.21786,0.06853549,5.395506,-0.992976,0.9368755,0.9838318,34.49532,0.05666872,3.569326,17.39453,1.242612,15.73006,3.811588,2.462737,3.645282,1.608837,1.271869,1.510631,1.893795,7.532035,0.2010218,2.332281,0.2854862,-1.131128,2.228913,8.612781,2.12759,5.11183,5.89049,2.167878,4.793262,5.222473,10.9855,0.2568301,4.145535,26.04311,8.597539,1.082626,16.80359,9.19714,1.781125,2.006938,3.701025,15.99915,2.361714,8.243145,7.917958,2.466858,24.48772,0.4779169,0.3635163,6.953792,4.717092,0.2100388,9.343349,5.865484,1.840463,21.31271,0.9025581,3.142376,-1.528082,30.67996,1.110276,-0.3565409,3.101095,6.79132,10.02828,-1.435034,2.986333,11.08285,8.77096,1.890782,10.14186,4.994925,26.31801,42.20139,6.718109,2.895049,6.974031,12.97831,38.40801,0.1793035,11.23022,2.26608,6.596188,11.56663,-0.7280595,11.09554,-2.222384,11.55703
1.4988,7.922512,4.669458,1.72811,4.258968,4.669689,-0.949762,7.625144,6.670401,25.95584,5.404634,0.3867239,41.39362,28.01557,1.028316,-0.3125718,-0.8621374,-1.178082,15.54334,13.8497,0.01529715,0.9139391,1.128478,1.891928,3.635859,4.056282,11.01533,6.532518,12.09282,0.3031595,0.2002732,5.17817,1.373946,1.435037,17.74226,0.3959322,5.835798,0.8105922,0.5511641,0.7192938,42.42429,0.2734556,1.250356,14.54258,2.500183,16.33802,3.676977,4.88454,1.900514,3.029201,0.9162673,2.651247,2.736061,10.25929,2.443144,0.6046551,0.1436601,-2.025937,5.184311,10.49753,0.3714467,3.203202,5.729897,4.139327,4.318979,4.678207,9.311826,2.771076,4.517387,26.98442,9.54766,-0.3329483,16.85359,7.959281,0.2102797,2.702576,4.004981,17.19929,3.776303,6.961389,6.860857,1.314756,25.89288,2.362404,0.2051564,8.234826,5.65447,0.07635017,7.566104,3.903921,1.879243,22.41166,0.8649991,4.259102,-0.9117563,31.21778,0.4453052,-1.087963,1.923328,7.295337,8.899105,-1.799417,4.353386,12.97917,9.166088,2.479003,8.825615,5.977191,27.40862,40.81969,4.865078,3.991519,9.408369,13.04866,36.59633,1.090006,10.76202,2.92152,9.090089,11.74514,0.03953421,10.46819,-2.267691,11.22957
1.59872,8.636962,9.867908,0.953482,4.249162,4.101905,0.5454683,11.63836,4.793908,24.15722,4.108886,1.093027,38.2246,28.90979,0.4047232,0.3613159,-2.749333,0.3136518,16.81849,21.54819,-0.210261,0.1808456,2.401619,1.074416,1.008729,4.214917,12.77934,6.526442,13.36739,-0.5832142,-0.5255018,3.782572,1.927634,-0.1042932,21.54116,-0.2545601,4.124613,-1.728746,1.979438,0.8875282,51.11242,-0.7311742,0.9927362,16.24346,2.705757,14.71077,3.971803,4.282728,0.3978821,1.437691,0.9737522,5.082396,3.21337,8.000403,2.173981,2.718093,-1.141552,0.1645895,5.801836,14.06396,1.990887,1.743569,5.856502,4.858487,4.445105,4.396005,8.757922,2.206237,3.921336,23.06773,8.739804,1.58762,16.10453,8.893881,0.2276592,1.995208,3.167105,16.80843,3.654476,8.300094,8.449455,1.009226,26.99442,0.2247548,0.02980747,9.582069,5.155394,-0.9496048,7.50498,2.314072,2.584105,27.35078,2.99368,4.198345,-0.9173136,33.49648,-0.4165385,0.6989601,1.250529,6.012332,10.89092,0.1117656,1.83903,15.36895,9.351213,3.489455,9.89491,4.977464,26.85769,37.24175,4.002522,3.02046,10.72469,14.14134,34.57397,-0.5571468,11.07813,4.468118,8.889603,8.767854,-0.104022,9.869795,-2.310705,10.9171
1.69864,7.179783,18.77814,0.6125909,5.707599,2.710621,-1.938585,11.58839,2.613753,23.91846,1.508852,1.115391,35.07053,28.39086,0.4040694,2.993248,-1.493153,-0.7674088,15.51551,20.38886,0.1131576,0.4058007,4.325629,0.1398636,0.582625,4.109107,10.46239,5.801373,11.86379,0.7943591,-0.3673511,4.555417,0.07564452,1.085211,19.15672,0.1048585,6.087963,-1.529469,0.2821724,2.077143,58.44477,1.023454,1.349008,13.9547,1.24208,13.99818,3.413903,7.125933,0.3477194,3.151811,-0.5317409,4.18223,1.506386,10.39199,4.218157,-0.05585339,2.476865,-0.280759,4.206264,20.53815,0.9329909,2.366665,6.60556,3.254499,3.802826,4.270822,8.543408,1.738308,4.540922,24.58479,5.616384,0.288477,12.75716,7.932811,1.110759,1.33307,5.088522,15.77004,3.049155,5.565345,6.202036,1.375087,25.19953,2.052513,0.1733974,8.378682,6.364273,-0.3983186,5.057015,3.034519,2.762054,30.40334,3.874405,3.900242,-3.163396,34.0886,1.728053,-2.657856,1.160019,5.590009,11.44762,0.3924764,0.2203931,13.7883,9.091221,2.868146,6.892953,7.549102,27.08885,36.85438,4.305477,3.478628,10.98105,13.88986,33.35595,-0.249624,12.14873,3.351861,7.401802,8.319452,1.854463,9.299018,-2.35154,10.61891
1.79856,7.718553,25.69216,2.406192,4.590289,1.43199,-0.9892672,11.71694,2.556012,23.17603,2.632239,0.05312831,32.19324,29.169,0.5532604,2.462664,-1.897128,0.2017384,19.87419,19.22652,-1.6668,0.00182989,2.742871,0.3740087,-0.2596181,4.411113,12.49861,8.396999,14.68326,-1.159339,-0.1106713,5.194829,0.6442966,1.289841,22.27638,0.9362506,3.952774,-0.8173108,1.511784,3.676005,63.90124,-2.03967,2.524726,16.8923,-0.6063101,12.39956,1.924916,3.903699,-0.3192518,-1.063956,0.4932537,3.346226,3.625316,8.50948,3.443615,2.837173,1.320109,-1.110272,3.693899,23.09927,1.707135,3.710091,6.171377,4.949989,4.576738,3.241689,8.339038,4.719494,3.414939,22.60625,8.029714,0.473208,12.51668,7.996336,-0.04985481,0.5522726,3.005662,17.53238,3.226546,6.417928,9.071499,0.1968062,24.26511,-0.8291787,0.3133143,7.356077,7.408533,1.259718,4.010483,5.553688,4.029808,32.00103,5.117066,3.269799,-2.211034,34.42726,0.6859788,-0.0480919,2.499352,3.947239,10.8292,0.2638961,2.523653,13.60658,11.58669,3.924673,6.552892,3.905996,24.47227,32.36588,2.230536,3.334835,9.303317,13.34876,35.05868,-0.8723466,11.17707,4.034166,6.813013,8.774685,-1.276315,8.754586,-2.390309,10.33434
1.89848,6.281942,29.44261,1.9755,5.382905,1.888098,-0.715455,11.45411,1.144813,23.14623,0.4331383,-0.7626707,30.75392,29.73636,1.287914,2.693932,-1.007369,-1.33596,22.46203,16.81337,-0.9391268,-1.004105,2.346293,1.704374,1.669135,3.164406,11.1539,5.765048,13.86872,-0.6094964,-1.036017,5.579455,-0.8419853,1.458353,20.07856,-1.962923,6.73973,-3.035272,1.468459,2.569115,63.5308,-0.5839162,1.364869,12.71747,1.570977,14.5145,4.774558,6.03528,-1.603703,1.789292,1.764309,4.895198,2.788677,9.226837,0.9215271,-1.44307,-0.8988559,-0.6531577,3.791637,22.59801,-0.1627067,3.097994,5.658308,3.986628,4.028883,4.037945,8.45373,2.455782,2.983348,21.99562,8.162352,2.046129,11.73903,8.617043,1.876712,2.218948,5.864321,19.13369,1.930916,5.350157,6.346937,0.6713874,24.33454,0.3706937,-1.425251,6.193092,5.485496,1.08778,4.496465,3.216537,1.197146,35.05441,2.656691,2.684376,-2.102928,38.20741,0.2781816,-1.511708,2.325351,3.42042,10.45266,-0.9751953,3.32211,14.99247,10.6157,3.25358,7.772527,3.420177,25.11532,32.882,6.549185,3.850001,9.676971,13.4093,32.37351,-0.7722965,10.61505,3.135918,6.012223,9.13403,-0.4971767,8.235281,-2.427115,10.06279
