 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72
Time(s)/Cell Status,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
0,6.719547,4.69993,7.313818,1.651025,29.37578,1.907628,4.344745,0.2399616,3.411307,1.756919,-0.9057859,-4.026205,-0.3518624,0.6132681,-1.659501,30.34603,-1.787999,1.608181,18.77789,3.50617,4.241394,11.63324,11.59146,5.039446,1.018376,0.3251002,2.412638,6.111717,3.445805,3.306401,5.353993,7.581021,3.482195,9.119603,2.442397,7.761397,3.158736,2.658941,0.9749775,-0.06055442,5.674939,11.64515,2.432935,6.057305,0.5261157,-0.001545253,1.232253,-4.850073,1.888539,12.64809,1.297344,23.25001,16.09151,5.123739,2.492433,14.48112,0.5204211,9.537179,0.09919966,-1.767774,0.9976053,14.76272,3.586537,4.863421,-2.466007,24.97779,-1.536672,4.61174,1.905466,-0.7045042,2.70059,2.390452,4.785295
0.09992,5.731265,3.849236,5.437024,0.2464662,28.58075,1.964401,4.956783,1.339694,1.072511,1.001592,1.024891,-2.234951,-1.242984,-2.01634,-4.074287,31.79102,0.6545154,3.093396,19.42104,1.489908,3.192772,16.45932,9.954799,3.424439,-1.513529,-1.258788,4.236048,3.962402,0.9637039,6.505118,3.343246,9.697026,1.328169,10.05857,0.2798991,7.612893,3.894421,-0.1674697,2.658689,2.168923,6.326616,8.584208,2.115824,5.735083,1.622898,0.7127371,3.246493,-3.487813,1.679617,11.77589,0.2102473,20.72883,16.71902,5.96111,3.926386,13.49658,2.107255,8.788114,-1.245106,-2.474788,2.032868,15.17006,3.68918,3.184523,-0.9447148,23.79217,-1.059357,4.42905,2.062869,0.3614161,2.810166,2.585649,6.065687
0.19984,5.14216,2.419942,6.835916,1.075514,27.85734,2.700877,4.457825,1.634088,0.07527772,-0.1074783,1.335554,-2.515534,1.36371,-0.9971346,-3.698242,33.92846,-0.1077454,2.287436,18.78692,2.625128,1.974271,21.96484,7.591161,5.302021,1.754184,0.7754377,-0.7938014,3.702944,2.072703,6.588417,3.485358,10.42545,4.263599,7.60164,0.8620762,7.989563,0.654192,-0.3041376,2.714228,2.098569,5.687192,10.64431,0.2152054,7.696187,2.447073,0.5896173,1.517986,-4.553319,1.717371,11.88512,0.3426709,21.93853,16.10594,6.866657,3.226116,14.08238,1.34711,10.0132,1.514165,-2.579877,2.694195,14.90824,1.973268,2.225305,-1.466876,26.27857,-2.63474,1.363813,2.523057,-0.7174565,2.499985,1.515005,5.406872
0.29976,3.704566,0.881775,6.000728,-0.6479429,27.72436,0.3929264,3.161941,-0.2903099,1.291959,0.009569266,1.72346,-3.375965,1.609589,-1.115433,-3.873142,32.62507,1.106025,3.168361,16.78358,4.411915,3.668276,23.5679,5.823605,4.180319,1.063931,1.456262,1.360293,3.534757,3.415472,4.933838,3.095175,10.07939,1.596611,9.162127,3.23789,8.644965,3.446939,0.390878,3.188737,2.734536,4.102018,9.284597,1.463954,8.391778,1.960652,1.658726,-0.002295756,-4.277761,2.638891,13.12194,0.9352356,20.57025,15.6358,5.762134,2.444505,13.19433,-0.03658167,8.967322,1.892974,-3.277802,2.742776,16.23788,3.767099,1.734265,-0.5596258,27.70597,-1.837395,3.352089,1.629155,1.098075,3.290059,3.325778,4.781518
0.39968,4.777984,2.136741,8.406676,-0.7581446,26.29413,0.478031,2.996334,0.9967691,0.7108312,1.413256,0.1226218,-2.453521,-0.2144231,0.8182414,-4.521149,31.00193,-1.121802,1.842455,18.62741,4.246874,3.375924,21.26334,5.499254,3.268424,-0.03871407,0.6287708,-0.9622021,2.850779,2.854369,5.088823,1.494705,9.454165,3.516417,6.591612,1.632322,7.48775,3.753585,2.00175,2.55491,1.174543,2.709173,9.743011,1.305115,7.432292,1.102091,0.04622369,3.780262,-5.25655,1.286518,14.70183,0.2024617,19.1766,16.06943,6.593679,2.191173,16.30488,0.08304157,9.21941,0.9878159,-3.080796,1.767132,15.45719,2.941497,3.144685,-2.550682,26.04223,-0.6889908,2.777916,1.827213,-0.03896287,4.186987,3.405158,4.187923
0.4996,4.180042,2.322108,8.416687,-0.9959071,27.23183,0.3982539,1.547246,-0.1319083,1.4812,0.0276801,0.2920156,-0.2279205,1.695387,-0.9909324,-5.21008,28.21823,2.224453,1.458002,18.45273,4.560733,2.950865,20.97845,6.804732,3.989335,-0.7826777,2.422982,-0.5146693,4.091325,3.881068,5.740994,3.15365,10.18133,2.441138,6.735435,3.672946,8.242053,2.518279,1.240309,4.188958,1.525833,4.706285,10.04074,0.8363385,7.785132,3.385068,2.210723,2.584443,-3.440346,3.34624,15.25129,1.885163,18.93534,13.61867,5.4002,3.997659,14.4965,1.208035,7.040265,0.8264713,-1.342622,2.889304,13.44821,3.183195,0.5064135,-2.360737,26.68901,-1.961846,2.414839,4.249915,0.6316791,4.300999,4.230727,6.032893
0.59952,5.241427,3.090338,10.03844,-1.973128,24.27617,-0.4200834,2.810107,1.511545,1.236618,1.645957,2.272992,-2.341088,-0.9690618,0.1449329,-5.546458,27.24652,-0.8263886,2.236828,17.58319,4.606166,3.465658,21.16003,4.781589,3.236792,-0.2226471,3.352739,-0.3474569,3.641981,1.305722,4.563982,1.465772,10.02542,1.960103,7.718474,3.483619,8.222136,1.605617,0.8369423,5.299586,2.008645,4.070189,10.03094,0.3434682,5.405594,2.117516,1.049892,2.640636,-3.104646,3.9169,14.19735,2.885033,18.22773,13.05576,5.960959,4.524109,14.01186,-1.940132,9.864655,2.01385,-2.550531,1.788914,11.29547,3.350939,4.1907,-1.883979,25.98136,0.3766197,3.162532,4.188283,-0.3362529,3.695517,4.46373,5.374828
0.69944,4.186346,2.609242,10.45314,-0.6312686,25.01937,0.8134738,3.190218,1.445581,1.149677,5.575484,2.200114,-1.939789,1.404054,0.1432906,-5.6107,25.87209,-0.2528666,1.96344,19.48504,2.694548,1.61246,17.62781,3.972559,1.429742,-0.115605,3.116069,-3.046096,5.275466,3.543877,4.797651,3.492924,10.92328,1.117371,6.76089,3.512525,7.95961,1.624227,0.3242427,4.465495,0.7541701,3.630302,9.559145,1.718987,4.961642,3.845969,2.649862,3.390723,-3.131931,1.945927,14.77145,2.837929,20.55003,13.87865,4.697831,3.440944,13.88145,0.03417666,10.49621,1.998388,-2.474802,3.911582,9.273954,3.395485,4.767169,-2.892954,25.60341,-0.7436976,3.146732,3.305369,0.7532963,5.422745,5.297842,4.750227
0.79936,4.575459,1.113182,11.76971,0.7530687,26.02426,-0.8858072,2.002558,0.6635475,-0.6022633,3.60536,3.838797,-1.691622,1.951155,3.648915,-4.789578,24.27862,1.602793,2.324357,19.2977,3.778565,2.255367,19.69827,4.368016,4.529517,1.608466,2.383067,-2.936376,4.217953,2.370765,4.699731,4.437879,10.44001,2.123222,4.823512,3.915061,9.877103,0.8168437,-0.8146099,3.854456,4.077595,4.130907,8.817079,1.168699,6.812188,2.637815,-0.1629443,2.277947,-3.642645,0.7644674,15.69892,1.251515,21.57487,14.48193,4.245005,4.109964,12.7613,-2.91593,8.023479,2.04802,-1.745829,1.836395,8.994727,3.004543,3.498276,-1.305477,25.62493,1.064411,1.612894,3.782929,0.5298598,3.574948,4.712581,4.157388
0.89928,4.836074,4.926781,10.69747,2.416625,25.24035,0.8916534,3.033369,0.07431788,-1.369061,3.386225,4.398338,-1.222029,2.901117,5.419547,-3.326488,21.4609,0.7624055,1.183133,20.05938,1.060372,1.54426,17.22307,2.317189,3.427921,1.328534,4.251943,0.1626167,2.161089,2.373232,4.029836,3.604698,8.350784,0.3966691,4.48318,2.406901,10.15819,1.378543,0.3208708,4.241406,-0.2131552,2.956904,7.697611,1.564348,4.627456,3.476064,-0.2061422,0.8552654,-3.417096,-0.4119639,15.14255,0.3876124,20.91247,14.76278,4.637071,4.625841,11.41566,-1.119004,8.192493,1.848041,-1.502398,1.540568,9.46953,3.486556,3.302228,-2.637171,24.7529,-0.01384763,2.571181,1.593483,-0.8952373,2.992007,3.407951,3.594698
0.9992,2.544068,5.561876,9.963833,3.571164,26.28167,-0.3932338,2.379247,0.3341928,-1.089532,3.210927,2.760988,-0.9185916,1.370445,4.518548,0.9769502,21.13375,0.7222425,2.615588,16.43695,-0.912508,2.705618,16.829,3.481427,-0.05480611,2.173743,4.551729,0.9164509,4.456047,3.81175,4.89699,3.762424,10.05092,-0.8559956,7.05528,-0.2861192,9.313115,-0.6624768,-0.1927338,5.065595,1.455298,4.142863,9.015561,-0.1427915,4.888039,4.77508,2.563799,1.617357,-4.220846,1.092015,18.17862,3.512978,19.45702,13.15504,4.157914,4.019173,10.51956,-2.678365,7.757935,-0.6946331,-2.322922,1.889388,8.082363,2.418211,1.881616,-2.406881,25.19595,-1.226794,2.818744,2.649625,-0.2927245,3.619739,7.432909,3.641822
1.09912,3.224911,3.672109,10.87447,4.17802,25.28951,0.02787023,3.108375,-0.4760311,0.9374363,1.741092,3.341783,-2.022132,0.8493713,4.39579,6.013361,19.28104,-0.7401506,3.007766,15.38313,1.146865,1.509417,16.08767,2.955862,2.996547,1.858464,3.669607,0.01240934,-1.043509,5.721097,4.450234,3.170622,8.79827,-1.2756,2.119119,3.0629,10.44971,1.122389,0.8248543,4.911554,1.57483,3.986798,9.502003,1.081203,5.87916,5.039708,2.650571,0.6732605,-3.571465,-0.5333062,17.00585,4.291224,19.60611,15.66869,4.307215,3.264306,11.46941,-0.41267,6.165545,2.217933,-1.772836,-1.026028,8.533977,0.9281786,3.812093,-3.841239,25.66657,-2.510915,1.800642,2.272259,1.341286,4.454923,5.873802,5.521845
1.19904,4.003514,3.748392,10.50612,2.804163,27.30877,0.9488584,1.552437,0.2094587,0.6458265,2.90835,4.287945,-0.439274,3.162262,4.689422,6.31426,20.54788,2.258181,4.21627,12.84372,0.7523503,1.211236,14.41025,3.233827,1.443096,1.890683,3.127824,1.105664,1.303086,4.015824,6.310939,1.219052,10.0177,-0.260661,4.640025,2.132382,10.9734,0.6315187,0.07904421,4.696548,0.7537404,2.191711,9.25882,-0.5929858,7.165316,5.455799,2.111415,2.8541,-2.862068,0.404781,14.02908,3.070421,19.45282,12.42955,2.24651,3.01486,9.847198,-1.937592,8.540775,0.09038544,-1.268101,0.9145476,6.077916,3.295666,3.633013,-2.335512,22.8398,-0.1514813,3.71917,-0.295359,-1.391294,4.930366,9.789232,4.88883
1.29896,2.024295,6.977626,8.516496,2.416359,26.3342,-1.04833,5.221313,0.558315,-1.58103,1.710721,3.879578,-0.01200933,2.629269,2.829062,10.58301,19.65969,3.850875,2.313027,17.82431,-0.07317592,1.149939,15.63046,2.375963,2.660718,3.840917,3.927006,1.890476,2.075409,2.827051,5.405098,1.593763,8.305713,0.7670332,4.702194,3.168675,8.928318,1.682314,0.1839145,3.756188,0.9627489,2.630863,7.71701,0.7802408,4.983055,4.355777,2.504747,0.4657772,-3.149359,-0.7922022,17.21962,1.92748,20.29823,14.26794,4.916202,2.119764,11.39894,-2.181267,7.660205,-0.08780372,-0.02003554,0.9598606,7.714403,1.773803,3.094401,-1.870497,23.99284,-0.7128153,2.480113,2.406768,-0.3040411,2.831639,9.360196,4.288049
1.39888,0.7549757,3.765098,10.90026,4.427879,24.5484,1.137816,3.004291,-0.5484149,-0.5447084,3.226577,5.815277,0.3050217,2.319566,4.715653,12.65878,19.2968,2.030924,1.1498,15.43513,0.4665668,0.07833839,13.95943,3.981014,2.30795,-0.3037454,1.886574,0.1082725,1.546973,5.965489,3.683032,0.7095192,11.92231,-1.702247,3.994058,2.986836,8.844069,0.3634358,0.8502148,4.725329,2.402284,2.310966,7.42283,0.2752157,5.197778,3.153244,1.425433,2.185215,1.815001,-2.816082,13.7394,1.192259,20.84118,11.8503,3.808168,3.779858,9.732185,-1.579654,7.035914,0.1787496,-0.2811812,0.9953374,6.944999,1.95592,2.356377,-3.225123,22.10658,-1.710666,2.624547,2.670063,-2.494718,3.198727,8.089935,5.457229
1.4988,3.280035,4.17329,10.10188,4.980711,25.91367,-0.04943834,2.893131,-0.8108689,-2.460548,2.473964,4.442363,-0.08755847,2.186965,3.346834,16.80739,17.05833,3.210565,1.667314,12.2444,-0.1735398,1.274809,13.92716,2.095282,2.578913,1.738132,3.355509,1.244115,2.749208,5.717781,1.998673,1.653449,9.091386,-1.09602,3.358052,3.019175,7.793957,1.906623,2.319621,4.122779,3.05698,4.491253,7.642334,1.072251,2.494666,5.627758,0.9426308,1.878188,-0.5737477,-3.228558,14.95804,4.005491,16.5486,12.69398,3.795687,2.416324,10.57085,-0.6786705,5.511058,0.284511,0.1960914,1.119974,5.24537,4.33677,2.746902,-1.327796,23.47935,-1.294623,1.941808,2.663298,-0.2810001,2.657933,8.298521,4.827076
1.59872,3.702901,6.763974,5.805657,5.003598,24.6023,0.1918808,0.999134,-0.9723,-0.2732524,2.326123,5.240598,1.939174,-1.496876,4.504585,17.02584,16.06506,3.828307,0.2476245,14.56569,-1.655369,0.8934559,13.93316,3.961142,4.624736,0.5761738,2.662328,1.652633,6.053216,5.938449,4.247141,2.332525,8.771341,3.426792,4.602971,1.894703,7.996181,0.9546292,1.459152,3.369838,4.422567,2.411497,8.150963,-0.1633719,2.960231,2.439164,1.045442,0.6216235,0.9012477,-5.019136,15.95462,2.823144,16.68743,12.92747,4.333209,1.707374,6.231902,-2.467569,8.140174,0.3698227,-2.110413,0.2588878,6.622634,3.074327,0.7971072,-0.09079432,24.02354,-0.2024287,2.544114,3.310588,-0.01494633,0.4178361,7.479347,4.229033
1.69864,2.640304,6.270814,6.76111,5.92297,26.6036,0.9256296,2.135492,-2.609101,-1.049733,1.679831,2.490189,3.858185,-1.103602,3.867384,19.02078,17.32328,2.646178,3.00994,17.19044,-3.268306,1.618625,15.42985,5.206261,4.277192,2.109907,1.803225,1.095344,7.089402,4.197943,4.173622,3.582667,10.38746,2.685135,5.074735,3.462051,8.60704,0.7371715,2.691584,3.23857,0.7403367,3.050232,7.323084,-0.03356442,4.343951,4.150269,0.07178624,0.6344532,-0.3793307,-5.68505,14.10744,1.949097,20.05805,14.7287,5.498371,1.472972,6.591373,-2.968594,7.135767,1.13966,-2.473659,0.5299934,6.485825,7.160212,1.220091,-2.238563,21.24085,0.001644358,4.465102,2.594421,-1.627813,2.210587,10.45838,3.661464
1.79856,2.385306,5.988954,6.790389,5.182137,25.40599,0.4439431,1.61338,0.08171768,-1.121286,3.032057,3.757652,3.65234,1.115433,1.876809,19.42396,15.01096,1.779686,2.032926,12.58132,-2.56783,3.37573,15.34645,3.164319,2.656603,1.122103,0.5527117,2.279647,5.814192,4.01114,1.955781,1.509403,9.535624,2.578709,4.884364,3.0989,8.394985,0.1377645,2.622983,2.668969,1.854204,3.097139,7.602795,1.677787,3.150607,6.277995,0.5063753,2.452771,-1.173854,-3.95767,16.95769,3.281162,17.28465,13.53344,7.541773,1.521261,7.723751,-1.814333,6.905116,-0.9205656,-0.5783129,1.919765,3.877576,4.991957,3.588099,-1.40891,21.39033,-2.178729,2.564536,0.58621,-2.160138,0.4429138,9.471338,3.122814
1.89848,2.757913,6.589211,6.661285,5.759202,25.86503,1.55869,2.781409,-2.349568,-2.53594,2.739523,4.905631,3.743386,-1.473005,4.462131,23.21038,17.10641,2.37953,0.9550754,12.20686,-2.124927,2.716295,13.6154,3.551077,4.221343,-0.3272853,0.5962123,1.053891,4.643201,3.245293,3.078872,4.310423,9.039814,3.642744,5.190154,4.520173,8.880566,0.7617139,2.767702,2.027353,1.946195,4.008864,6.673346,0.2897622,2.005002,6.777319,2.267113,-1.121268,0.4859803,-3.907323,16.41554,1.742101,15.31828,13.2433,9.078992,-0.8129785,6.626703,-0.963966,6.722425,-1.911594,-0.7779639,0.6577202,4.188291,4.912963,2.840549,-0.07793416,20.7405,-2.769852,4.660779,1.346409,-0.362691,0.2926109,9.746549,2.611608
1.9984,2.153873,5.019352,5.573193,5.456254,24.92455,0.8601834,0.6440204,-1.930269,-3.684953,0.8430158,4.370208,5.188682,-2.334832,4.465947,23.55079,16.26225,3.452139,1.949386,12.14551,-3.02228,1.316293,14.80042,4.562642,4.32379,0.7181689,-0.00532598,-1.166282,5.358624,4.844236,5.0054,1.899967,8.255145,1.198728,7.808008,3.465282,6.448213,1.956268,2.356277,1.370469,2.519861,2.006917,9.036507,3.250114,2.311875,6.364521,1.659182,0.3321216,0.2497728,-3.34578,17.36702,2.253269,15.34546,14.45318,8.666049,2.143416,6.895139,-2.738315,6.711676,-0.6314616,-1.797031,0.3067788,2.771832,3.697078,3.139016,-0.9814211,19.90579,-1.271403,2.518365,1.37018,0.3644395,1.254948,6.650402,2.411684
2.09832,4.679218,6.411561,8.0388,4.900051,24.92579,0.7870994,0.2796686,-1.147281,-1.408491,3.257893,3.324985,3.134766,-1.488703,4.352012,23.43723,15.59982,1.804406,3.405193,10.07907,-0.08389848,0.443516,13.90408,3.640797,3.105605,1.901466,0.3634068,-1.00629,2.381876,5.313414,3.709854,0.9557299,11.89816,1.72239,7.199619,3.770443,6.838595,0.3367116,2.531703,4.804615,0.673917,1.460994,7.58797,0.2160035,3.69428,6.762877,1.742986,0.7065387,-1.516582,-3.727976,17.24665,3.28728,16.86708,12.91861,6.327582,0.1621605,8.458926,-1.631225,6.946925,-1.143505,1.419155,0.3490814,3.236397,3.217164,2.973221,-2.928643,19.14905,-0.3266788,1.967385,0.387385,-0.521179,1.242839,9.275498,1.936649
2.19824,1.63462,5.044704,7.818801,5.89169,24.7587,1.681511,1.924504,-1.574821,-0.9951198,2.800363,4.113796,4.13452,1.044385,4.168772,22.86,13.78043,3.554127,1.957431,8.144554,-0.6185116,2.437211,13.22682,5.445513,0.6124133,3.624775,1.87096,1.072689,5.689588,5.351674,4.960636,1.882225,10.93435,1.340451,7.629262,0.8043806,5.712022,2.780663,1.895667,4.099936,1.902211,3.977113,6.386099,2.209385,3.159242,7.724538,0.8317162,1.459022,-0.5104912,-4.109153,15.05379,2.504872,17.48021,13.01875,6.097164,1.609033,6.414211,-1.33436,5.323199,-0.08987248,-0.5775662,1.499673,4.157946,3.685656,2.11332,1.659366,17.76384,-1.569082,2.412547,1.09396,0.2281586,1.686319,6.740627,1.48582
2.29816,2.971344,7.584667,5.525176,6.407961,26.29374,1.008963,1.364358,-0.1405456,-0.8552632,3.47361,2.784534,5.3645,-1.601083,3.013612,21.02027,13.5628,3.323615,1.694257,10.46417,-2.117547,2.831986,11.86331,5.654303,4.159782,3.233335,1.586157,-0.1119562,4.533732,4.983824,4.167601,2.90954,8.935338,4.141387,7.611261,1.94725,5.448508,1.379884,3.462627,2.664896,0.8621312,4.605114,7.579876,1.53216,1.88379,7.171059,0.8131227,2.925549,-2.014646,-2.728002,17.19113,1.458659,14.14797,14.56625,8.768667,0.8354721,5.104354,-1.11773,5.110696,0.2133547,-1.823615,0.4910318,3.367777,6.680597,2.212169,1.692948,16.75334,-0.3431458,3.489932,2.151446,-0.8852007,0.463961,9.691049,1.057963
2.39808,2.246998,5.395488,7.638555,6.102021,27.09456,0.6578506,2.233334,-0.6545569,-0.650869,3.878699,2.216895,4.847353,1.137431,4.455394,22.19444,11.86465,2.587786,2.160967,9.953149,-1.839054,2.621875,13.70786,5.723185,1.898461,1.783116,2.213376,-2.245673,3.484931,5.203794,3.702603,2.766513,10.99152,2.001821,5.89277,4.631682,6.600525,2.839254,3.930695,3.605789,0.9027025,5.117475,8.355647,0.431039,0.2865207,6.075203,0.6197896,0.4113462,1.842124,-1.361274,16.01317,3.833304,12.56274,13.60736,9.586236,-0.6296096,7.815198,0.4087672,2.889958,-0.08852959,-0.9933032,0.9597659,3.591602,7.038594,3.729898,-1.266583,18.46964,0.3189012,2.509975,1.160304,1.373489,-0.8537329,9.879097,3.441258
2.498,1.714453,5.970783,7.328543,5.336702,25.8948,2.021264,1.106958,0.7788889,-2.639748,5.40062,1.824686,3.480824,0.5212199,5.187686,23.31876,9.324152,4.62509,1.586962,7.08848,-3.564294,1.018554,14.21821,5.456025,2.391093,2.348403,2.303132,-1.643928,2.575335,4.68409,5.536403,1.392169,11.10235,0.67384,7.113836,5.850137,4.612994,1.019895,3.08725,4.347716,1.533404,1.27666,6.921281,-0.2866786,2.85922,6.864651,0.9326425,2.316024,0.9095619,-1.871494,14.48201,5.022884,16.78714,12.31788,8.456068,1.789928,4.383154,-0.5455347,4.746037,-0.5847188,-0.7183524,0.9816441,2.045752,8.121972,2.086827,-1.569399,17.45898,-1.402743,0.9545255,0.5310408,-0.3513937,0.8283116,9.12079,4.553676
2.59792,1.280931,5.685187,9.300282,4.022125,27.92466,-0.335474,1.142612,0.5687791,0.7077252,6.227996,3.309914,3.214166,2.567197,5.770628,22.07881,10.277,3.534677,0.8462759,6.881665,-2.024143,2.202993,13.20869,3.934403,0.6436582,3.777279,2.344004,-2.612385,5.688332,5.41541,4.663469,0.771393,14.83823,0.8735797,6.831328,4.593182,6.104021,0.5819533,4.060541,5.57751,2.233499,2.589218,7.499316,0.5737149,0.6043144,7.423224,1.344211,-0.5701958,-0.03943614,-0.7572429,14.80114,4.451863,16.72605,12.74909,7.517827,0.6250292,6.628983,0.4013342,5.2022,-1.700042,-0.6467386,0.7196845,1.176593,6.831618,1.08556,-0.7228554,18.3688,0.8421661,3.046049,-0.4506606,-1.44894,2.038985,9.242343,5.544923
2.69784,0.6476457,3.943506,8.950417,6.56381,28.95601,-0.7848445,1.520669,0.7023441,-0.1791951,4.047549,2.862638,2.717474,2.820911,10.22239,20.59737,10.0888,2.537342,1.24477,6.22008,0.6102174,-0.0509087,10.99749,5.133358,0.7384276,3.800737,0.7410961,-2.471222,4.784079,7.657538,4.87055,3.207654,15.56486,1.689062,6.722355,2.68663,5.380963,0.9186842,4.470625,6.471446,0.5280656,4.746636,6.836363,0.8666342,1.806281,6.022311,0.9074187,-1.147363,0.9200186,-1.329901,13.32513,3.456215,17.05828,10.80715,7.602865,1.116074,7.383835,0.8496383,5.489771,-2.139657,-0.0957428,2.363997,-0.06836642,8.145311,3.246984,-2.480829,18.57902,1.149865,2.822068,-0.06780706,-1.571955,2.611269,8.452777,5.605836
2.79776,2.349821,8.882314,7.206546,6.804626,35.06594,-0.00347169,0.1466478,-0.4948416,-1.61733,5.032696,2.975751,1.772201,-0.04318124,13.5492,23.68785,8.078157,2.669012,0.4213691,9.330271,-1.575363,1.791439,10.02564,3.248399,3.05245,5.64011,2.908529,-0.6215754,4.527815,5.8265,3.995167,2.692543,11.74289,1.763745,4.128228,5.327207,3.416528,0.7285833,7.776132,6.149924,0.4133168,3.734729,8.105214,1.159026,1.566082,6.335802,-0.7870023,0.45726,4.21391,-1.313549,13.79392,1.683853,14.5927,9.934986,11.09606,-1.592296,7.277035,0.9439501,6.033564,-1.268707,-1.896617,0.2065417,1.086105,6.809642,1.627299,0.4285293,17.36963,-0.5628537,1.889569,0.4874293,-2.401095,1.820499,8.461712,4.966757
2.89768,1.403222,8.601575,5.152242,5.982691,41.70168,-1.404354,0.9599489,-0.7429057,0.9754497,5.288087,2.183185,3.116679,-2.078024,15.13203,23.5,8.129236,2.209121,-1.443503,11.06472,-2.934364,2.327183,13.4089,5.593438,4.015396,3.389469,1.893773,-0.6634221,3.813218,5.498374,4.608584,2.611714,11.66168,-0.2188776,6.937865,4.101053,3.459591,0.757984,6.357827,6.336087,-0.1927054,3.709512,8.418241,-0.5600992,2.27699,7.221906,-0.1394323,0.5060906,1.674621,-3.10914,12.20643,3.002714,16.82631,10.77668,11.94693,2.048758,4.05087,2.891841,4.022932,-1.655319,-1.100954,1.826252,2.203703,7.017787,4.496093,-0.6067884,17.26638,-0.4916582,1.894738,3.719478,-2.948984,0.3254631,5.717173,4.360306
2.9976,3.108717,9.143542,5.18436,5.149456,38.4193,0.05793244,0.05930387,-1.045687,-1.210776,7.415867,1.39434,2.579827,-1.312695,17.45531,22.62518,6.899644,1.147163,-2.329765,10.7755,-1.252308,0.2760665,20.01163,5.265178,7.62675,3.269499,1.098395,-2.939675,2.895455,5.683122,4.874901,3.180298,11.86055,1.085923,5.924284,3.593772,4.546403,-1.223258,5.376925,5.091271,1.777359,2.842337,8.649283,2.907932,3.237042,8.627975,-0.7705605,0.1822422,3.866111,-1.746493,13.11579,1.177126,17.53118,9.474079,13.84619,-0.3408148,5.160914,2.962597,5.161433,-0.9724104,-0.5119401,0.05503668,4.133658,5.859095,5.128646,-0.9920937,18.19432,2.000955,3.456432,3.830261,-0.4668883,0.5159519,7.964831,3.784817
3.09752,3.453399,8.811801,6.53898,4.873145,35.35583,1.203058,0.5799077,-1.410521,-1.049602,6.841328,3.048829,1.466163,-0.9139713,19.73372,22.2715,6.16032,-0.8455821,-1.072369,9.561098,3.795689,0.7188831,22.84199,5.31286,7.73773,1.451722,0.1949946,-4.705481,-1.912025,5.243452,3.826136,3.265704,13.37958,0.2598355,2.401453,2.299583,5.621094,-0.1636539,4.095574,6.05718,-1.592363,3.404989,10.79574,1.078598,0.7627308,7.86541,1.222149,-0.513565,3.167011,-3.038954,11.81133,3.732076,17.74592,11.65564,13.30562,2.25676,6.413138,2.692687,4.751548,-0.8376155,0.7417876,1.421929,2.904971,6.490623,5.423745,0.4443365,17.02581,1.046439,1.108895,0.8082373,-1.850491,2.859912,6.400609,3.238708
3.19744,3.555172,9.45211,6.232369,4.505794,35.41086,2.729985,2.087108,-2.080041,1.378361,5.421024,1.805404,3.225037,-0.9802026,24.18173,22.37786,4.460129,1.515309,-2.21117,6.701904,2.269742,0.08882666,20.83374,3.924125,7.336144,3.203315,1.415032,-4.01205,1.557084,7.633462,5.41131,2.237409,13.60772,1.63873,3.273659,1.444641,6.30782,-0.6736378,4.354668,8.004062,3.439827,3.790825,10.98567,1.004523,2.522426,6.843906,0.09283861,0.2468959,3.714449,-3.133478,12.04437,3.693139,18.76711,9.042624,18.89812,1.37509,6.132314,2.154626,3.240621,-0.4531744,-0.2506017,3.390347,5.465653,8.034024,9.253556,-0.01097711,17.57899,-1.066975,1.866159,1.485063,-0.02706386,4.082052,7.027008,3.942564
3.29736,3.518366,9.777002,8.273492,4.17835,33.97473,1.899736,0.6889941,1.547942,3.159071,6.195011,1.977987,0.5974056,-0.7997738,25.14668,22.76271,7.026662,1.409836,-2.178448,7.28258,3.967434,0.373808,22.52463,3.411513,7.702989,2.160643,0.6512622,-2.399778,0.1898657,7.65906,4.552473,0.3768863,14.31474,0.844943,3.644596,1.625051,4.46174,0.1078404,3.504725,7.268629,0.4069938,1.439058,10.97191,1.3432,2.847967,8.824539,1.058409,1.822242,6.333242,-4.61417,9.103188,2.361009,19.27014,10.31544,22.84387,1.889122,6.166392,1.796742,3.736867,-1.355433,-0.3071773,3.417922,4.868598,6.683134,12.54166,-0.6562217,16.41118,1.6081,1.513016,1.990137,-1.067706,4.468385,6.263174,3.388262
