 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72
42.9656,1.930449,-1.541547,26.51065,-1.746338,3.505677,4.140109,-1.513035,-1.907945,22.14577,10.56677,9.452018,8.379387,5.207451,0.6690583,3.668044,10.23556,6.057252,-0.4140101,7.830392,9.878039,1.101188,27.61218,21.37619,4.631419,31.03358,2.008436,2.550484,0.2921589,6.635769,10.17441,5.939643,5.42481,13.30873,32.0283,8.626792,0.7173322,2.001585,0.2109744,3.766588,11.31882,3.689402,22.1525,1.0868,19.85489,10.39445,9.087236,33.17482,8.341441,0.4901827,-1.946083,5.900024,31.40393,1.524532,2.671265,19.82551,-1.79453,-0.3284014,1.763662,31.49598,27.74695,7.749488,-1.022094,0.9277667,-1.0141,-0.4627019,0.5641847,1.360183,-0.7122241,3.5741,16.47235,6.777918,0.8196657,29.1621
43.06552,-0.4567205,-2.02284,26.27991,-0.8451147,1.914027,3.021122,-2.290097,1.31805,24.19951,8.596093,8.265924,7.645297,4.605936,1.284403,6.143713,8.06343,4.92161,-2.114115,7.446596,7.48478,2.850502,36.10491,20.6365,4.573944,32.41408,-0.135181,1.942407,-1.680114,4.663244,11.43441,4.366936,3.91698,14.5878,31.90839,8.349919,-0.4230292,1.190626,-0.00220847,4.897784,11.13236,6.774923,21.66473,1.113232,19.266,10.82657,14.47462,32.32483,10.66717,-0.655436,-4.426485,3.223096,33.16975,0.5724308,3.107477,20.96694,-2.283111,0.6318391,3.018116,31.24462,29.5448,8.731157,-1.952975,1.343668,-0.3586697,0.3629491,-0.8333704,0.9389327,-1.226592,3.645406,16.63601,5.366991,2.059968,31.45037
43.16544,1.68688,-1.362317,28.46297,-1.461984,3.67218,0.5311662,-2.176498,-0.2990129,24.10024,6.703103,9.708355,8.088725,4.934995,-0.8870251,5.003254,11.03305,5.467701,0.2539249,6.591988,6.005179,2.843263,40.62462,17.80323,2.89848,32.5536,0.4677559,2.985948,-2.6565,4.126551,12.31775,4.834468,7.033333,11.74263,33.02744,8.475338,0.6945895,0.05870575,1.240726,3.736165,7.623941,5.061526,19.97004,0.1173856,21.23684,12.12584,18.44395,31.72217,8.534396,-0.9506558,-3.14586,2.477341,33.92374,-0.4278928,1.970565,20.45738,-0.3202371,1.071937,4.502982,29.35459,31.08114,8.930332,-3.000473,-0.2467945,-2.033118,-2.632457,-0.8797699,-0.2574212,0.2385105,4.210509,18.42626,5.978108,1.427932,31.76907
43.26536,1.809626,-3.054827,28.20112,-0.6843308,0.740921,2.756707,-0.8220967,-0.1348338,22.22584,7.33368,10.72404,6.714129,5.157491,1.540516,4.943621,10.43182,2.844256,0.2695339,6.558179,10.85961,1.496232,37.91233,18.32267,4.273654,33.60868,1.034148,2.30955,-2.721654,6.128105,15.10705,5.2653,6.306305,11.34699,31.25035,10.40702,-0.6120063,3.123249,1.68503,6.050159,8.983059,5.640985,20.29536,2.788176,18.49632,10.37871,18.97913,28.86747,9.298414,-1.909042,-3.984359,1.201583,31.03654,1.986087,2.333535,21.09675,0.3668833,1.219147,3.313268,27.93958,31.57915,11.67902,-1.445563,0.06822674,-1.681185,-1.678633,-1.247272,0.003703811,-1.162405,1.372316,18.07126,5.52929,0.9312912,33.36977
43.36528,2.0337,-6.35432,34.09638,-3.168735,2.084581,3.140588,-2.017814,-1.936637,23.87493,7.412981,13.13601,7.794643,4.413221,-0.25853,5.441272,10.28922,3.926612,0.4674805,7.848107,11.71999,0.7877814,36.99339,17.36216,2.771347,30.57673,3.474972,1.393477,-2.86596,5.678497,16.59376,6.633923,6.714324,13.54542,29.12464,8.625474,1.10676,2.008969,2.751384,3.610736,15.30113,3.951468,21.08907,0.5139266,17.04521,9.79699,16.97753,29.87543,7.91474,-0.6296046,-2.180342,1.677379,31.7393,0.1962523,2.684583,19.04614,-1.594119,-1.276528,2.076843,28.26484,29.61107,11.06244,-0.3144605,-2.203421,-0.746886,0.7848212,-0.4037896,-2.664416,0.8683088,-0.1423473,18.48107,6.583234,2.026569,31.44306
43.4652,1.002488,-2.197359,37.03952,-2.384337,1.386191,1.740067,-1.766319,-1.8217,22.57685,8.725604,10.56322,7.264738,4.750647,2.2426,4.721442,8.514372,4.5326,2.782146,7.525562,9.120611,1.632809,37.16738,16.75297,2.084422,30.55498,3.503543,-0.557291,-2.181907,2.86553,20.3963,6.395299,7.127313,10.33509,31.44652,8.766621,1.500612,1.45513,2.358748,3.887391,20.07127,1.880148,19.76187,-1.498832,17.31307,9.707789,17.5032,26.55327,10.49486,-1.011284,-4.990603,3.478094,32.29287,-0.9554132,4.321122,20.09805,-0.7434148,-1.32667,1.896388,27.70313,29.90261,12.55266,-1.528422,-0.706692,-1.778991,2.625681,-0.8836355,-1.662234,-0.5029796,2.95447,17.93013,5.437358,0.85089,29.71844
43.56512,-0.315053,-2.549911,46.39344,-3.753834,3.271662,2.788838,-3.653823,-2.20992,20.68624,8.140356,11.08966,6.061973,3.038692,1.159946,6.933694,8.365239,3.768955,2.594704,8.50605,8.679671,2.68736,35.84223,15.55972,2.110138,31.75719,2.564934,-0.2409186,-1.620905,5.117395,23.65403,6.406339,6.877738,12.67733,33.87767,7.683557,2.175929,0.5600556,0.5148057,3.884586,24.4092,2.358094,17.95344,-0.01790685,15.2811,8.498098,15.95757,26.50784,9.293467,-2.457131,-3.17432,3.249849,31.40006,-0.7336634,3.154125,19.34657,-1.17059,1.052091,1.616118,27.25657,31.71319,13.56346,-0.3522254,-0.9259292,-3.693718,3.571697,-0.5782042,0.07723839,0.7672903,1.254986,17.25778,6.395248,2.733422,27.96673
43.66504,1.372219,-2.417922,48.21103,-4.73943,1.683007,3.155242,-3.580209,0.1749126,20.92567,7.182872,8.925591,7.835803,4.828975,0.6894064,3.728249,8.032363,4.315614,2.529052,7.453658,8.623543,1.119556,37.05575,15.62457,1.600368,30.44432,1.725759,0.138667,-2.469424,1.390037,23.12424,6.617513,7.803219,12.33591,32.30248,9.585856,1.973797,1.583284,0.0254061,3.4324,26.52089,2.590873,17.67231,-1.225423,15.09257,7.3525,13.09515,27.99929,9.043171,-3.466493,-4.604131,2.297898,31.80553,-2.519851,3.273408,16.55606,-1.984872,-2.408883,1.499883,24.02398,30.50295,12.20882,0.6312439,-0.7104848,-2.581852,5.60521,-1.240144,-1.367865,1.433273,2.325886,13.75346,4.831709,4.020532,26.29891
43.76496,0.3539745,-2.696037,51.84258,-3.116714,1.98312,2.198054,-1.616325,0.7173478,18.1865,8.719956,10.85,8.084136,5.347405,2.748224,5.395265,7.741795,5.509391,0.8650415,9.603003,8.153692,0.9955453,37.76246,15.62827,0.9646086,30.00918,4.63435,-1.179643,0.6404601,1.745229,21.87805,5.131137,5.892806,12.18629,32.86081,9.002404,1.775718,2.548279,1.036265,4.233441,25.1457,1.809076,17.23911,-0.07914799,15.55989,7.934194,13.93415,24.87838,9.147022,-0.7074158,-4.170555,3.139231,33.06696,-2.5794,5.121017,15.19383,-1.221097,0.07354025,0.7972854,23.41061,29.27145,15.5243,-1.366041,-0.4796973,-0.6029181,7.126253,1.086691,-1.857312,-1.121075,1.502216,14.06363,5.006057,4.156153,25.15697
43.86488,0.7809638,-2.440136,52.3166,-4.654189,1.1161,3.403575,-2.210695,1.690319,18.07712,9.809651,10.47909,8.201169,3.813732,0.7083313,4.013371,6.47932,6.494214,0.2660827,9.374537,6.079483,2.412475,35.81202,14.85794,2.119582,28.73656,3.10511,1.339163,-0.01771829,1.670419,20.23013,5.627204,5.19525,13.63857,32.80336,9.420899,0.9425005,1.960069,0.7520295,5.266644,25.60849,3.2196,16.59743,-0.3597506,14.61693,5.805668,11.45025,24.42766,9.404498,-1.604018,-2.537604,2.134665,33.92097,-1.649541,4.961287,14.00698,-1.91709,0.5134882,1.563949,21.892,25.06264,13.91168,-1.56052,-0.5702084,-3.699565,5.224583,1.02194,-1.80003,-0.9021326,2.488217,13.57084,4.960429,3.178737,24.25049
