 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85
56.35488,19.60424,2.449237,-0.6268896,11.3151,2.843328,4.074226,6.047956,5.474441,-1.629818,-0.1492121,6.879648,0.8001959,5.754883,-0.1965506,4.516609,-1.904665,6.065539,1.993493,1.041544,3.03787,45.31319,2.837036,0.5016692,35.95904,1.313113,22.0965,1.339149,-1.160486,0.5760099,0.3483121,7.843803,6.742881,16.49975,4.383704,5.339734,29.10599,4.891314,4.142768,4.464255,1.576708,13.17539,-0.3263914,-0.7752648,10.97207,12.24915,2.637537,16.9304,10.44852,41.11867,2.648699,-0.1402284,9.538006,-0.2089869,10.35278,0.04639228,3.206942,1.170538,14.12165,2.932252,5.2387,6.148307,9.673625,2.633168,14.11505,-0.8858792,2.954026,0.01066785,1.936867,2.945209,0.4791639,4.358746,0.4504363,3.282607,5.805785,3.71815,13.6982,-0.9055358,25.57861,24.39797,0.6596948,22.52499,24.62897,12.20573,5.174197,2.441611,3.637298
56.4548,18.81001,5.097588,-0.06467295,10.57716,4.130891,3.1747,7.111546,3.463402,-2.389253,0.007777665,5.666023,0.2258962,3.303774,-1.298907,4.180544,0.4857635,4.440583,3.446466,-1.161388,4.435602,44.88443,0.006637215,1.292502,35.52311,2.358397,20.98495,1.085039,-1.042412,-0.04299325,1.123868,7.411188,3.809311,16.42946,3.019463,5.960077,27.54267,3.678983,5.926915,1.033855,3.466133,12.45654,1.245739,1.126283,11.60787,13.03634,2.420034,14.92063,10.77511,45.27034,2.311424,-0.06021123,10.63474,0.7024167,9.182328,-0.6944441,3.888667,1.33906,15.1848,4.264451,4.604203,4.9325,11.08062,4.597932,14.78219,0.2159415,3.058396,-0.1960884,0.671865,3.33976,0.7111,3.63812,0.175558,3.936264,7.72395,1.423007,16.86138,-1.139231,24.24415,27.00902,0.1433554,22.08952,22.45952,11.07668,6.778647,1.219146,3.637298
56.55472,18.46175,0.1160227,-1.444853,12.97055,1.373265,6.090989,6.038505,4.829391,-1.166963,1.291603,6.121015,2.490992,6.673747,0.9009472,5.944077,-1.746396,2.787338,3.449524,1.582425,1.691561,46.61181,2.735356,2.146531,37.19269,2.295754,22.14327,-0.8299471,0.1518213,0.1536518,0.2448079,8.766909,4.35126,17.56963,6.368777,3.772102,26.90953,2.337481,2.594736,1.890677,0.7751487,10.92069,-0.1225246,-2.494869,9.977247,12.35334,2.012334,17.57714,8.026325,47.98765,3.839758,0.01084289,11.2108,-0.8501649,10.4761,-1.313645,1.972061,1.32025,16.59094,1.700364,3.029736,6.240892,10.27014,2.828934,14.73032,-2.077173,1.128893,0.06254366,0.510145,1.714142,0.7033033,3.041819,1.738503,2.20986,5.773864,2.004448,12.98977,-0.9234401,30.29783,24.95611,-0.501415,17.36596,23.05,12.57146,6.121656,1.864011,3.637298
56.65464,18.94628,0.9791285,1.396692,12.36372,0.8047694,6.672421,5.927189,4.88314,-2.176529,0.915052,7.133028,2.560442,4.196512,1.580921,3.81522,-1.448252,3.990616,3.083478,2.460695,2.537728,46.34332,0.218067,1.61013,36.23008,1.147347,23.90846,-1.634095,1.706749,0.1677868,2.959076,8.478775,6.498415,15.52527,3.534318,3.24771,24.78397,2.928294,2.407593,3.593679,3.64301,11.184,0.7144384,0.6294168,10.23576,11.78178,2.598548,19.19776,9.336661,51.21068,4.513181,0.2007377,12.74963,-1.043554,9.329687,-1.981723,3.171348,-1.533904,17.53876,1.813838,3.132061,6.957865,11.41487,2.21422,14.95483,-1.150465,1.893215,0.363945,-1.220781,2.097333,-1.944123,3.808129,0.6876197,2.512664,5.516004,5.113516,14.61171,-4.060556,29.40549,21.81485,-0.5927372,18.17001,23.30802,9.581609,6.698232,1.472924,3.637298
56.75456,17.95695,1.850452,-0.1679679,9.218692,0.2431383,4.085434,6.740415,4.383444,-1.860772,0.517037,6.157955,-0.03943656,1.359915,2.224087,4.86937,0.4296177,4.82701,2.184637,0.8483852,2.398436,45.69345,1.092347,2.461936,37.37931,1.22126,20.55914,-0.08989846,0.3320025,1.386378,3.649654,8.783886,6.980105,16.1818,5.245903,2.84703,23.98211,2.519606,1.004903,5.03113,2.199886,11.83896,1.712668,-0.2888398,9.888131,11.85283,2.887349,16.89673,8.467629,54.33093,2.808134,0.5054007,10.11727,-0.4793332,9.0526,-3.26018,3.868433,-1.397807,17.55923,2.669072,4.587772,6.768422,12.07999,1.360698,14.59003,-2.211759,2.120671,0.6582092,-0.6632969,1.383434,-1.233058,2.51649,-0.6185644,1.912748,5.434586,5.015272,13.2849,-3.132495,28.08986,20.33674,-0.2220261,17.16593,22.3846,8.365261,9.012166,-0.5082824,3.637298
56.85448,16.21726,3.706032,-0.6968455,10.19859,1.988262,3.088299,5.075899,2.958838,-1.790524,0.6745857,6.566403,0.3668871,2.871981,3.574605,4.70215,1.513763,2.580058,1.190493,4.15598,3.427412,46.00665,0.2385365,3.162435,40.41826,1.769209,21.02325,-2.07624,-0.3323699,0.3089635,3.470267,12.91613,8.559844,16.28188,4.671871,2.881351,24.43517,3.338506,3.012336,1.250667,0.9665209,11.48601,2.208914,1.079203,10.6819,11.72848,3.140046,16.76618,8.527785,56.4405,3.431711,-0.686996,9.339992,-0.007925493,7.987185,-3.786324,1.755657,-1.258548,18.90709,3.359526,4.402796,5.450073,12.56197,2.124973,12.62738,-1.288886,2.317437,1.935643,-0.2919084,1.448742,-0.9199126,2.174505,-1.279055,2.522034,4.849844,5.600697,11.45894,-3.857348,29.37008,19.19857,0.4239975,17.02384,24.12313,9.589901,20.6155,1.940922,3.637298
56.9544,16.36565,3.052345,-0.2584057,9.749009,2.525906,1.9975,6.707773,2.299224,-2.33948,0.04565847,4.712426,-1.603945,2.232455,2.596436,3.198187,3.189917,3.634299,3.178553,2.678408,3.224248,45.99228,0.746964,2.982987,41.3246,-0.8285727,18.75863,-1.596134,-0.3538718,1.325655,5.836035,10.94349,5.848882,18.42081,2.841428,2.494866,19.17564,3.398314,0.3910998,2.369824,1.258663,11.63478,1.185089,-2.862333,11.42311,12.12616,1.044746,18.10003,9.119804,54.85104,4.287219,0.1294097,12.18121,0.2356286,9.345768,-3.651016,3.310788,-1.755581,17.87233,1.589086,6.409438,7.750401,12.52688,1.61416,12.31984,-0.7273917,0.7683856,0.3831414,-2.65248,-0.1698632,-0.08671698,4.051813,-0.8403755,2.684632,4.455283,6.227239,10.82923,-2.351314,33.12068,19.44365,0.03001216,14.75364,20.99314,6.427252,21.8779,-1.63263,3.637298
57.05432,16.70363,1.405189,-0.6820146,9.838711,1.266535,2.558874,5.638546,3.998767,-2.231974,0.9041318,3.443411,-0.2200072,1.906152,2.626978,5.248737,4.695651,1.090758,2.743302,1.2509,4.652017,47.05323,1.3345,4.073827,39.64518,-0.926003,19.87647,-0.70023,-1.798011,2.437351,4.940815,10.69396,6.304904,19.84294,6.681542,3.78403,19.92498,5.255266,1.186305,2.589067,0.8514603,10.26892,2.731381,-1.932824,14.14502,12.15585,1.868626,18.37364,8.919567,55.5232,2.627939,0.2678768,10.47807,-0.03042128,8.561837,-2.698751,2.323721,-1.080098,18.38133,4.2887,6.206898,7.357489,13.26123,3.018578,14.7329,-0.5180838,2.36235,1.278467,-0.08245009,1.362462,-0.3351034,2.660393,-1.166622,3.251189,6.083786,4.01823,12.51765,-2.93537,36.80869,17.53647,-0.01739053,17.35809,22.61808,10.98249,25.98248,-1.940126,3.637298
57.15424,14.5802,8.402295,0.8359909,11.00826,0.8558918,3.570498,4.390026,-0.4201976,-2.96291,1.557289,4.625888,0.5702143,2.624718,4.90656,3.81637,4.850833,0.9389095,0.601034,1.63276,8.426826,47.38357,1.0091,3.072486,42.21381,1.605862,21.40449,-0.2910247,0.6179487,1.152225,7.345947,11.29378,6.776793,17.47042,6.195454,3.839717,19.23845,3.168814,-0.0916764,1.978589,0.4321811,11.32966,0.7089566,-0.9614783,12.93864,8.991855,0.9233112,18.56717,7.172398,55.4617,3.836832,-0.3537816,11.06447,-0.9844346,10.01419,-2.783965,2.52185,-0.1742255,19.3074,2.347151,7.329112,5.79721,12.71676,1.672699,12.73882,-0.1467292,1.789181,-0.6111006,-1.306498,1.132614,-0.5705029,3.329014,-1.41834,2.940886,4.625973,3.111405,13.7658,-1.763703,38.45179,20.3903,-0.2202915,15.51739,21.45055,7.048315,25.77834,-0.3872638,3.637298
57.25416,13.4294,14.72904,-0.4112104,12.29459,1.712615,0.756834,5.555057,2.557825,-2.859797,-0.2216075,4.220212,-1.413534,1.801257,3.426088,5.397817,3.35257,-2.277738,1.829564,-0.7693328,6.767623,44.66396,-0.04524904,4.31119,41.98722,0.3546371,21.74269,0.354772,-1.47787,-0.7420051,5.03667,10.05686,8.830171,15.515,4.819371,2.718063,19.42745,2.903184,1.007634,4.132911,1.692471,9.758134,0.5464699,1.907764,11.30793,12.39117,1.473985,17.25957,7.670782,53.20692,2.76657,-0.510408,7.635629,0.1454222,9.255838,-0.9176768,2.097408,-0.4838353,20.39572,3.290563,5.904158,5.996632,13.53048,2.691143,13.29984,-1.858231,1.886163,1.234323,-0.02794776,3.389673,0.4780937,1.694781,-0.4585185,2.5759,5.608958,3.063557,14.45985,-1.588413,39.91221,20.07608,-1.875716,16.8086,22.12989,9.198729,27.87291,0.6861798,3.637298
