 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C60, C61, C62, C63, C64, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C76, C77, C78, C79, C80, C81, C82, C83, C84, C85
Time(s)/Cell Status,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0
0,12.96839,1.976971,7.780531,0.1107073,3.002284,30.91927,6.655243,7.427143,3.114385,17.38053,3.874728,3.276416,-0.833002,5.215321,-0.1625364,0.02933785,4.965653,4.399822,-1.298756,12.70432,17.53513,6.24574,12.43389,11.35573,6.599638,8.427428,4.728848,7.901084,0.4757476,7.506055,6.598137,3.502124,7.678824,12.59679,5.666425,4.514294,0.7334359,11.04812,7.825085,-1.033921,0.09374862,2.089369,5.017587,2.310843,2.237735,-0.9336565,3.68036,10.65857,1.587181,3.650246,0.8401713,4.347977,0.9168559,0.1923903,3.119124,0.806915,5.71443,-2.378106,8.845524,5.647813,6.447224,13.68936,5.585459,9.248198,6.120251,1.149158,-1.242187,1.211982,1.79232,-0.02532153,-0.01807116,3.151666,6.015609,4.991043,21.19565,0.7186741,27.14654,0.7478532,0.2173617,10.31079,9.162639,5.147904,3.559884,2.682214,4.939941,3.637298
0.09992,12.92743,1.132004,5.844286,0.498198,3.74128,31.93089,6.323788,5.606091,-0.4804521,22.24072,3.240551,4.723878,2.175201,3.467263,1.238946,0.1204443,2.266754,5.71109,0.363553,9.500454,14.48717,9.226236,11.85277,12.64536,4.200571,8.400558,4.310431,9.227201,1.441375,4.544129,8.667415,4.539537,10.89944,12.8395,3.684338,3.575915,3.352623,8.118025,6.021328,-0.03500549,0.332685,0.07112253,4.541489,3.621463,1.007623,-1.379295,3.313637,9.886889,2.742043,4.27623,1.535164,3.618609,0.7179005,2.132428,2.324041,2.270775,4.889003,-1.603979,9.683642,7.120885,6.711882,12.61245,1.832321,6.742102,7.114689,2.624371,-1.586102,0.307547,2.714267,-0.5159222,-0.5860174,2.842818,5.074269,3.059475,21.3395,-0.07086029,24.59201,1.429442,0.7326135,10.41074,7.149043,2.71988,2.68532,4.20984,7.182302,3.637298
0.19984,10.34612,2.111072,3.311951,0.7962677,2.392119,30.97147,6.425404,7.844754,1.257504,22.96248,3.061194,4.39259,0.4427269,5.490599,0.7356252,-0.2805416,3.423087,5.459425,2.52822,10.17806,15.28769,9.387321,10.5321,12.63436,5.259221,7.507858,3.430909,7.023894,2.198049,4.246299,7.831526,4.921402,9.680834,10.42754,3.996511,3.083785,2.167418,10.55032,7.302655,-0.5806199,0.8877936,-1.187805,1.960543,6.013272,2.495034,0.3495361,3.299079,10.68631,4.695802,4.911757,1.47472,5.170513,0.1495973,1.672485,1.945278,2.359339,5.517384,-2.980289,10.0345,6.565181,8.216625,11.23174,3.657493,6.899134,8.424026,2.2869,0.9113066,0.530716,2.147896,0.3134169,-0.4243079,1.898337,5.092032,4.537189,19.12461,2.080999,22.52445,0.6128148,0.1623776,9.850221,7.668525,4.270558,4.411446,3.678607,4.653712,3.637298
0.29976,11.29705,3.375578,3.823261,1.598013,4.178675,31.88245,7.289375,5.866101,3.302628,20.00943,2.524853,4.507564,-1.354958,4.833249,-1.496692,1.387124,2.68848,5.560201,-1.105103,10.35062,17.75006,8.701294,10.74875,9.79499,4.30079,7.615243,2.836139,4.892653,-0.3143539,3.420375,7.063871,4.257425,9.257831,10.54037,6.351965,4.417115,3.727984,11.48806,7.857554,-0.206872,-0.339031,0.3055605,4.490658,3.677172,2.387022,-0.8082961,1.609065,12.10515,14.23311,6.093192,0.9794163,3.578716,-0.9443865,2.82517,-0.2601667,3.481703,2.201753,-0.9941794,9.254726,5.219257,8.829561,11.08796,4.421069,7.735406,8.477127,3.975379,-2.68626,-0.769885,0.7356762,-1.61062,-0.6643556,3.108769,5.274443,4.375046,17.66208,4.271098,23.02549,1.794106,0.545366,10.41255,5.938006,4.362373,2.697796,4.565461,3.740938,3.637298
0.39968,10.34878,5.019143,6.142528,0.9558354,2.797614,30.39126,7.203399,6.791492,2.154683,19.59492,3.3306,3.390178,-0.6508117,3.336815,-0.3121168,0.7677384,1.827531,5.083997,1.533897,9.860696,18.71554,8.754518,9.230636,9.933449,4.907604,9.285552,3.602668,6.126861,2.311076,2.048523,8.163625,5.233719,11.365,9.471849,5.684579,4.775455,4.527244,8.740849,6.393846,-1.244915,0.8937823,-1.69019,5.393123,4.760427,1.668263,-0.7519432,2.847862,11.49519,22.70917,5.11642,0.02218222,5.029115,-1.651434,4.614158,-0.8017757,3.003393,2.702211,-0.5849469,8.073396,4.494834,9.951752,10.27603,8.411251,6.679117,7.85501,2.277559,-2.865589,1.215921,1.197121,-1.991812,-0.8160596,1.54191,5.779666,4.3667,18.44814,3.307706,23.36626,2.86271,-0.5024329,10.73013,6.171484,4.666172,5.144204,3.500862,4.466558,3.637298
0.4996,9.345062,7.598289,7.765707,0.3900659,1.328291,29.34153,8.727972,8.043353,1.746682,18.30494,3.948291,0.5569224,0.7558861,2.257787,-0.3532693,0.8651888,1.748158,3.28762,0.768948,10.5823,19.84865,6.36063,12.15729,8.389541,4.272064,8.569617,3.745281,5.31531,-2.079659,3.16084,6.066178,5.164365,12.18004,9.32253,6.489739,3.968463,3.504555,11.27758,7.803222,0.2966717,-2.036925,-2.001375,5.425589,3.796125,1.011891,-0.07491373,2.568625,12.78908,31.53845,3.708294,-0.7386867,4.674533,-0.4625682,3.535026,-1.663652,4.314329,2.310951,-0.3201899,7.779511,5.606096,9.584949,10.29727,10.4092,8.330951,7.314021,4.366152,-1.314507,0.3182367,2.573582,-1.342961,-2.247303,2.093449,6.342558,5.261372,18.32399,4.010087,24.09404,0.5055201,-0.7509782,11.94077,7.100209,5.648002,2.419043,3.078645,5.181005,3.637298
0.59952,12.0013,6.365593,7.453386,1.74027,1.525602,28.9385,7.903241,6.21007,0.3437963,18.04692,4.301425,2.13407,-2.133266,2.533293,1.485877,2.847957,1.288707,5.621137,-0.7819224,9.258047,19.44785,6.801067,9.932718,9.00389,4.421718,8.632434,5.021253,6.811295,-0.1320009,2.638749,7.796584,3.354988,12.37131,8.728448,6.289059,3.807196,3.771339,9.499057,4.484767,-1.797052,0.3181816,-1.638498,4.369431,3.472204,1.261348,-1.019284,2.61962,10.88264,35.84149,4.963648,-0.5949395,6.520038,0.217616,3.735193,0.4007914,4.96808,5.297655,-0.7699201,7.756699,7.620663,9.493977,9.142959,7.428107,6.879769,6.862689,3.873486,0.507049,1.222634,0.03179238,-0.5065907,1.597783,3.384881,6.512101,4.590305,16.68988,2.964014,19.90758,0.6366044,-2.328339,9.659625,5.494093,3.952068,1.898378,1.866222,3.37308,3.637298
0.69944,10.87216,6.682631,3.581146,0.2953248,3.390915,29.35094,5.979655,5.60491,-0.1099129,19.50315,5.213139,3.397073,-1.484872,3.144315,-0.3751652,0.05999022,3.593398,3.891325,1.024595,6.372879,15.51885,7.360972,8.938559,7.574352,3.946698,6.978407,3.535526,6.466668,-1.070573,4.041304,7.280298,4.735017,10.82607,8.277581,6.733709,2.966074,1.36436,5.839465,6.487846,1.19945,0.499708,0.1092184,3.717053,2.556705,1.425409,-0.2821676,1.634642,10.68277,42.61931,6.598869,-0.6529134,3.659709,-0.2826817,4.08683,1.280018,3.317663,1.081264,1.47952,8.132068,6.183784,11.30791,9.460879,6.713566,7.435609,7.646565,4.079278,-2.205042,-0.01391947,1.864245,-1.499208,0.3034875,2.370118,5.980673,6.375594,17.08804,1.654084,21.5792,-0.0303406,-1.11704,10.32312,5.168549,1.44053,1.912914,1.430058,3.244398,3.637298
0.79936,8.718206,5.528461,2.35267,-0.1990839,0.8057079,26.5365,7.610771,7.723062,1.777648,15.99644,3.731833,3.041019,-0.6629807,1.747513,0.2852957,-0.9411052,1.553238,3.509243,2.088082,7.286524,17.24548,5.35411,9.196733,10.16841,4.789804,7.426107,3.254233,8.310636,-0.908997,3.230422,6.175796,4.388885,13.71903,8.082357,5.559464,2.294265,3.230748,7.187387,5.55176,5.549458,0.2012742,0.1038401,4.946098,1.428191,0.3249535,-0.4288406,3.093334,10.10993,46.34591,6.00218,0.409381,6.35933,-0.5294456,4.121783,-1.074453,4.385971,0.3985405,0.6051659,7.669187,6.908198,11.25197,8.146525,5.198442,7.489231,6.612276,2.926806,-1.739694,0.8887312,2.382532,-2.67565,1.47429,0.7644337,5.359529,7.075871,16.38726,1.216354,20.40568,2.77155,-1.886082,12.48885,5.47813,3.657892,1.997241,1.006187,6.090755,3.637298
0.89928,9.119275,8.042611,7.323575,-0.6125823,2.03161,25.42548,6.548262,4.735203,1.15919,15.32051,2.222969,-0.9580129,-1.082704,1.078566,-0.5463866,1.458974,0.4209801,3.503581,0.392545,10.23008,16.31246,5.761823,8.792256,8.686969,5.039459,6.096937,2.24755,6.669625,-0.9122421,1.162191,6.099825,4.151798,11.26967,7.418349,6.599592,3.468116,2.052482,8.96523,6.224522,11.58894,0.6453725,-0.8785629,4.897167,3.794128,1.866218,-1.170358,2.373175,9.804159,50.70338,6.68844,1.497813,4.912561,-0.007522068,0.8861476,-2.881959,3.599264,1.030907,0.6956703,8.84392,5.457857,12.73361,9.381159,6.439219,7.06945,7.926972,3.734088,-4.368425,-0.7188978,1.935549,-0.8996239,0.5291513,2.320203,6.983293,6.55705,14.53119,3.042316,20.52157,-1.759338,2.016022,11.02486,5.253476,4.953769,0.6587409,3.110249,2.330642,3.637298
0.9992,8.783755,8.160482,4.496341,-0.6757276,0.4308075,26.92655,5.471996,3.66922,1.877941,14.91824,3.863041,-2.605485,-3.237727,0.5133396,0.1764801,1.147919,1.264282,0.9508682,0.918253,8.884247,16.82638,4.603319,8.520137,5.923662,5.387216,6.921958,-0.0556471,5.734015,-1.14743,-0.6615196,4.88368,3.052407,14.71529,8.343599,5.760859,2.778403,2.312236,8.16174,7.016603,14.29402,1.007725,-0.06235538,5.736018,4.088857,2.181033,-0.6288429,3.274871,9.140715,53.22828,5.409079,0.1635547,5.668298,0.7133284,2.652703,0.8027505,4.270463,1.043048,0.7014722,9.64136,6.076794,10.95634,9.512396,6.612758,6.444476,7.401112,2.907297,-2.786442,2.286771,1.503541,-1.637611,2.097318,2.803718,7.664814,7.182614,13.15143,2.955106,19.13667,-0.1318586,1.790799,12.73819,4.986331,4.669742,0.5711672,0.5906085,3.334098,3.637298
1.09912,8.965064,6.57313,4.095297,-0.1065724,1.213541,26.00875,7.016059,4.79224,1.139697,13.13514,2.474677,-1.51897,-1.98649,-0.7975747,-1.609632,-0.6221245,1.672322,3.507178,-2.469597,9.516441,18.48812,6.191603,8.782582,6.393824,3.924744,7.386755,-0.8969914,3.449756,-0.4304377,-1.315899,5.691957,3.086959,15.27677,6.679523,4.486218,0.930688,2.58089,7.817307,5.233927,12.11729,1.030235,-2.395216,4.980278,1.296335,2.656655,0.1052759,2.348258,8.724756,54.56244,7.050231,-0.4167097,6.599597,0.7328796,1.817525,-1.441489,3.423415,1.881969,-0.8847094,8.420899,4.200347,8.001647,11.84511,6.481767,5.893848,5.372245,3.537484,-1.909387,0.2050838,-0.1544355,-1.060171,-0.3425617,0.2607186,5.478584,6.099776,15.19346,2.76255,21.00796,-0.9868794,1.568027,11.32845,5.017275,4.305954,-0.05129101,-0.592209,2.704304,3.637298
1.19904,7.737385,6.702178,3.413844,0.8942872,1.524107,25.10804,4.911017,6.428325,2.148132,14.44107,4.296167,0.3667839,-1.412295,-0.4469087,-0.7609594,0.2952553,2.682496,2.147573,-0.5860651,7.254509,16.23238,6.287191,8.580527,6.645952,2.924243,7.876031,-0.8425205,6.501493,-0.09256764,-0.822022,5.173251,2.072932,13.65354,7.972726,5.360525,0.3571594,2.382122,6.9309,4.44977,10.8455,2.650871,1.053892,4.050858,1.728716,0.9682372,2.020337,4.699274,8.916454,52.87898,5.916846,-0.3595444,4.625263,-0.6783339,0.4914613,1.465049,2.945364,3.176227,-0.919086,8.093384,3.882774,6.008491,10.37004,5.860157,5.741747,5.562542,3.954006,-1.854516,-0.5532131,0.105729,0.6015378,-0.462061,2.548762,5.236994,6.21888,15.83762,2.781218,19.02876,-0.96916,1.538371,10.21887,4.246551,2.036166,1.256329,-0.5314237,4.049995,3.637298
1.29896,8.820942,6.268352,3.375382,0.5704737,1.771208,25.24292,5.390153,5.712851,2.343827,13.29083,2.190413,-1.310619,-2.107821,-0.278418,0.3495951,-0.4405049,2.658718,1.916505,-0.6921402,6.040295,16.92807,6.710027,9.831713,7.554185,5.91254,7.867417,-0.1868549,4.88588,-0.5540231,-0.1393975,5.408155,2.300935,15.51518,7.730417,4.909977,1.007729,1.905448,6.661787,2.988494,9.151249,0.3749567,0.369275,1.879739,2.766766,1.904703,0.8917945,5.186355,8.990005,52.36638,5.508869,-0.007899332,4.36236,-0.6283005,0.06476666,0.6593462,1.557236,3.212309,-1.224535,7.366509,4.307174,9.709343,10.28832,7.095835,6.629978,5.20341,3.151123,-1.509676,-0.26932,0.5035728,0.1271973,2.756901,2.004549,6.405108,6.657582,13.15739,3.016785,19.25384,-1.360637,2.634349,10.91098,3.221213,4.844654,0.9418667,1.41966,2.851303,3.637298
1.39888,9.412169,4.402082,0.4187308,3.885502,2.624433,23.95301,4.604111,3.536186,1.988882,15.3518,4.918603,3.30467,-1.978058,-0.3442085,-0.6389297,-1.176515,2.266418,3.023524,0.6467931,5.949908,15.81275,7.262405,10.49965,6.260942,3.1978,7.481141,-1.784978,2.564814,1.204671,0.4346209,8.920894,4.817797,13.88831,6.146238,3.953982,0.5718436,3.23146,4.722857,3.732022,6.605419,-0.7016064,0.6993665,-0.1156678,3.045807,1.138071,2.740443,4.279665,8.646426,49.26613,6.254478,-0.2370261,7.277346,-0.2105653,2.57254,1.426694,2.269212,3.068993,1.186597,6.085227,6.243291,8.605472,9.281021,7.668587,6.190323,4.328134,2.743892,-1.519755,0.9959412,0.06027292,-0.1290619,1.943992,0.1529399,6.212433,5.999504,15.0607,1.309919,15.23,-1.746015,0.8904996,10.80477,4.941327,4.838433,0.6243646,-1.187364,2.876018,3.637298
1.4988,7.690525,1.062939,-2.601532,4.665256,2.766627,24.49481,3.870414,1.911188,4.745148,14.98436,4.278774,5.744801,-1.253713,0.7849032,2.162336,-1.020208,3.813914,0.7018919,0.6568212,5.181211,14.40791,9.109748,11.73779,6.977713,2.878873,5.938837,0.4333962,5.40128,2.42323,1.22064,10.68199,4.519979,14.96054,8.146954,4.018125,1.338288,5.181996,2.022058,4.312981,7.099773,-0.6109021,-0.2223859,0.4208641,4.739146,1.979389,2.30724,4.135675,7.781871,47.75905,5.856541,0.2427867,3.63881,0.9041179,-0.9874296,3.722398,1.622503,3.683048,0.04302937,8.436238,5.665239,7.819517,8.00447,6.74107,5.857087,3.128617,3.339254,0.1989098,-1.576592,0.9921399,0.2224706,0.08624414,2.310517,6.573057,6.616317,16.06812,0.24005,15.39911,0.7372922,1.006613,13.94883,4.184543,3.421181,0.5910372,-0.8688197,2.494828,3.637298
1.59872,6.120882,3.689312,1.419137,2.219491,2.208158,24.01903,5.716042,1.667393,5.226566,14.47831,2.148587,2.055859,-2.542598,-0.4165635,1.542205,-0.4249415,3.800779,1.956346,-0.1780187,6.451923,16.52569,8.337103,11.66107,7.462901,1.247602,6.173373,-0.4581893,2.823149,1.602105,1.089355,7.540818,5.860962,15.14976,8.743106,5.170877,0.362594,5.97598,2.955613,4.95405,8.178931,-1.343098,-1.511027,1.012747,2.52617,0.6686038,4.0835,5.229299,6.893101,46.22033,4.713669,1.200419,5.093609,0.2783044,1.178649,2.030838,1.728417,6.115355,-1.066697,6.922313,4.492483,6.621532,7.203645,5.374575,6.656616,5.614203,3.582686,-2.295937,-0.2494817,1.297631,0.07627055,2.730974,0.2967087,6.513285,6.419008,16.49923,-0.7425807,15.08983,2.165147,0.5909029,19.65704,5.000495,1.243067,-0.2625602,0.7228094,4.252413,3.637298
1.69864,7.097008,3.442463,0.8843096,4.174051,2.613515,22.81472,3.488425,2.983518,6.154793,15.14983,4.030402,2.764116,-0.4908496,-0.4524989,-0.5048282,0.3434254,1.481096,1.719603,-0.405306,6.433338,16.39858,8.028299,10.69078,5.791335,2.825056,7.690308,-1.579007,2.90091,-0.4364536,0.272066,9.002913,4.5525,16.72964,8.788939,3.940886,-0.01805868,4.243919,4.068098,4.837453,9.941318,0.29801,-3.331959,0.3914071,3.07523,1.564037,2.666588,4.538229,7.453734,45.6385,5.602194,0.2965669,6.939806,0.1324901,0.286651,2.045772,2.571583,5.999398,3.212527,5.982332,4.632506,7.750606,7.026601,6.570396,8.140383,5.43766,2.806847,-1.702559,-0.7997195,1.132638,0.3040455,3.751465,1.388205,6.285644,6.831637,17.56879,-1.168893,13.87942,1.463784,1.845387,23.51378,6.397274,2.798661,-0.7584816,0.5288144,3.288181,3.637298
1.79856,7.37315,2.716612,1.070328,3.37344,1.678752,22.77943,4.785993,2.560385,6.314308,13.50731,3.730438,3.579354,-1.526884,-0.6088399,0.4528292,0.5878319,3.30171,4.084316,0.3350043,5.225156,16.97681,6.054983,10.44161,8.553886,1.725169,7.232423,-1.083267,4.162212,-0.9309171,0.5402734,8.117964,6.255061,16.16253,11.92335,3.52424,1.016769,5.360076,3.895979,2.690329,8.359508,-1.747041,-0.2780863,-1.691957,3.510394,1.900445,2.921682,5.35058,4.771039,45.49162,5.301005,0.8742064,4.540092,0.1314681,1.291322,2.228831,3.55898,7.796428,3.191484,7.052212,3.823209,7.868176,7.522552,5.582379,7.168613,5.9539,3.875258,-0.7564897,1.531916,2.047629,0.4800247,4.638098,0.4233183,7.254127,5.650362,16.19759,-1.884056,13.73058,1.054658,-1.041367,28.44609,6.57726,1.92386,1.018637,-0.9415785,4.967301,3.637298
1.89848,8.631021,1.384808,-0.4826921,4.310597,3.576335,23.657,3.968288,1.787912,4.241146,15.77878,6.202852,4.09402,-0.2561939,-0.7121861,3.099221,-0.5577297,2.880239,2.715831,-0.6203116,4.059089,17.16861,8.217293,8.99133,6.417999,0.9638357,6.212681,-3.416147,3.303028,-1.438606,-0.2104421,10.74511,3.852409,15.63123,22.90473,2.130764,-0.21629,5.318333,5.656393,3.585412,8.56734,1.503087,0.4683315,-0.6955472,2.894889,1.936515,3.327806,5.101074,5.743336,44.82806,6.148106,1.186365,5.06181,0.3967943,-0.2417743,1.713035,3.499185,4.932167,3.800386,7.713556,3.743245,7.039553,6.873864,5.838185,7.338456,5.974331,3.853825,-0.6221085,-0.875717,1.372543,-1.063794,3.092324,2.829393,8.277915,5.079117,17.79259,-2.011177,12.27609,0.5693178,-0.576435,31.82148,6.672509,3.829225,1.642395,2.625207,2.802429,3.637298
1.9984,5.968996,2.013205,1.416057,3.168344,1.895046,22.3688,1.636364,3.765586,5.032629,14.14491,3.89464,3.532032,-2.73355,1.531536,-0.805135,0.6431237,3.578058,4.195487,-0.8822829,5.27551,18.45183,9.282134,8.960178,5.458343,1.846331,5.199913,-1.431245,2.305425,-0.9725378,1.594818,8.897019,3.544522,13.9748,26.61325,2.707431,0.1358625,1.415697,4.949405,1.689852,5.734538,0.5465947,-0.2052794,1.670147,1.947907,0.4450718,0.5887025,5.57383,4.750011,44.36667,5.721189,0.8517652,5.39431,1.498127,1.292584,1.295643,3.040092,6.234136,3.977924,8.027433,3.160015,7.844723,7.415909,5.936181,7.867248,10.40936,4.883373,-0.9504663,0.4026279,1.142572,0.6819901,2.978598,1.47148,7.64897,6.246972,15.64704,-0.2738126,12.24385,0.1270676,-1.801778,34.12529,5.924777,2.106617,-0.01180277,0.3278905,2.142315,3.637298
2.09832,6.403037,3.028675,-0.7520263,2.796254,1.694748,23.64288,2.12131,2.3316,4.758295,14.30263,4.572744,3.728006,-1.264927,0.2350658,-3.310481,0.5770519,3.221466,3.309529,0.3418741,5.862672,19.33573,5.52634,6.166514,4.947822,0.6831959,5.363361,1.123949,2.456675,-0.9244375,0.4687994,8.104488,4.059249,16.01097,23.26153,3.074097,-0.2707568,4.080515,4.864575,3.697363,6.772953,0.361198,0.2096927,2.102476,2.03811,2.082925,1.604917,5.602951,3.599998,43.5228,4.236146,1.457431,5.917916,1.025229,-0.3213552,1.192578,2.617593,6.379432,3.553079,7.27435,2.468165,6.953699,7.095584,8.511341,7.168153,12.3839,6.869512,-0.1742035,-0.8185424,0.5632485,0.221084,3.412045,1.668932,8.209933,5.658569,16.60727,0.1822524,12.98487,2.062799,0.9561219,36.9255,4.337142,5.344379,-0.5132932,3.247868,2.308619,3.637298
2.19824,7.272271,0.3910219,-0.1763992,4.94769,0.3661961,21.39071,4.035667,4.790455,4.996618,14.27008,4.21895,1.978516,-2.261694,0.9182657,-1.299218,-0.1434371,2.699947,5.168077,0.4202311,4.248831,18.42666,7.982707,9.00294,5.627986,-0.7805629,6.673592,-0.6893272,0.6125899,-0.1580787,-0.111449,8.821701,2.764502,16.9834,23.06302,2.569389,-0.843112,3.876347,6.463789,4.303348,6.640042,-0.1331411,-0.001106165,1.139873,3.797672,1.632376,0.9233989,4.134313,4.47822,43.38929,5.46813,1.550166,7.06425,1.184087,0.9526756,1.414901,3.389931,5.270396,3.88121,6.12291,2.089611,4.491137,9.420244,8.44237,6.970611,12.67957,7.110817,-0.2356352,0.1170753,-0.7771896,-0.5810069,1.270611,1.853848,7.104729,5.621005,15.94622,-0.3193133,13.1408,1.690542,-0.5363399,37.40538,3.840634,3.200786,-0.2423018,-0.3427559,2.73371,3.637298
2.29816,7.624646,-0.3383322,-0.4029635,4.715854,0.5093565,21.31824,3.391557,2.145568,4.714456,14.02635,3.644698,3.56058,-0.8369135,-0.3312097,0.06081933,0.1790581,3.928729,4.751453,-0.5425572,4.537348,17.80962,8.375202,11.63929,6.420724,-0.6102346,3.848305,-1.135121,2.664386,-0.4488676,2.156989,8.127896,4.426637,16.69686,21.46984,2.02624,-2.476445,3.244456,4.443331,1.883362,7.290597,-1.588338,1.058334,0.6460263,5.091087,1.144288,0.7921231,4.851423,4.149921,41.13794,4.835091,1.428258,6.714219,0.8185791,0.5135208,-1.121728,1.783796,4.77608,2.733588,5.097015,2.460822,4.752296,10.09246,7.589657,6.962274,15.14256,7.20116,0.4502232,-0.1812861,0.6164939,0.2873152,0.83759,0.6414528,8.358624,4.91218,15.55338,-0.9820533,10.51352,1.778959,1.737597,36.22924,0.4683427,1.302327,-2.023419,-0.1240882,4.719543,3.637298
2.39808,4.953333,-0.09257745,-0.652872,4.223209,-0.1644993,18.97548,2.548597,3.633943,4.123411,12.90739,4.427498,2.411251,-2.034493,0.9454494,0.6294981,-0.5573288,2.511141,3.176244,-2.459999,4.877049,18.19524,8.089356,10.09458,5.891621,0.973906,5.390545,-2.231994,2.825711,-2.557863,1.547888,7.253742,4.111765,15.3069,20.22293,2.953445,-0.09218412,0.7472286,7.151731,3.571346,6.507882,1.664487,-0.8640498,2.751947,0.848775,2.737579,0.4528686,3.907882,3.94287,42.2678,5.809911,1.92914,4.628964,0.4069041,1.543938,-1.389793,3.228842,5.750154,3.255892,8.255439,1.489854,4.856096,9.864637,9.583321,5.909166,16.40054,8.486996,-0.8807573,1.123795,-1.443897,0.03370158,1.130805,0.8264276,7.346861,4.666203,15.71454,0.16827,11.65206,0.02152201,-2.693755,39.73492,6.678202,3.848129,-0.7989963,-0.5664766,2.583905,3.637298
2.498,4.704725,1.495925,0.05444578,2.594521,0.6502926,20.74828,3.870347,2.382744,5.217798,12.01636,3.623276,0.02655444,-2.12566,-0.3185797,-0.4937952,-0.3380373,2.730373,0.421009,-1.715794,3.868329,19.32608,5.934731,9.480348,7.250128,-0.8091164,4.738614,-0.7902926,2.252613,-2.497846,0.3804592,4.967833,4.633983,15.54922,21.03054,4.61406,-0.4979494,3.258085,6.688071,3.557256,7.404568,0.9590451,-0.04681862,3.348101,2.879848,1.351642,0.9630871,3.536112,3.544243,43.27362,4.569341,1.61227,3.213831,1.294605,0.5985068,-1.012779,3.052911,5.020682,2.718037,6.747697,0.5953688,4.595459,10.52308,9.960153,7.418072,19.86317,8.223864,-1.753775,-0.6090996,-0.6839948,-0.4120164,-0.1563332,0.1213245,7.44151,5.166294,15.52468,-1.426361,9.505631,-0.4026622,-1.644686,41.12083,3.307472,3.36511,-1.242522,-0.4663826,3.310591,3.637298
2.59792,6.141791,0.6616555,0.7166605,4.124274,0.922348,20.3554,3.724552,1.931136,5.300628,11.73391,4.250556,1.196233,-1.827643,-1.112993,-0.4194205,-1.520616,1.853144,2.254251,-1.889302,4.441919,20.39695,8.424129,9.155211,4.984854,1.434212,5.773678,-0.6323012,1.053316,-0.9802879,-2.439554,5.046571,4.061244,16.70646,20.36316,3.842538,1.307801,1.918229,7.75056,4.391727,8.462902,-0.6912313,-0.4170769,3.631116,4.265308,0.4141861,-0.4792097,3.035834,2.998484,43.90118,4.515676,0.6975058,4.018947,0.3657656,-0.2380933,-0.5856762,2.344461,3.453978,4.216324,8.19492,0.9314256,4.436306,9.666325,10.45436,5.672635,20.53848,9.524514,1.044781,0.003538575,-0.6364797,-1.472484,-1.088454,0.0365418,8.487747,4.964687,15.94509,-1.559875,10.78433,-0.5007251,-0.9393621,39.39103,3.088634,4.620574,-1.521984,-0.02270201,2.828799,3.637298
2.69784,6.085129,-0.9223952,-0.1646945,4.57289,0.8694791,18.75982,1.893573,-0.3558811,7.08015,11.5203,4.536438,2.747451,-1.897053,-3.522291,-0.8061438,-2.134739,2.655028,2.937855,-1.576965,1.98912,16.86233,6.552319,9.292054,6.630462,1.498522,5.713799,-1.985535,3.464832,0.3907295,-0.8491974,5.965401,2.233798,17.55941,17.48188,2.341917,0.1266038,1.093547,3.290339,2.000897,5.935017,0.8312696,-1.677981,1.242363,4.408051,1.392148,0.8392345,2.709291,3.402701,42.22833,4.35618,1.000357,4.07938,-0.08001817,-1.772241,0.022291,2.983662,6.690589,2.41443,4.824018,0.9914348,3.232596,10.91433,10.32128,6.297302,22.11823,8.733873,1.068687,-0.8541691,-0.3964611,-2.153741,-1.294069,1.727701,7.372904,4.782825,17.65905,-1.597819,8.421185,0.328482,1.801708,37.50949,2.924082,2.3041,-2.746767,-2.08903,2.058205,3.637298
2.79776,5.517053,0.3760589,1.235349,4.584241,0.3243135,17.87065,2.071544,3.270252,7.812278,9.969643,3.845831,1.850992,-4.16209,-2.250028,-0.7523696,1.098664,1.77105,3.157274,-0.7505657,5.293683,18.28232,8.025916,8.891149,5.382953,-0.8453209,3.284017,-0.8881658,0.7681124,-0.4596191,-0.5363548,4.660717,2.024404,16.57711,18.67803,3.623022,-1.04427,5.173758,3.593384,1.980598,8.11455,0.8485177,-1.00841,4.89687,3.960525,0.5483426,1.373459,3.523822,2.798339,41.53806,3.977441,1.393464,4.561931,0.6510839,-0.1155334,0.6448662,1.644346,4.997163,3.039597,5.293562,-0.5081922,1.802527,10.82619,10.15488,6.68571,21.82878,9.669918,0.1199152,-1.55532,-0.9337522,0.7383708,-0.4806874,-0.9330594,6.717116,4.386939,17.12217,-1.939125,9.029136,1.828417,-0.417128,38.84974,1.87221,3.060034,-0.986019,1.596477,1.066474,3.637298
